"符文ID{id,int}(idx)","符文名称(str,name)","符文图标(str,icon)","符文描述(str,desc)","符文最大等级{maxLevel,int}(num,maxLevel)","符文星级{star,int}(num,star)","符文位置{position,int}(num,position)","符文类型{type,int}(num,type)","基础属性类型{attType,int}(num,attType)","计算类型{calType,int}(num,calType)","基础属性下限{minValue,int}(num,minValue)","基础属性上限{maxValue,int}(num,maxValue)","升级经验{exp,ints}(fun,exp)","基础属性成长{growth,int}(num,growth)","附加属性条数权重{additionalValue,json_intmap}(json,additionalValue)","最大附加属性条数{maxAdditionalAtt,int}(num,maxAdditionalAtt)","附加属性类型权重{additionalAtt,json_intmap}(json,additionalAtt)","升级节点{rebuildAttLevel,ints}(fun,rebuildAttLevel)","新增附加属性几率{addAdditionalAttProb,int}(num,addAdditionalAttProb)","作为材料时提供默认经验{materialExp,ints}(fun,materialExp)","作為材料時的消耗{materialCost,json_func}(json,materialCost)",
57000011,2星符文属性明套装1,,,20,2,5,1,51,1,180,225,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",35,"{0:200,1:100}",1,"{57100085:100,57100086:100,57100087:100,57100088:100,57100089:100,57100090:100,57100091:100,57100092:100,57100093:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000012,2星符文属性暗套装1,,,20,2,6,1,5,1,600,750,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",118,"{0:200,1:100}",1,"{57100094:100,57100095:100,57100096:100,57100097:100,57100098:100,57100099:100,57100100:100,57100101:100,57100102:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000013,3星符文属性火套装1,,,20,3,1,1,51,1,210,300,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",47,"{0:100,1:100}",1,"{57100103:100,57100104:100,57100105:100,57100106:100,57100107:100,57100108:100,57100109:100,57100110:100,57100111:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000014,3星符文属性土套装1,,,20,3,2,1,2,1,140,200,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",31,"{0:100,1:100}",1,"{57100112:100,57100113:100,57100114:100,57100115:100,57100116:100,57100117:100,57100118:100,57100119:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000015,3星符文属性风套装1,,,20,3,3,1,4,1,140,200,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",31,"{0:100,1:100}",1,"{57100120:100,57100121:100,57100122:100,57100123:100,57100124:100,57100125:100,57100126:100,57100127:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000016,3星符文属性水套装1,,,20,3,4,1,5,1,700,1000,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",157,"{0:100,1:100}",1,"{57100128:100,57100129:100,57100130:100,57100131:100,57100132:100,57100133:100,57100134:100,57100135:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000017,3星符文属性明套装1,,,20,3,5,1,51,1,210,300,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",47,"{0:100,1:100}",1,"{57100136:100,57100137:100,57100138:100,57100139:100,57100140:100,57100141:100,57100142:100,57100143:100,57100144:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000018,3星符文属性暗套装1,,,20,3,6,1,5,1,700,1000,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",157,"{0:100,1:100}",1,"{57100145:100,57100146:100,57100147:100,57100148:100,57100149:100,57100150:100,57100151:100,57100152:100,57100153:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
57000019,4星符文属性火套装1,,,20,4,1,1,51,1,270,450,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",71,"{0:2400,1:300,2:200,3:100}",3,"{57100154:100,57100155:100,57100156:100,57100157:100,57100158:100,57100159:100,57100160:100,57100161:100,57100162:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000020,4星符文属性土套装1,,,20,4,2,1,2,1,180,300,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",47,"{0:2400,1:300,2:200,3:100}",3,"{57100163:100,57100164:100,57100165:100,57100166:100,57100167:100,57100168:100,57100169:100,57100170:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000021,4星符文属性风套装1,,,20,4,3,1,4,1,180,300,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",47,"{0:2400,1:300,2:200,3:100}",3,"{57100171:100,57100172:100,57100173:100,57100174:100,57100175:100,57100176:100,57100177:100,57100178:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000022,4星符文属性水套装1,,,20,4,4,1,5,1,900,1500,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",236,"{0:2400,1:300,2:200,3:100}",3,"{57100179:100,57100180:100,57100181:100,57100182:100,57100183:100,57100184:100,57100185:100,57100186:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000023,4星符文属性明套装1,,,20,4,5,1,51,1,270,450,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",71,"{0:2400,1:300,2:200,3:100}",3,"{57100187:100,57100188:100,57100189:100,57100190:100,57100191:100,57100192:100,57100193:100,57100194:100,57100195:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000024,4星符文属性暗套装1,,,20,4,6,1,5,1,900,1500,"{0,1600,3600,6400,10000,14400,19600,25600,32400,40000,48400,57600,67600,78400,90000,102400,115600,129600,144400,160000}",236,"{0:2400,1:300,2:200,3:100}",3,"{57100196:100,57100197:100,57100198:100,57100199:100,57100200:100,57100201:100,57100202:100,57100203:100,57100204:100}","{1,4,8,12,16,20}",2000,"{800,2400,6000,11760,20760,33720,49400,69880,95800,123800,157680,198000,238560,285600,339600,390800,448600,513400,585600,665600}","{type:4,param:80400001,value:-1600}",
57000025,5星符文属性火套装1,,,20,5,1,1,51,1,300,600,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",94,"{0:1400,1:300,2:200,3:100}",3,"{57100205:100,57100206:100,57100207:100,57100208:100,57100209:100,57100210:100,57100211:100,57100212:100,57100213:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000026,5星符文属性土套装1,,,20,5,2,1,2,1,200,400,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",63,"{0:1400,1:300,2:200,3:100}",3,"{57100214:100,57100215:100,57100216:100,57100217:100,57100218:100,57100219:100,57100220:100,57100221:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000027,5星符文属性风套装1,,,20,5,3,1,4,1,200,400,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",63,"{0:1400,1:300,2:200,3:100}",3,"{57100222:100,57100223:100,57100224:100,57100225:100,57100226:100,57100227:100,57100228:100,57100229:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000028,5星符文属性水套装1,,,20,5,4,1,5,1,1000,2000,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",315,"{0:1400,1:300,2:200,3:100}",3,"{57100230:100,57100231:100,57100232:100,57100233:100,57100234:100,57100235:100,57100236:100,57100237:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000029,5星符文属性明套装1,,,20,5,5,1,51,1,300,600,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",94,"{0:1400,1:300,2:200,3:100}",3,"{57100238:100,57100239:100,57100240:100,57100241:100,57100242:100,57100243:100,57100244:100,57100245:100,57100246:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000030,5星符文属性暗套装1,,,20,5,6,1,5,1,1000,2000,"{0,2000,4500,8000,12500,18000,24500,32000,40500,50000,60500,72000,84500,98000,112500,128000,144500,162000,180500,200000}",315,"{0:1400,1:300,2:200,3:100}",3,"{57100247:100,57100248:100,57100249:100,57100250:100,57100251:100,57100252:100,57100253:100,57100254:100,57100255:100}","{1,4,8,12,16,20}",2000,"{1000,3000,7500,14700,25950,42150,61750,87350,119750,154750,197100,247500,298200,357000,424500,488500,560750,641750,732000,832000}","{type:4,param:80400001,value:-2000}",
57000031,6星符文属性火套装1,,,20,6,1,1,51,1,300,750,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",118,"{0:400,1:300,2:200,3:100}",3,"{57100256:100,57100257:100,57100258:100,57100259:100,57100260:100,57100261:100,57100262:100,57100263:100,57100264:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000032,6星符文属性土套装1,,,20,6,2,1,2,1,200,500,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",78,"{0:400,1:300,2:200,3:100}",3,"{57100265:100,57100266:100,57100267:100,57100268:100,57100269:100,57100270:100,57100271:100,57100272:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000033,6星符文属性风套装1,,,20,6,3,1,4,1,200,500,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",78,"{0:400,1:300,2:200,3:100}",3,"{57100273:100,57100274:100,57100275:100,57100276:100,57100277:100,57100278:100,57100279:100,57100280:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000034,6星符文属性水套装1,,,20,6,4,1,5,1,1000,2500,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",394,"{0:400,1:300,2:200,3:100}",3,"{57100281:100,57100282:100,57100283:100,57100284:100,57100285:100,57100286:100,57100287:100,57100288:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000035,6星符文属性明套装1,,,20,6,5,1,51,1,300,750,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",118,"{0:400,1:300,2:200,3:100}",3,"{57100289:100,57100290:100,57100291:100,57100292:100,57100293:100,57100294:100,57100295:100,57100296:100,57100297:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000036,6星符文属性暗套装1,,,20,6,6,1,5,1,1000,2500,"{0,2400,5400,9600,15000,21600,29400,38400,48600,60000,72600,86400,101400,117600,135000,153600,173400,194400,216600,240000}",394,"{0:400,1:300,2:200,3:100}",3,"{57100298:100,57100299:100,57100300:100,57100301:100,57100302:100,57100303:100,57100304:100,57100305:100,57100306:100}","{1,4,8,12,16,20}",2000,"{1200,3600,9000,17640,31140,50580,74100,104820,143700,185700,236520,297000,357840,428400,509400,586200,672900,770100,878400,998400}","{type:4,param:80400001,value:-2400}",
57000037,1星符文属性火套装2,,,20,1,1,2,51,1,135,150,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",23,"{0:300,1:100}",1,"{57100001:100,57100002:100,57100003:100,57100004:100,57100005:100,57100006:100,57100007:100,57100008:100,57100009:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000038,1星符文属性土套装2,,,20,1,2,2,2,1,90,100,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",15,"{0:300,1:100}",1,"{57100010:100,57100011:100,57100012:100,57100013:100,57100014:100,57100015:100,57100016:100,57100017:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000039,1星符文属性风套装2,,,20,1,3,2,4,1,90,100,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",15,"{0:300,1:100}",1,"{57100018:100,57100019:100,57100020:100,57100021:100,57100022:100,57100023:100,57100024:100,57100025:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000040,1星符文属性水套装2,,,20,1,4,2,5,1,450,500,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",78,"{0:300,1:100}",1,"{57100026:100,57100027:100,57100028:100,57100029:100,57100030:100,57100031:100,57100032:100,57100033:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000041,1星符文属性明套装2,,,20,1,5,2,51,1,135,150,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",23,"{0:300,1:100}",1,"{57100034:100,57100035:100,57100036:100,57100037:100,57100038:100,57100039:100,57100040:100,57100041:100,57100042:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000042,1星符文属性暗套装2,,,20,1,6,2,5,1,450,500,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",78,"{0:300,1:100}",1,"{57100043:100,57100044:100,57100045:100,57100046:100,57100047:100,57100048:100,57100049:100,57100050:100,57100051:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000043,2星符文属性火套装2,,,20,2,1,2,51,1,180,225,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",35,"{0:200,1:100}",1,"{57100052:100,57100053:100,57100054:100,57100055:100,57100056:100,57100057:100,57100058:100,57100059:100,57100060:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000044,2星符文属性土套装2,,,20,2,2,2,2,1,120,150,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",23,"{0:200,1:100}",1,"{57100061:100,57100062:100,57100063:100,57100064:100,57100065:100,57100066:100,57100067:100,57100068:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000045,2星符文属性风套装2,,,20,2,3,2,4,1,120,150,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",23,"{0:200,1:100}",1,"{57100069:100,57100070:100,57100071:100,57100072:100,57100073:100,57100074:100,57100075:100,57100076:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000046,2星符文属性水套装2,,,20,2,4,2,5,1,600,750,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",118,"{0:200,1:100}",1,"{57100077:100,57100078:100,57100079:100,57100080:100,57100081:100,57100082:100,57100083:100,57100084:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000047,2星符文属性明套装2,,,20,2,5,2,51,1,180,225,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",35,"{0:200,1:100}",1,"{57100085:100,57100086:100,57100087:100,57100088:100,57100089:100,57100090:100,57100091:100,57100092:100,57100093:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000048,2星符文属性暗套装2,,,20,2,6,2,5,1,600,750,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",118,"{0:200,1:100}",1,"{57100094:100,57100095:100,57100096:100,57100097:100,57100098:100,57100099:100,57100100:100,57100101:100,57100102:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000049,3星符文属性火套装2,,,20,3,1,2,51,1,210,300,"{0,1200,2700,4800,7500,10800,14700,19200,24300,30000,36300,43200,50700,58800,67500,76800,86700,97200,108300,120000}",47,"{0:100,1:100}",1,"{57100103:100,57100104:100,57100105:100,57100106:100,57100107:100,57100108:100,57100109:100,57100110:100,57100111:100}","{1,4,8,12,16,20}",2000,"{600,1800,4500,8820,15570,25290,37050,52410,71850,92850,118260,148500,178920,214200,254700,293100,336450,385050,439200,499200}","{type:4,param:80400001,value:-1200}",
