"ID{id,int}(idx)"	"类型{type,int}(num,type)"	"排行榜类型{rankType,int}(num,rt)"	"排名{rank,int}(num,r)"	"奖励{prizes,json_funcs}(json,p)"	"公会长奖励{leaderPrizes,json_funcs}(json,lp)"
70700027	1	2	10	"[{type:1,param:30200026,value:3},{type:1,param:30030015,value:5},{type:1,param:30030016,value:5}]"	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"
70700028	1	2	20	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"	"[{type:1,param:30200026,value:1},{type:1,param:30030015,value:1},{type:1,param:30030016,value:1}]"
70700037	4	2	1	"[{type:1,param:30200026,value:10},{type:1,param:30030015,value:25},{type:1,param:30030016,value:25},{type:1,param:30030019,value:3}]"	"[{type:1,param:30200026,value:8},{type:1,param:30030015,value:20},{type:1,param:30030016,value:20},{type:1,param:30030019,value:2}]"
70700038	4	2	2	"[{type:1,param:30200026,value:8},{type:1,param:30030015,value:20},{type:1,param:30030016,value:20},{type:1,param:30030019,value:2}]"	"[{type:1,param:30200026,value:6},{type:1,param:30030015,value:15},{type:1,param:30030016,value:15},{type:1,param:30030019,value:1}]"
70700039	4	2	3	"[{type:1,param:30200026,value:6},{type:1,param:30030015,value:15},{type:1,param:30030016,value:15},{type:1,param:30030019,value:1}]"	"[{type:1,param:30200026,value:4},{type:1,param:30030015,value:10},{type:1,param:30030016,value:10},{type:1,param:30030019,value:1}]"
70700040	4	2	5	"[{type:1,param:30200026,value:4},{type:1,param:30030015,value:10},{type:1,param:30030016,value:10}]"	"[{type:1,param:30200026,value:3},{type:1,param:30030015,value:5},{type:1,param:30030016,value:5}]"
70700041	4	2	10	"[{type:1,param:30200026,value:3},{type:1,param:30030015,value:5},{type:1,param:30030016,value:5}]"	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"
70700042	4	2	20	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"	"[{type:1,param:30200026,value:1},{type:1,param:30030015,value:1},{type:1,param:30030016,value:1}]"
70700051	3	2	1	"[{type:1,param:30200026,value:10},{type:1,param:30030015,value:25},{type:1,param:30030016,value:25},{type:1,param:30030019,value:3}]"	"[{type:1,param:30200026,value:8},{type:1,param:30030015,value:20},{type:1,param:30030016,value:20},{type:1,param:30030019,value:2}]"
70700052	3	2	2	"[{type:1,param:30200026,value:8},{type:1,param:30030015,value:20},{type:1,param:30030016,value:20},{type:1,param:30030019,value:2}]"	"[{type:1,param:30200026,value:6},{type:1,param:30030015,value:15},{type:1,param:30030016,value:15},{type:1,param:30030019,value:1}]"
70700053	3	2	3	"[{type:1,param:30200026,value:6},{type:1,param:30030015,value:15},{type:1,param:30030016,value:15},{type:1,param:30030019,value:1}]"	"[{type:1,param:30200026,value:4},{type:1,param:30030015,value:10},{type:1,param:30030016,value:10},{type:1,param:30030019,value:1}]"
70700054	3	2	5	"[{type:1,param:30200026,value:4},{type:1,param:30030015,value:10},{type:1,param:30030016,value:10}]"	"[{type:1,param:30200026,value:3},{type:1,param:30030015,value:5},{type:1,param:30030016,value:5}]"
70700055	3	2	10	"[{type:1,param:30200026,value:3},{type:1,param:30030015,value:5},{type:1,param:30030016,value:5}]"	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"
70700056	3	2	20	"[{type:1,param:30200026,value:2},{type:1,param:30030015,value:3},{type:1,param:30030016,value:3}]"	"[{type:1,param:30200026,value:1},{type:1,param:30030015,value:1},{type:1,param:30030016,value:1}]"
