"ID{id,int}(idx)","剧情类型{type,int}","美女ID{beautyCid,int}","需求好感度{reqFeeling,int}","替代剧情{replacePlot,int}","剧情ID(num,plotId)","正确的选择{rightSelect,int}","奖励1{prize1,json_funcs}","奖励2{prize2,json_funcs}","自动奖励{autoPrize,json_funcs}",
50801501,2,20200015,0,50811501,53215001,1,"[{type:41,param:0,value:20200015}]",[],"[{type:41,param:0,value:20200015}]",
50801502,2,20200015,10,50811502,,-1,[],[],[],
50801503,2,20200015,30,50811503,,-1,[],[],[],
50801504,2,20200015,60,50811504,,-1,[],[],[],
50801505,2,20200015,100,50811505,,-1,[],[],[],
50801506,2,20200015,150,50811506,,-1,[],[],[],
50801601,2,20200016,0,50811601,53216001,1,"[{type:41,param:0,value:20200016}]",[],"[{type:41,param:0,value:20200016}]",
50801602,2,20200016,10,50811602,,-1,[],[],[],
50801603,2,20200016,30,50811603,,-1,[],[],[],
50801604,2,20200016,60,50811604,,-1,[],[],[],
50801605,2,20200016,100,50811605,,-1,[],[],[],
50801606,2,20200016,150,50811606,,-1,[],[],[],
50801701,2,20200017,0,50811701,53217001,1,"[{type:41,param:0,value:20200017}]",[],"[{type:41,param:0,value:20200017}]",
50801702,2,20200017,10,50811702,,-1,[],[],[],
50801703,2,20200017,30,50811703,,-1,[],[],[],
50801704,2,20200017,60,50811704,,-1,[],[],[],
50801705,2,20200017,100,50811705,,-1,[],[],[],
50801706,2,20200017,150,50811706,,-1,[],[],[],
50801801,2,20200018,0,50811801,53218001,1,"[{type:41,param:0,value:20200018}]",[],"[{type:41,param:0,value:20200018}]",
50801802,2,20200018,10,50811802,,-1,[],[],[],
50801803,2,20200018,30,50811803,,-1,[],[],[],
50801804,2,20200018,60,50811804,,-1,[],[],[],
50801805,2,20200018,100,50811805,,-1,[],[],[],
50801806,2,20200018,150,50811806,,-1,[],[],[],
50801901,2,20200019,0,50811901,53219001,1,"[{type:41,param:0,value:20200019}]",[],"[{type:41,param:0,value:20200019}]",
50801902,2,20200019,10,50811902,,-1,[],[],[],
50801903,2,20200019,30,50811903,,-1,[],[],[],
50801904,2,20200019,60,50811904,,-1,[],[],[],
50801905,2,20200019,100,50811905,,-1,[],[],[],
50801906,2,20200019,150,50811906,,-1,[],[],[],
50802001,2,20200020,0,50812001,53220001,1,"[{type:41,param:0,value:20200020}]",[],"[{type:41,param:0,value:20200020}]",
50802002,2,20200020,10,50812002,,-1,[],[],[],
50802003,2,20200020,30,50812003,,-1,[],[],[],
50802004,2,20200020,60,50812004,,-1,[],[],[],
50802005,2,20200020,100,50812005,,-1,[],[],[],
50802006,2,20200020,150,50812006,,-1,[],[],[],
50802101,2,20200021,0,50812101,53221001,1,"[{type:41,param:0,value:20200021}]",[],"[{type:41,param:0,value:20200021}]",
50802102,2,20200021,10,50812102,,-1,[],[],[],
50802103,2,20200021,30,50812103,,-1,[],[],[],
50802104,2,20200021,60,50812104,,-1,[],[],[],
50802105,2,20200021,100,50812105,,-1,[],[],[],
50802106,2,20200021,150,50812106,,-1,[],[],[],
50803301,2,20200033,0,50813301,53233001,1,"[{type:41,param:0,value:20200033}]",[],"[{type:41,param:0,value:20200033}]",
50803302,2,20200033,10,50813302,,-1,[],[],[],
50803303,2,20200033,30,50813303,,-1,[],[],[],
50803304,2,20200033,60,50813304,,-1,[],[],[],
50803305,2,20200033,100,50813305,,-1,[],[],[],
50803306,2,20200033,150,50813306,,-1,[],[],[],
50803401,2,20200034,0,50813401,53234001,1,"[{type:41,param:0,value:20200034}]",[],"[{type:41,param:0,value:20200034}]",
50803402,2,20200034,10,50813402,,-1,[],[],[],
50803403,2,20200034,30,50813403,,-1,[],[],[],
50803404,2,20200034,60,50813404,,-1,[],[],[],
50803405,2,20200034,100,50813405,,-1,[],[],[],
50803406,2,20200034,150,50813406,,-1,[],[],[],
50803501,2,20200035,0,50813501,53235001,1,"[{type:41,param:0,value:20200035}]",[],"[{type:41,param:0,value:20200035}]",
50803502,2,20200035,10,50813502,,-1,[],[],[],
50803503,2,20200035,30,50813503,,-1,[],[],[],
50803504,2,20200035,60,50813504,,-1,[],[],[],
50803505,2,20200035,100,50813505,,-1,[],[],[],
50803506,2,20200035,150,50813506,,-1,[],[],[],
50803601,2,20200036,0,50813601,53236001,1,"[{type:41,param:0,value:20200036}]",[],"[{type:41,param:0,value:20200036}]",
50803602,2,20200036,10,50813602,,-1,[],[],[],
50803603,2,20200036,30,50813603,,-1,[],[],[],
50803604,2,20200036,60,50813604,,-1,[],[],[],
50803605,2,20200036,100,50813605,,-1,[],[],[],
50803606,2,20200036,150,50813606,,-1,[],[],[],
50803701,2,20200037,0,50813701,53237001,1,"[{type:41,param:0,value:20200037}]",[],"[{type:41,param:0,value:20200037}]",
50803702,2,20200037,10,50813702,,-1,[],[],[],
50803703,2,20200037,30,50813703,,-1,[],[],[],
50803704,2,20200037,60,50813704,,-1,[],[],[],
50803705,2,20200037,100,50813705,,-1,[],[],[],
50803706,2,20200037,150,50813706,,-1,[],[],[],
50803801,2,20200038,0,50813801,53238001,1,"[{type:41,param:0,value:20200038}]",[],"[{type:41,param:0,value:20200038}]",
50803802,2,20200038,10,50813802,,-1,[],[],[],
50803803,2,20200038,30,50813803,,-1,[],[],[],
50803804,2,20200038,60,50813804,,-1,[],[],[],
50803805,2,20200038,100,50813805,,-1,[],[],[],
50803806,2,20200038,150,50813806,,-1,[],[],[],
50803901,2,20200039,0,50813901,53239001,1,"[{type:41,param:0,value:20200039}]",[],"[{type:41,param:0,value:20200039}]",
50803902,2,20200039,10,50813902,,-1,[],[],[],
50803903,2,20200039,30,50813903,,-1,[],[],[],
50803904,2,20200039,60,50813904,,-1,[],[],[],
50803905,2,20200039,100,50813905,,-1,[],[],[],
50803906,2,20200039,150,50813906,,-1,[],[],[],
50810101,1,20200001,,,,-1,[],[],[],
50810102,1,20200001,,,,-1,[],[],[],
50810103,1,20200001,,,,-1,[],[],[],
50810104,1,20200001,,,,-1,[],[],[],
50810105,1,20200001,,,,-1,[],[],[],
50810106,1,20200001,,,,-1,[],[],[],
50810201,1,20200002,,,,-1,[],[],[],
50810202,1,20200002,,,,-1,[],[],[],
50810203,1,20200002,,,,-1,[],[],[],
50810204,1,20200002,,,,-1,[],[],[],
50810205,1,20200002,,,,-1,[],[],[],
50810206,1,20200002,,,,-1,[],[],[],
50810301,1,20200003,,,,-1,[],[],[],
50810302,1,20200003,,,,-1,[],[],[],
50810303,1,20200003,,,,-1,[],[],[],
50810304,1,20200003,,,,-1,[],[],[],
50810305,1,20200003,,,,-1,[],[],[],
50810306,1,20200003,,,,-1,[],[],[],
50810401,1,20200004,,,,-1,[],[],[],
50810402,1,20200004,,,,-1,[],[],[],
50810403,1,20200004,,,,-1,[],[],[],
50810404,1,20200004,,,,-1,[],[],[],
50810405,1,20200004,,,,-1,[],[],[],
50810406,1,20200004,,,,-1,[],[],[],
50810501,1,20200005,,,,-1,[],[],[],
50810502,1,20200005,,,,-1,[],[],[],
50810503,1,20200005,,,,-1,[],[],[],
50810504,1,20200005,,,,-1,[],[],[],
50810505,1,20200005,,,,-1,[],[],[],
50810506,1,20200005,,,,-1,[],[],[],
50810601,1,20200006,,,,-1,[],[],[],
50810602,1,20200006,,,,-1,[],[],[],
50810603,1,20200006,,,,-1,[],[],[],
50810604,1,20200006,,,,-1,[],[],[],
50810605,1,20200006,,,,-1,[],[],[],
50810606,1,20200006,,,,-1,[],[],[],
50810701,1,20200007,,,,-1,[],[],[],
50810702,1,20200007,,,,-1,[],[],[],
50810703,1,20200007,,,,-1,[],[],[],
50810704,1,20200007,,,,-1,[],[],[],
50810705,1,20200007,,,,-1,[],[],[],
50810706,1,20200007,,,,-1,[],[],[],
50810801,1,20200008,,,,-1,[],[],[],
50810802,1,20200008,,,,-1,[],[],[],
50810803,1,20200008,,,,-1,[],[],[],
50810804,1,20200008,,,,-1,[],[],[],
50810805,1,20200008,,,,-1,[],[],[],
50810806,1,20200008,,,,-1,[],[],[],
50810901,1,20200009,,,,-1,[],[],[],
50810902,1,20200009,,,,-1,[],[],[],
50810903,1,20200009,,,,-1,[],[],[],
50810904,1,20200009,,,,-1,[],[],[],
50810905,1,20200009,,,,-1,[],[],[],
50810906,1,20200009,,,,-1,[],[],[],
50811001,1,20200010,,,,-1,[],[],[],
50811002,1,20200010,,,,-1,[],[],[],
50811003,1,20200010,,,,-1,[],[],[],
50811004,1,20200010,,,,-1,[],[],[],
50811005,1,20200010,,,,-1,[],[],[],
50811006,1,20200010,,,,-1,[],[],[],
50811101,1,20200011,,,,-1,[],[],[],
50811102,1,20200011,,,,-1,[],[],[],
50811103,1,20200011,,,,-1,[],[],[],
50811104,1,20200011,,,,-1,[],[],[],
50811105,1,20200011,,,,-1,[],[],[],
50811106,1,20200011,,,,-1,[],[],[],
50811201,1,20200012,,,,-1,[],[],[],
50811202,1,20200012,,,,-1,[],[],[],
50811203,1,20200012,,,,-1,[],[],[],
50811204,1,20200012,,,,-1,[],[],[],
50811205,1,20200012,,,,-1,[],[],[],
50811206,1,20200012,,,,-1,[],[],[],
50811301,1,20200013,,,,-1,[],[],[],
50811302,1,20200013,,,,-1,[],[],[],
50811303,1,20200013,,,,-1,[],[],[],
50811304,1,20200013,,,,-1,[],[],[],
50811305,1,20200013,,,,-1,[],[],[],
50811306,1,20200013,,,,-1,[],[],[],
50811401,1,20200014,,,,-1,[],[],[],
50811402,1,20200014,,,,-1,[],[],[],
50811403,1,20200014,,,,-1,[],[],[],
50811404,1,20200014,,,,-1,[],[],[],
50811405,1,20200014,,,,-1,[],[],[],
50811406,1,20200014,,,,-1,[],[],[],
50811501,1,20200015,,,,-1,[],[],[],
50811502,1,20200015,,,,-1,[],[],[],
50811503,1,20200015,,,,-1,[],[],[],
50811504,1,20200015,,,,-1,[],[],[],
50811505,1,20200015,,,,-1,[],[],[],
50811506,1,20200015,,,,-1,[],[],[],
50811601,1,20200016,,,,-1,[],[],[],
50811602,1,20200016,,,,-1,[],[],[],
50811603,1,20200016,,,,-1,[],[],[],
50811604,1,20200016,,,,-1,[],[],[],
50811605,1,20200016,,,,-1,[],[],[],
50811606,1,20200016,,,,-1,[],[],[],
50811701,1,20200017,,,,-1,[],[],[],
50811702,1,20200017,,,,-1,[],[],[],
50811703,1,20200017,,,,-1,[],[],[],
50811704,1,20200017,,,,-1,[],[],[],
50811705,1,20200017,,,,-1,[],[],[],
50811706,1,20200017,,,,-1,[],[],[],
50811801,1,20200018,,,,-1,[],[],[],
50811802,1,20200018,,,,-1,[],[],[],
50811803,1,20200018,,,,-1,[],[],[],
50811804,1,20200018,,,,-1,[],[],[],
50811805,1,20200018,,,,-1,[],[],[],
50811806,1,20200018,,,,-1,[],[],[],
50811901,1,20200019,,,,-1,[],[],[],
50811902,1,20200019,,,,-1,[],[],[],
50811903,1,20200019,,,,-1,[],[],[],
50811904,1,20200019,,,,-1,[],[],[],
50811905,1,20200019,,,,-1,[],[],[],
50811906,1,20200019,,,,-1,[],[],[],
50812001,1,20200020,,,,-1,[],[],[],
50812002,1,20200020,,,,-1,[],[],[],
50812003,1,20200020,,,,-1,[],[],[],
50812004,1,20200020,,,,-1,[],[],[],
50812005,1,20200020,,,,-1,[],[],[],
50812006,1,20200020,,,,-1,[],[],[],
50812101,1,20200021,,,,-1,[],[],[],
50812102,1,20200021,,,,-1,[],[],[],
50812103,1,20200021,,,,-1,[],[],[],
50812104,1,20200021,,,,-1,[],[],[],
50812105,1,20200021,,,,-1,[],[],[],
50812106,1,20200021,,,,-1,[],[],[],
50813301,1,20200033,,,,-1,[],[],[],
50813302,1,20200033,,,,-1,[],[],[],
50813303,1,20200033,,,,-1,[],[],[],
50813304,1,20200033,,,,-1,[],[],[],
50813305,1,20200033,,,,-1,[],[],[],
50813306,1,20200033,,,,-1,[],[],[],
50813401,1,20200034,,,,-1,[],[],[],
50813402,1,20200034,,,,-1,[],[],[],
50813403,1,20200034,,,,-1,[],[],[],
50813404,1,20200034,,,,-1,[],[],[],
50813405,1,20200034,,,,-1,[],[],[],
50813406,1,20200034,,,,-1,[],[],[],
50813501,1,20200035,,,,-1,[],[],[],
50813502,1,20200035,,,,-1,[],[],[],
50813503,1,20200035,,,,-1,[],[],[],
50813504,1,20200035,,,,-1,[],[],[],
50813505,1,20200035,,,,-1,[],[],[],
50813506,1,20200035,,,,-1,[],[],[],
50813601,1,20200036,,,,-1,[],[],[],
50813602,1,20200036,,,,-1,[],[],[],
50813603,1,20200036,,,,-1,[],[],[],
50813604,1,20200036,,,,-1,[],[],[],
50813605,1,20200036,,,,-1,[],[],[],
50813606,1,20200036,,,,-1,[],[],[],
50813701,1,20200037,,,,-1,[],[],[],
50813702,1,20200037,,,,-1,[],[],[],
50813703,1,20200037,,,,-1,[],[],[],
50813704,1,20200037,,,,-1,[],[],[],
50813705,1,20200037,,,,-1,[],[],[],
50813706,1,20200037,,,,-1,[],[],[],
50813801,1,20200038,,,,-1,[],[],[],
50813802,1,20200038,,,,-1,[],[],[],
50813803,1,20200038,,,,-1,[],[],[],
50813804,1,20200038,,,,-1,[],[],[],
50813805,1,20200038,,,,-1,[],[],[],
50813806,1,20200038,,,,-1,[],[],[],
50813901,1,20200039,,,,-1,[],[],[],
50813902,1,20200039,,,,-1,[],[],[],
50813903,1,20200039,,,,-1,[],[],[],
50813904,1,20200039,,,,-1,[],[],[],
50813905,1,20200039,,,,-1,[],[],[],
50813906,1,20200039,,,,-1,[],[],[],
