"编号{id,int}(idx)","名称(str,n)","描述(str,d)","图标(str,p1)","成就组(num,cjz)","类型{type,int}(num,tp)","接受条件组{acceptCdits,json_cdits}(json,ac)","完成条件组{finCdits,json_cdits}(json,fc)","自动行为组{autoBehavs,json_behavs}(json,ab)","手动行为组{manualBehavs,json_behavs}(json,mb)","重置类型{loop,str}","文字描述1","文字描述2",
35000011,搞势力,势力达到150000,,3,3,"[{type:6,param:3,val:35000010}]","[{type:3,param:6,val:150000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1500000}]}]",n,135000011,235000011,
35000012,搞势力,势力达到200000,,3,3,"[{type:6,param:3,val:35000011}]","[{type:3,param:6,val:200000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2000000}]}]",n,135000012,235000012,
35000013,搞势力,势力达到250000,,3,3,"[{type:6,param:3,val:35000012}]","[{type:3,param:6,val:250000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2500000}]}]",n,135000013,235000013,
35000014,搞势力,势力达到300000,,3,3,"[{type:6,param:3,val:35000013}]","[{type:3,param:6,val:300000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3000000}]}]",n,135000014,235000014,
35000015,搞势力,势力达到350000,,3,3,"[{type:6,param:3,val:35000014}]","[{type:3,param:6,val:350000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3500000}]}]",n,135000015,235000015,
35000016,搞势力,势力达到400000,,3,3,"[{type:6,param:3,val:35000015}]","[{type:3,param:6,val:400000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:4000000}]}]",n,135000016,235000016,
35000017,搞势力,势力达到450000,,3,3,"[{type:6,param:3,val:35000016}]","[{type:3,param:6,val:450000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:4500000}]}]",n,135000017,235000017,
35000018,搞势力,势力达到500000,,3,3,"[{type:6,param:3,val:35000017}]","[{type:3,param:6,val:500000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:5000000}]}]",n,135000018,235000018,
35000019,搞势力,势力达到600000,,3,3,"[{type:6,param:3,val:35000018}]","[{type:3,param:6,val:600000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:6000000}]}]",n,135000019,235000019,
35000020,搞势力,势力达到700000,,3,3,"[{type:6,param:3,val:35000019}]","[{type:3,param:6,val:700000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:7000000}]}]",n,135000020,235000020,
35000021,搞势力,势力达到800000,,3,3,"[{type:6,param:3,val:35000020}]","[{type:3,param:6,val:800000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:8000000}]}]",n,135000021,235000021,
35000022,搞势力,势力达到900000,,3,3,"[{type:6,param:3,val:35000021}]","[{type:3,param:6,val:900000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:9000000}]}]",n,135000022,235000022,
35000023,搞势力,势力达到1000000,,3,3,"[{type:6,param:3,val:35000022}]","[{type:3,param:6,val:1000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:10000000}]}]",n,135000023,235000023,
35000024,搞势力,势力达到1200000,,3,3,"[{type:6,param:3,val:35000023}]","[{type:3,param:6,val:1200000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:12000000}]}]",n,135000024,235000024,
35000025,搞势力,势力达到1400000,,3,3,"[{type:6,param:3,val:35000024}]","[{type:3,param:6,val:1400000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:14000000}]}]",n,135000025,235000025,
35000026,搞势力,势力达到1600000,,3,3,"[{type:6,param:3,val:35000025}]","[{type:3,param:6,val:1600000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:16000000}]}]",n,135000026,235000026,
35000027,搞势力,势力达到1800000,,3,3,"[{type:6,param:3,val:35000026}]","[{type:3,param:6,val:1800000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:18000000}]}]",n,135000027,235000027,
35000028,搞势力,势力达到2000000,,3,3,"[{type:6,param:3,val:35000027}]","[{type:3,param:6,val:2000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:20000000}]}]",n,135000028,235000028,
35000029,搞势力,势力达到2300000,,3,3,"[{type:6,param:3,val:35000028}]","[{type:3,param:6,val:2300000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:23000000}]}]",n,135000029,235000029,
35000030,搞势力,势力达到2600000,,3,3,"[{type:6,param:3,val:35000029}]","[{type:3,param:6,val:2600000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:26000000}]}]",n,135000030,235000030,
35000031,搞势力,势力达到2900000,,3,3,"[{type:6,param:3,val:35000030}]","[{type:3,param:6,val:2900000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:29000000}]}]",n,135000031,235000031,
35000032,搞势力,势力达到3200000,,3,3,"[{type:6,param:3,val:35000031}]","[{type:3,param:6,val:3200000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:32000000}]}]",n,135000032,235000032,
35000033,搞势力,势力达到3500000,,3,3,"[{type:6,param:3,val:35000032}]","[{type:3,param:6,val:3500000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:35000000}]}]",n,135000033,235000033,
35000034,搞势力,势力达到3800000,,3,3,"[{type:6,param:3,val:35000033}]","[{type:3,param:6,val:3800000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:38000000}]}]",n,135000034,235000034,
35000035,搞势力,势力达到4100000,,3,3,"[{type:6,param:3,val:35000034}]","[{type:3,param:6,val:4100000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:41000000}]}]",n,135000035,235000035,
35000036,搞势力,势力达到4400000,,3,3,"[{type:6,param:3,val:35000035}]","[{type:3,param:6,val:4400000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:44000000}]}]",n,135000036,235000036,
35000037,搞势力,势力达到4700000,,3,3,"[{type:6,param:3,val:35000036}]","[{type:3,param:6,val:4700000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:47000000}]}]",n,135000037,235000037,
35000038,搞势力,势力达到5000000,,3,3,"[{type:6,param:3,val:35000037}]","[{type:3,param:6,val:5000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:50000000}]}]",n,135000038,235000038,
35000039,搞势力,势力达到5500000,,3,3,"[{type:6,param:3,val:35000038}]","[{type:3,param:6,val:5500000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:55000000}]}]",n,135000039,235000039,
35000040,搞势力,势力达到6000000,,3,3,"[{type:6,param:3,val:35000039}]","[{type:3,param:6,val:6000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:60000000}]}]",n,135000040,235000040,
35000041,搞势力,势力达到7000000,,3,3,"[{type:6,param:3,val:35000040}]","[{type:3,param:6,val:7000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:70000000}]}]",n,135000041,235000041,
35000042,搞势力,势力达到8000000,,3,3,"[{type:6,param:3,val:35000041}]","[{type:3,param:6,val:8000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:80000000}]}]",n,135000042,235000042,
35000043,搞势力,势力达到9000000,,3,3,"[{type:6,param:3,val:35000042}]","[{type:3,param:6,val:9000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:90000000}]}]",n,135000043,235000043,
35000044,搞势力,势力达到10000000,,3,3,"[{type:6,param:3,val:35000043}]","[{type:3,param:6,val:10000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:100000000}]}]",n,135000044,235000044,
35000045,搞势力,势力达到12000000,,3,3,"[{type:6,param:3,val:35000044}]","[{type:3,param:6,val:12000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:120000000}]}]",n,135000045,235000045,
35000046,搞势力,势力达到14000000,,3,3,"[{type:6,param:3,val:35000045}]","[{type:3,param:6,val:14000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:140000000}]}]",n,135000046,235000046,
35000047,搞势力,势力达到16000000,,3,3,"[{type:6,param:3,val:35000046}]","[{type:3,param:6,val:16000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:160000000}]}]",n,135000047,235000047,
35000048,搞势力,势力达到18000000,,3,3,"[{type:6,param:3,val:35000047}]","[{type:3,param:6,val:18000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:180000000}]}]",n,135000048,235000048,
35000049,搞势力,势力达到20000000,,3,3,"[{type:6,param:3,val:35000048}]","[{type:3,param:6,val:20000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:200000000}]}]",n,135000049,235000049,
35000050,搞势力,势力达到25000000,,3,3,"[{type:6,param:3,val:35000049}]","[{type:3,param:6,val:25000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:250000000}]}]",n,135000050,235000050,
35000051,搞势力,势力达到30000000,,3,3,"[{type:6,param:3,val:35000050}]","[{type:3,param:6,val:30000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:300000000}]}]",n,135000051,235000051,
35000052,搞势力,势力达到35000000,,3,3,"[{type:6,param:3,val:35000051}]","[{type:3,param:6,val:35000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:350000000}]}]",n,135000052,235000052,
35000053,搞势力,势力达到40000000,,3,3,"[{type:6,param:3,val:35000052}]","[{type:3,param:6,val:40000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:400000000}]}]",n,135000053,235000053,
35000054,搞势力,势力达到45000000,,3,3,"[{type:6,param:3,val:35000053}]","[{type:3,param:6,val:45000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:450000000}]}]",n,135000054,235000054,
35000055,搞势力,势力达到50000000,,3,3,"[{type:6,param:3,val:35000054}]","[{type:3,param:6,val:50000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:500000000}]}]",n,135000055,235000055,
35000056,搞势力,势力达到60000000,,3,3,"[{type:6,param:3,val:35000055}]","[{type:3,param:6,val:60000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:600000000}]}]",n,135000056,235000056,
35000057,搞势力,势力达到70000000,,3,3,"[{type:6,param:3,val:35000056}]","[{type:3,param:6,val:70000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:700000000}]}]",n,135000057,235000057,
35000058,搞势力,势力达到80000000,,3,3,"[{type:6,param:3,val:35000057}]","[{type:3,param:6,val:80000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:800000000}]}]",n,135000058,235000058,
35000059,搞势力,势力达到90000000,,3,3,"[{type:6,param:3,val:35000058}]","[{type:3,param:6,val:90000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:900000000}]}]",n,135000059,235000059,
35000060,搞势力,势力达到100000000,,3,3,"[{type:6,param:3,val:35000059}]","[{type:3,param:6,val:100000000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1000000000}]}]",n,135000060,235000060,
35000061,经营公司,经营公司3次,10042106,6,3,[],"[{type:3,param:1,val:3,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:9000}]}]",n,135000061,235000061,
35000062,经营公司,经营公司6次,,6,3,"[{type:6,param:3,val:35000061}]","[{type:3,param:1,val:6,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:18000}]}]",n,135000062,235000062,
35000063,经营公司,经营公司10次,,6,3,"[{type:6,param:3,val:35000062}]","[{type:3,param:1,val:10,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:30000}]}]",n,135000063,235000063,
35000064,经营公司,经营公司20次,,6,3,"[{type:6,param:3,val:35000063}]","[{type:3,param:1,val:20,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:60000}]}]",n,135000064,235000064,
35000065,经营公司,经营公司40次,,6,3,"[{type:6,param:3,val:35000064}]","[{type:3,param:1,val:40,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:120000}]}]",n,135000065,235000065,
35000066,经营公司,经营公司70次,,6,3,"[{type:6,param:3,val:35000065}]","[{type:3,param:1,val:70,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:210000}]}]",n,135000066,235000066,
35000067,经营公司,经营公司100次,,6,3,"[{type:6,param:3,val:35000066}]","[{type:3,param:1,val:100,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:300000}]}]",n,135000067,235000067,
35000068,经营公司,经营公司140次,,6,3,"[{type:6,param:3,val:35000067}]","[{type:3,param:1,val:140,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:420000}]}]",n,135000068,235000068,
35000069,经营公司,经营公司180次,,6,3,"[{type:6,param:3,val:35000068}]","[{type:3,param:1,val:180,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:540000}]}]",n,135000069,235000069,
35000070,经营公司,经营公司230次,,6,3,"[{type:6,param:3,val:35000069}]","[{type:3,param:1,val:230,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:690000}]}]",n,135000070,235000070,
35000071,经营公司,经营公司280次,,6,3,"[{type:6,param:3,val:35000070}]","[{type:3,param:1,val:280,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:840000}]}]",n,135000071,235000071,
35000072,经营公司,经营公司340次,,6,3,"[{type:6,param:3,val:35000071}]","[{type:3,param:1,val:340,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1020000}]}]",n,135000072,235000072,
35000073,经营公司,经营公司400次,,6,3,"[{type:6,param:3,val:35000072}]","[{type:3,param:1,val:400,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1200000}]}]",n,135000073,235000073,
35000074,经营公司,经营公司480次,,6,3,"[{type:6,param:3,val:35000073}]","[{type:3,param:1,val:480,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1440000}]}]",n,135000074,235000074,
35000075,经营公司,经营公司560次,,6,3,"[{type:6,param:3,val:35000074}]","[{type:3,param:1,val:560,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1680000}]}]",n,135000075,235000075,
35000076,经营公司,经营公司660次,,6,3,"[{type:6,param:3,val:35000075}]","[{type:3,param:1,val:660,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1980000}]}]",n,135000076,235000076,
35000077,经营公司,经营公司760次,,6,3,"[{type:6,param:3,val:35000076}]","[{type:3,param:1,val:760,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2280000}]}]",n,135000077,235000077,
35000078,经营公司,经营公司880次,,6,3,"[{type:6,param:3,val:35000077}]","[{type:3,param:1,val:880,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2640000}]}]",n,135000078,235000078,
35000079,经营公司,经营公司1000次,,6,3,"[{type:6,param:3,val:35000078}]","[{type:3,param:1,val:1000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3000000}]}]",n,135000079,235000079,
35000080,经营公司,经营公司1150次,,6,3,"[{type:6,param:3,val:35000079}]","[{type:3,param:1,val:1150,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3450000}]}]",n,135000080,235000080,
35000081,经营公司,经营公司1300次,,6,3,"[{type:6,param:3,val:35000080}]","[{type:3,param:1,val:1300,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3900000}]}]",n,135000081,235000081,
35000082,经营公司,经营公司1500次,,6,3,"[{type:6,param:3,val:35000081}]","[{type:3,param:1,val:1500,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:4500000}]}]",n,135000082,235000082,
35000083,经营公司,经营公司1700次,,6,3,"[{type:6,param:3,val:35000082}]","[{type:3,param:1,val:1700,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:5100000}]}]",n,135000083,235000083,
35000084,经营公司,经营公司1950次,,6,3,"[{type:6,param:3,val:35000083}]","[{type:3,param:1,val:1950,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:5850000}]}]",n,135000084,235000084,
35000085,经营公司,经营公司2200次,,6,3,"[{type:6,param:3,val:35000084}]","[{type:3,param:1,val:2200,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:6600000}]}]",n,135000085,235000085,
35000086,经营公司,经营公司2500次,,6,3,"[{type:6,param:3,val:35000085}]","[{type:3,param:1,val:2500,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:7500000}]}]",n,135000086,235000086,
35000087,经营公司,经营公司2800次,,6,3,"[{type:6,param:3,val:35000086}]","[{type:3,param:1,val:2800,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:8400000}]}]",n,135000087,235000087,
35000088,经营公司,经营公司3150次,,6,3,"[{type:6,param:3,val:35000087}]","[{type:3,param:1,val:3150,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:9450000}]}]",n,135000088,235000088,
35000089,经营公司,经营公司3500次,,6,3,"[{type:6,param:3,val:35000088}]","[{type:3,param:1,val:3500,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:10500000}]}]",n,135000089,235000089,
35000090,经营公司,经营公司3900次,,6,3,"[{type:6,param:3,val:35000089}]","[{type:3,param:1,val:3900,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:11700000}]}]",n,135000090,235000090,
35000091,经营公司,经营公司4300次,,6,3,"[{type:6,param:3,val:35000090}]","[{type:3,param:1,val:4300,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:12900000}]}]",n,135000091,235000091,
35000092,经营公司,经营公司4750次,,6,3,"[{type:6,param:3,val:35000091}]","[{type:3,param:1,val:4750,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:14250000}]}]",n,135000092,235000092,
35000093,经营公司,经营公司5200次,,6,3,"[{type:6,param:3,val:35000092}]","[{type:3,param:1,val:5200,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:15600000}]}]",n,135000093,235000093,
35000094,经营公司,经营公司5700次,,6,3,"[{type:6,param:3,val:35000093}]","[{type:3,param:1,val:5700,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:17100000}]}]",n,135000094,235000094,
35000095,经营公司,经营公司6200次,,6,3,"[{type:6,param:3,val:35000094}]","[{type:3,param:1,val:6200,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:18600000}]}]",n,135000095,235000095,
35000096,经营公司,经营公司6750次,,6,3,"[{type:6,param:3,val:35000095}]","[{type:3,param:1,val:6750,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:20250000}]}]",n,135000096,235000096,
35000097,经营公司,经营公司7300次,,6,3,"[{type:6,param:3,val:35000096}]","[{type:3,param:1,val:7300,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:21900000}]}]",n,135000097,235000097,
35000098,经营公司,经营公司7900次,,6,3,"[{type:6,param:3,val:35000097}]","[{type:3,param:1,val:7900,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:23700000}]}]",n,135000098,235000098,
35000099,经营公司,经营公司8500次,,6,3,"[{type:6,param:3,val:35000098}]","[{type:3,param:1,val:8500,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:25500000}]}]",n,135000099,235000099,
35000100,经营公司,经营公司9200次,,6,3,"[{type:6,param:3,val:35000099}]","[{type:3,param:1,val:9200,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:27600000}]}]",n,135000100,235000100,
35000101,培养人脉,培养人脉3次,10042107,7,3,[],"[{type:3,param:2,val:3,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:9000}]}]",n,135000101,235000101,
35000102,培养人脉,培养人脉6次,,7,3,"[{type:6,param:3,val:35000101}]","[{type:3,param:2,val:6,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:18000}]}]",n,135000102,235000102,
35000103,培养人脉,培养人脉10次,,7,3,"[{type:6,param:3,val:35000102}]","[{type:3,param:2,val:10,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:30000}]}]",n,135000103,235000103,
35000104,培养人脉,培养人脉20次,,7,3,"[{type:6,param:3,val:35000103}]","[{type:3,param:2,val:20,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:60000}]}]",n,135000104,235000104,
35000105,培养人脉,培养人脉40次,,7,3,"[{type:6,param:3,val:35000104}]","[{type:3,param:2,val:40,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:120000}]}]",n,135000105,235000105,
35000106,培养人脉,培养人脉70次,,7,3,"[{type:6,param:3,val:35000105}]","[{type:3,param:2,val:70,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:210000}]}]",n,135000106,235000106,
35000107,培养人脉,培养人脉100次,,7,3,"[{type:6,param:3,val:35000106}]","[{type:3,param:2,val:100,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:300000}]}]",n,135000107,235000107,
35000108,培养人脉,培养人脉140次,,7,3,"[{type:6,param:3,val:35000107}]","[{type:3,param:2,val:140,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:420000}]}]",n,135000108,235000108,
35000109,培养人脉,培养人脉180次,,7,3,"[{type:6,param:3,val:35000108}]","[{type:3,param:2,val:180,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:540000}]}]",n,135000109,235000109,
35000110,培养人脉,培养人脉230次,,7,3,"[{type:6,param:3,val:35000109}]","[{type:3,param:2,val:230,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:690000}]}]",n,135000110,235000110,
35000111,培养人脉,培养人脉280次,,7,3,"[{type:6,param:3,val:35000110}]","[{type:3,param:2,val:280,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:840000}]}]",n,135000111,235000111,
35000112,培养人脉,培养人脉340次,,7,3,"[{type:6,param:3,val:35000111}]","[{type:3,param:2,val:340,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1020000}]}]",n,135000112,235000112,
35000113,培养人脉,培养人脉400次,,7,3,"[{type:6,param:3,val:35000112}]","[{type:3,param:2,val:400,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1200000}]}]",n,135000113,235000113,
35000114,培养人脉,培养人脉480次,,7,3,"[{type:6,param:3,val:35000113}]","[{type:3,param:2,val:480,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1440000}]}]",n,135000114,235000114,
35000115,培养人脉,培养人脉560次,,7,3,"[{type:6,param:3,val:35000114}]","[{type:3,param:2,val:560,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1680000}]}]",n,135000115,235000115,
35000116,培养人脉,培养人脉660次,,7,3,"[{type:6,param:3,val:35000115}]","[{type:3,param:2,val:660,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1980000}]}]",n,135000116,235000116,
35000117,培养人脉,培养人脉760次,,7,3,"[{type:6,param:3,val:35000116}]","[{type:3,param:2,val:760,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2280000}]}]",n,135000117,235000117,
35000118,培养人脉,培养人脉880次,,7,3,"[{type:6,param:3,val:35000117}]","[{type:3,param:2,val:880,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:2640000}]}]",n,135000118,235000118,
35000119,培养人脉,培养人脉1000次,,7,3,"[{type:6,param:3,val:35000118}]","[{type:3,param:2,val:1000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3000000}]}]",n,135000119,235000119,
35000120,培养人脉,培养人脉1150次,,7,3,"[{type:6,param:3,val:35000119}]","[{type:3,param:2,val:1150,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3450000}]}]",n,135000120,235000120,
35000121,培养人脉,培养人脉1300次,,7,3,"[{type:6,param:3,val:35000120}]","[{type:3,param:2,val:1300,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:3900000}]}]",n,135000121,235000121,
35000122,培养人脉,培养人脉1500次,,7,3,"[{type:6,param:3,val:35000121}]","[{type:3,param:2,val:1500,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:4500000}]}]",n,135000122,235000122,
35000123,培养人脉,培养人脉1700次,,7,3,"[{type:6,param:3,val:35000122}]","[{type:3,param:2,val:1700,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:5100000}]}]",n,135000123,235000123,
35000124,培养人脉,培养人脉1950次,,7,3,"[{type:6,param:3,val:35000123}]","[{type:3,param:2,val:1950,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:5850000}]}]",n,135000124,235000124,
