"编码ID{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","对应星级{level,int}(level,number)","道具消耗{cost_items,json_funcs}(cost_items,json)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)","已装备武器技能{equiped_weapon_skill,int}(equiped_weapon_skill,number)","已装备辅助技能{equiped_support_skill,int}(equiped_support_skill,number)"
20300059,20141403,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,4,7,5,6,21140007,0
20300060,20141403,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,7,9,6,9,8,9,21140008,0
20300061,20124201,1,[],0,0,0,0,0,0,0,21120001,0
20300062,20124201,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,2,2,1,21120002,0
20300063,20124201,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,5,3,21120015,0
20300064,20124201,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,6,7,4,21120015,0
20300065,20124201,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,7,9,7,21120016,0
20300066,20111104,1,[],0,0,0,0,0,0,0,21110001,0
20300067,20111104,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,1,2,1,21110002,0
20300068,20111104,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,5,3,4,3,5,4,21110003,0
20300069,20111104,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,7,4,6,4,7,5,21110003,0
20300070,20111104,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,9,6,8,6,9,7,21110039,0
20300071,20131304,1,[],0,0,0,0,0,0,0,21130001,0
20300072,20131304,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,1,2,2,21130002,0
20300073,20131304,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,4,3,5,4,21130013,0
20300074,20131304,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,6,4,6,5,21130013,0
20300075,20131304,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,8,6,8,8,21130038,0
20300076,20141404,1,[],0,0,0,0,0,0,0,21140001,0
20300077,20141404,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,2,2,2,21140002,0
20300078,20141404,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,4,5,21140003,0
20300079,20141404,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,5,6,21140003,0
20300080,20141404,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,7,6,8,8,21140039,0
20300081,20131305,1,[],0,0,0,0,0,0,0,21130001,0
20300082,20131305,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,1,2,3,2,2,21130002,0
20300083,20131305,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,5,5,3,21130003,0
20300084,20131305,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,5,5,6,7,6,4,21130003,0
20300085,20131305,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,9,8,6,21130046,0
20300086,20111105,1,[],0,0,0,0,0,0,0,21110001,0
20300087,20111105,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,2,2,2,1,21110002,0
20300088,20111105,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,4,3,5,3,21110003,0
20300089,20111105,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,6,5,7,4,21110003,0
20300090,20111105,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,9,8,6,8,5,21110041,0
20300091,20124202,1,[],0,0,0,0,0,0,0,21120001,0
20300092,20124202,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,2,1,3,1,3,1,21120002,0
20300093,20124202,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,4,3,5,3,6,3,21120007,0
20300094,20124202,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,6,4,7,4,8,4,21120007,0
20300095,20124202,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,8,6,9,6,10,6,21120008,0
20300096,20141405,1,[],0,0,0,0,0,0,0,21140001,0
20300097,20141405,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,1,2,2,21140002,0
20300098,20141405,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,3,5,21140005,0
20300099,20141405,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,6,4,4,6,21140005,0
20300100,20141405,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,8,7,8,6,6,8,21140006,0
20300101,20134301,1,[],0,0,0,0,0,0,0,21130001,0
20300102,20134301,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,1,2,2,21130002,0
20300103,20134301,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,5,4,21130007,0
20300104,20134301,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,5,6,5,21130007,0
20300105,20134301,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,7,9,8,21130008,0
20300106,20124203,1,[],0,0,0,0,0,0,0,21120001,0
20300107,20124203,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,2,1,21120002,0
20300108,20124203,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,5,3,21120005,0
20300109,20124203,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,7,4,21120005,0
20300110,20124203,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",7,8,8,8,8,9,7,21120006,0
20300111,20111106,1,[],0,0,0,0,0,0,0,21110001,0
20300112,20111106,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,1,3,1,21110002,0
20300113,20111106,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,4,3,6,3,21110003,0
20300114,20111106,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,6,4,8,4,21110003,0
20300115,20111106,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,8,6,10,5,21110032,0
20300116,20141406,1,[],0,0,0,0,0,0,0,21140001,0
20300117,20141406,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,2,2,2,21140002,0
20300118,20141406,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,4,4,5,21140005,0
20300119,20141406,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,4,6,5,6,21140005,0
20300120,20141406,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,6,7,8,9,21140006,0
20300121,20111107,1,[],0,0,0,0,0,0,0,21110001,0
20300122,20111107,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,2,1,21110002,0
20300123,20111107,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,5,3,21110003,0
20300124,20111107,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,7,4,21110003,0
20300125,20111107,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,7,8,5,21110047,0
20300126,20124204,1,[],0,0,0,0,0,0,0,21120001,0
20300127,20124204,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,2,1,2,1,21120002,0
20300128,20124204,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,4,3,5,3,21120013,0
20300129,20124204,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,6,4,7,4,21120013,0
20300130,20124204,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,8,6,9,7,21120014,0
20300131,20134302,1,[],0,0,0,0,0,0,0,21130001,0
20300132,20134302,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,2,2,2,21130002,0
20300133,20134302,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,5,4,21130003,0
20300134,20134302,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,5,6,6,5,21130003,0
20300135,20134302,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",7,7,9,7,8,9,8,21130004,0
20300136,20141407,1,[],0,0,0,0,0,0,0,21140001,0
20300137,20141407,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,2,2,21140002,0
20300138,20141407,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,4,4,5,21140003,0
20300139,20141407,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,4,5,5,6,21140003,0
20300140,20141407,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,6,8,8,9,21140004,0
20300141,20124205,1,[],0,0,0,0,0,0,0,21120001,0
20300142,20124205,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,2,1,21120002,0
20300143,20124205,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,5,3,5,3,21120017,0
20300144,20124205,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,7,4,7,4,21120017,0
20300145,20124205,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,9,6,8,6,21120018,0
20300146,20111108,1,[],0,0,0,0,0,0,0,21110001,0
20300147,20111108,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,2,1,3,1,21110002,0
20300148,20111108,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,6,4,21110003,0
20300149,20111108,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,6,5,8,5,21110003,0
20300150,20111108,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,7,9,7,8,10,6,21110035,0
20300151,20134303,1,[],0,0,0,0,0,0,0,21130001,0
20300152,20134303,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,3,1,1,2,2,21130002,0
20300153,20134303,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,3,4,5,3,21130005,0
20300154,20134303,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,7,4,5,6,4,21130005,0
20300155,20134303,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,9,6,7,9,6,21130006,0
20300156,20141408,1,[],0,0,0,0,0,0,0,21140001,0
20300157,20141408,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,0,1,2,2,21140002,0
20300158,20141408,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,2,4,4,5,21140003,0
20300159,20141408,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,3,5,5,6,21140003,0
20300160,20141408,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,4,8,8,8,21140036,0
20300161,20111109,1,[],0,0,0,0,0,0,0,21110001,0
20300162,20111109,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",2,3,2,2,1,2,1,21110002,0
20300163,20111109,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",5,5,5,4,4,5,3,21110019,0
20300164,20111109,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",6,7,6,6,5,7,4,21110019,0
20300165,20111109,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",9,9,9,8,7,8,5,21110020,0
20300166,20134304,1,[],0,0,0,0,0,0,0,21130001,0
20300167,20134304,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,1,2,2,2,21130002,0
20300168,20134304,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,4,4,5,4,21130013,0
20300169,20134304,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,5,6,6,5,21130013,0
20300170,20134304,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",7,9,8,7,8,8,8,21130014,0
20300171,20124206,1,[],0,0,0,0,0,0,0,21120001,0
20300172,20124206,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,3,1,2,1,21120002,0
20300173,20124206,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,5,3,4,3,21120003,0
20300174,20124206,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,7,4,6,4,21120003,0
20300175,20124206,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,9,7,9,6,7,6,21120039,0
20300176,20141409,1,[],0,0,0,0,0,0,0,21140001,0
20300177,20141409,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,2,3,21140002,0
20300178,20141409,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,3,4,6,21140003,0
20300179,20141409,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,5,4,5,7,21140003,0
20300180,20141409,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,7,6,8,10,21140035,0
20300181,20111110,1,[],0,0,0,0,0,0,0,21110001,0
20300182,20111110,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,2,1,1,2,1,21110002,0
20300183,20111110,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,4,3,5,3,21110003,0
20300184,20111110,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,6,5,4,7,4,21110003,0
20300185,20111110,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,8,6,8,5,21110051,0
20300186,20124207,1,[],0,0,0,0,0,0,0,21120001,0
20300187,20124207,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,2,1,2,1,21120002,0
20300188,20124207,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,5,3,21120003,0
20300189,20124207,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,6,4,7,4,21120003,0
20300190,20124207,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,9,7,21120039,0
20300191,20134305,1,[],0,0,0,0,0,0,0,21130001,0
20300192,20134305,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,1,2,1,3,2,2,21130002,0
20300193,20134305,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,5,5,3,21130013,0
20300194,20134305,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,5,6,5,7,6,4,21130013,0
20300195,20134305,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,7,7,9,9,6,21130014,0
20300196,20143401,1,[],0,0,0,0,0,0,0,21140001,0
20300197,20143401,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,3,3,1,1,2,2,21140002,0
20300198,20143401,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,3,4,4,5,21140003,0
20300199,20143401,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,7,7,4,5,5,6,21140003,0
20300200,20143401,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,9,9,6,8,8,8,21140037,0
20300201,20111111,1,[],0,0,0,0,0,0,0,21110001,0
20300202,20111111,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,2,1,21110002,0
20300203,20111111,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,4,4,4,21110003,0
20300204,20111111,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,6,5,21110003,0
20300205,20111111,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,7,8,7,6,21110050,0
20300206,20134306,1,[],0,0,0,0,0,0,0,21130001,0
20300207,20134306,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,2,2,2,21130002,0
20300208,20134306,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,4,3,4,4,21130005,0
20300209,20134306,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,5,5,5,21130005,0
20300210,20134306,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,8,7,6,7,7,21130006,0
20300211,20123201,1,[],0,0,0,0,0,0,0,21120001,0
20300212,20123201,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,2,2,2,1,21120002,0
20300213,20123201,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,5,3,21120015,0
20300214,20123201,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,6,6,7,4,21120016,0
20300215,20123201,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,7,8,8,7,21120041,0
20300216,20141501,1,[],0,0,0,0,0,0,0,21150001,0
20300217,20141501,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,3,1,2,21150002,0
20300218,20141501,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,3,5,3,5,4,5,21150003,0
20300219,20141501,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,4,7,4,7,5,7,21150003,0
20300220,20141501,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,6,9,6,9,7,8,21150004,0
20300221,20111112,1,[],0,0,0,0,0,0,0,21110001,0
20300222,20111112,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,2,1,2,1,21110002,0
20300223,20111112,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,3,5,4,21110003,0
20300224,20111112,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,6,4,7,5,21110003,0
20300225,20111112,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,9,8,6,9,7,21110031,0
20300226,20134307,1,[],0,0,0,0,0,0,0,21130001,0
