"±àÂëID{id,int}(id,number)","Ó¢ÐÛ±àÂë{hero_id,int}(hero_id,number)","Í»ÆÆ´ÎÊý{level,int}(level,number)","Í»ÆÆÏûºÄ{stage_costs,json_funcs}(stage_costs,json)","ÑªÁ¿{hp,int}(hp,number)","¹¥»÷{attack,int}(attack,number)","·ÀÓù{defense,int}(defense,number)","Ä§·À{magic_defense,int}(magic_defense,number)","ËÙ¶È{speed,int}(speed,number)","¼¼ÇÉ{technique,int}(technique,number)","ÐÒÔË{luck,int}(luck,number)"
20400046,20122202,6,"[{type:3,param:20122202,value:-1}]",8,6,4,4,4,6,4
20400047,20122202,7,"[{type:3,param:20122202,value:-1}]",10,6,6,4,6,6,4
20400048,20122202,8,"[{type:3,param:20122202,value:-1}]",10,8,6,6,6,8,4
20400049,20122202,9,"[{type:3,param:20122202,value:-1}]",10,8,8,6,6,8,6
20400050,20122202,10,"[{type:3,param:20122202,value:-1}]",12,8,8,8,8,8,8
20400051,20111102,1,"[{type:3,param:20111102,value:-1}]",2,2,0,0,0,2,0
20400052,20111102,2,"[{type:3,param:20111102,value:-1}]",4,2,2,0,2,2,0
20400053,20111102,3,"[{type:3,param:20111102,value:-1}]",4,4,2,2,2,4,0
20400054,20111102,4,"[{type:3,param:20111102,value:-1}]",4,4,4,2,4,4,2
20400055,20111102,5,"[{type:3,param:20111102,value:-1}]",6,4,4,4,4,4,4
20400056,20111102,6,"[{type:3,param:20111102,value:-1}]",8,6,4,4,4,6,4
20400057,20111102,7,"[{type:3,param:20111102,value:-1}]",10,6,6,4,6,6,4
20400058,20111102,8,"[{type:3,param:20111102,value:-1}]",10,8,6,6,6,8,4
20400059,20111102,9,"[{type:3,param:20111102,value:-1}]",10,8,8,6,6,8,6
20400060,20111102,10,"[{type:3,param:20111102,value:-1}]",12,8,8,8,8,8,8
20400061,20131302,1,"[{type:3,param:20131302,value:-1}]",2,2,0,0,0,2,0
20400062,20131302,2,"[{type:3,param:20131302,value:-1}]",4,2,2,0,2,2,0
20400063,20131302,3,"[{type:3,param:20131302,value:-1}]",4,4,2,2,2,4,0
20400064,20131302,4,"[{type:3,param:20131302,value:-1}]",4,4,4,2,4,4,2
20400065,20131302,5,"[{type:3,param:20131302,value:-1}]",6,4,4,4,4,4,4
20400066,20131302,6,"[{type:3,param:20131302,value:-1}]",8,6,4,4,4,6,4
20400067,20131302,7,"[{type:3,param:20131302,value:-1}]",10,6,6,4,6,6,4
20400068,20131302,8,"[{type:3,param:20131302,value:-1}]",10,8,6,6,6,8,4
20400069,20131302,9,"[{type:3,param:20131302,value:-1}]",10,8,8,6,6,8,6
20400070,20131302,10,"[{type:3,param:20131302,value:-1}]",12,8,8,8,8,8,8
20400071,20141402,1,"[{type:3,param:20141402,value:-1}]",2,2,0,0,0,2,0
20400072,20141402,2,"[{type:3,param:20141402,value:-1}]",4,2,2,0,2,2,0
20400073,20141402,3,"[{type:3,param:20141402,value:-1}]",4,4,2,2,2,4,0
20400074,20141402,4,"[{type:3,param:20141402,value:-1}]",4,4,4,2,4,4,2
20400075,20141402,5,"[{type:3,param:20141402,value:-1}]",6,4,4,4,4,4,4
20400076,20141402,6,"[{type:3,param:20141402,value:-1}]",8,6,4,4,4,6,4
20400077,20141402,7,"[{type:3,param:20141402,value:-1}]",10,6,6,4,6,6,4
20400078,20141402,8,"[{type:3,param:20141402,value:-1}]",10,8,6,6,6,8,4
20400079,20141402,9,"[{type:3,param:20141402,value:-1}]",10,8,8,6,6,8,6
20400080,20141402,10,"[{type:3,param:20141402,value:-1}]",12,8,8,8,8,8,8
20400081,20122203,1,"[{type:3,param:20122203,value:-1}]",2,2,0,0,0,2,0
20400082,20122203,2,"[{type:3,param:20122203,value:-1}]",4,2,2,0,2,2,0
20400083,20122203,3,"[{type:3,param:20122203,value:-1}]",4,4,2,2,2,4,0
20400084,20122203,4,"[{type:3,param:20122203,value:-1}]",4,4,4,2,4,4,2
20400085,20122203,5,"[{type:3,param:20122203,value:-1}]",6,4,4,4,4,4,4
20400086,20122203,6,"[{type:3,param:20122203,value:-1}]",8,6,4,4,4,6,4
20400087,20122203,7,"[{type:3,param:20122203,value:-1}]",10,6,6,4,6,6,4
20400088,20122203,8,"[{type:3,param:20122203,value:-1}]",10,8,6,6,6,8,4
20400089,20122203,9,"[{type:3,param:20122203,value:-1}]",10,8,8,6,6,8,6
20400090,20122203,10,"[{type:3,param:20122203,value:-1}]",12,8,8,8,8,8,8
20400091,20131303,1,"[{type:3,param:20131303,value:-1}]",2,2,0,0,0,2,0
20400092,20131303,2,"[{type:3,param:20131303,value:-1}]",4,2,2,0,2,2,0
20400093,20131303,3,"[{type:3,param:20131303,value:-1}]",4,4,2,2,2,4,0
20400094,20131303,4,"[{type:3,param:20131303,value:-1}]",4,4,4,2,4,4,2
20400095,20131303,5,"[{type:3,param:20131303,value:-1}]",6,4,4,4,4,4,4
20400096,20131303,6,"[{type:3,param:20131303,value:-1}]",8,6,4,4,4,6,4
20400097,20131303,7,"[{type:3,param:20131303,value:-1}]",10,6,6,4,6,6,4
20400098,20131303,8,"[{type:3,param:20131303,value:-1}]",10,8,6,6,6,8,4
20400099,20131303,9,"[{type:3,param:20131303,value:-1}]",10,8,8,6,6,8,6
20400100,20131303,10,"[{type:3,param:20131303,value:-1}]",12,8,8,8,8,8,8
20400101,20111103,1,"[{type:3,param:20111103,value:-1}]",2,2,0,0,0,2,0
20400102,20111103,2,"[{type:3,param:20111103,value:-1}]",4,2,2,0,2,2,0
20400103,20111103,3,"[{type:3,param:20111103,value:-1}]",4,4,2,2,2,4,0
20400104,20111103,4,"[{type:3,param:20111103,value:-1}]",4,4,4,2,4,4,2
20400105,20111103,5,"[{type:3,param:20111103,value:-1}]",6,4,4,4,4,4,4
20400106,20111103,6,"[{type:3,param:20111103,value:-1}]",8,6,4,4,4,6,4
20400107,20111103,7,"[{type:3,param:20111103,value:-1}]",10,6,6,4,6,6,4
20400108,20111103,8,"[{type:3,param:20111103,value:-1}]",10,8,6,6,6,8,4
20400109,20111103,9,"[{type:3,param:20111103,value:-1}]",10,8,8,6,6,8,6
20400110,20111103,10,"[{type:3,param:20111103,value:-1}]",12,8,8,8,8,8,8
20400111,20141403,1,"[{type:3,param:20141403,value:-1}]",2,2,0,0,0,2,0
20400112,20141403,2,"[{type:3,param:20141403,value:-1}]",4,2,2,0,2,2,0
20400113,20141403,3,"[{type:3,param:20141403,value:-1}]",4,4,2,2,2,4,0
20400114,20141403,4,"[{type:3,param:20141403,value:-1}]",4,4,4,2,4,4,2
20400115,20141403,5,"[{type:3,param:20141403,value:-1}]",6,4,4,4,4,4,4
20400116,20141403,6,"[{type:3,param:20141403,value:-1}]",8,6,4,4,4,6,4
20400117,20141403,7,"[{type:3,param:20141403,value:-1}]",10,6,6,4,6,6,4
20400118,20141403,8,"[{type:3,param:20141403,value:-1}]",10,8,6,6,6,8,4
20400119,20141403,9,"[{type:3,param:20141403,value:-1}]",10,8,8,6,6,8,6
20400120,20141403,10,"[{type:3,param:20141403,value:-1}]",12,8,8,8,8,8,8
20400121,20124201,1,"[{type:3,param:20124201,value:-1}]",2,2,0,0,0,2,0
20400122,20124201,2,"[{type:3,param:20124201,value:-1}]",4,2,2,0,2,2,0
20400123,20124201,3,"[{type:3,param:20124201,value:-1}]",4,4,2,2,2,4,0
20400124,20124201,4,"[{type:3,param:20124201,value:-1}]",4,4,4,2,4,4,2
20400125,20124201,5,"[{type:3,param:20124201,value:-1}]",6,4,4,4,4,4,4
20400126,20124201,6,"[{type:3,param:20124201,value:-1}]",8,6,4,4,4,6,4
20400127,20124201,7,"[{type:3,param:20124201,value:-1}]",10,6,6,4,6,6,4
20400128,20124201,8,"[{type:3,param:20124201,value:-1}]",10,8,6,6,6,8,4
20400129,20124201,9,"[{type:3,param:20124201,value:-1}]",10,8,8,6,6,8,6
20400130,20124201,10,"[{type:3,param:20124201,value:-1}]",12,8,8,8,8,8,8
20400131,20111104,1,"[{type:3,param:20111104,value:-1}]",2,2,0,0,0,2,0
20400132,20111104,2,"[{type:3,param:20111104,value:-1}]",4,2,2,0,2,2,0
20400133,20111104,3,"[{type:3,param:20111104,value:-1}]",4,4,2,2,2,4,0
20400134,20111104,4,"[{type:3,param:20111104,value:-1}]",4,4,4,2,4,4,2
20400135,20111104,5,"[{type:3,param:20111104,value:-1}]",6,4,4,4,4,4,4
20400136,20111104,6,"[{type:3,param:20111104,value:-1}]",8,6,4,4,4,6,4
20400137,20111104,7,"[{type:3,param:20111104,value:-1}]",10,6,6,4,6,6,4
20400138,20111104,8,"[{type:3,param:20111104,value:-1}]",10,8,6,6,6,8,4
20400139,20111104,9,"[{type:3,param:20111104,value:-1}]",10,8,8,6,6,8,6
20400140,20111104,10,"[{type:3,param:20111104,value:-1}]",12,8,8,8,8,8,8
20400141,20131304,1,"[{type:3,param:20131304,value:-1}]",2,2,0,0,0,2,0
20400142,20131304,2,"[{type:3,param:20131304,value:-1}]",4,2,2,0,2,2,0
20400143,20131304,3,"[{type:3,param:20131304,value:-1}]",4,4,2,2,2,4,0
20400144,20131304,4,"[{type:3,param:20131304,value:-1}]",4,4,4,2,4,4,2
20400145,20131304,5,"[{type:3,param:20131304,value:-1}]",6,4,4,4,4,4,4
20400146,20131304,6,"[{type:3,param:20131304,value:-1}]",8,6,4,4,4,6,4
20400147,20131304,7,"[{type:3,param:20131304,value:-1}]",10,6,6,4,6,6,4
20400148,20131304,8,"[{type:3,param:20131304,value:-1}]",10,8,6,6,6,8,4
20400149,20131304,9,"[{type:3,param:20131304,value:-1}]",10,8,8,6,6,8,6
20400150,20131304,10,"[{type:3,param:20131304,value:-1}]",12,8,8,8,8,8,8
20400151,20141404,1,"[{type:3,param:20141404,value:-1}]",2,2,0,0,0,2,0
20400152,20141404,2,"[{type:3,param:20141404,value:-1}]",4,2,2,0,2,2,0
20400153,20141404,3,"[{type:3,param:20141404,value:-1}]",4,4,2,2,2,4,0
20400154,20141404,4,"[{type:3,param:20141404,value:-1}]",4,4,4,2,4,4,2
20400155,20141404,5,"[{type:3,param:20141404,value:-1}]",6,4,4,4,4,4,4
20400156,20141404,6,"[{type:3,param:20141404,value:-1}]",8,6,4,4,4,6,4
20400157,20141404,7,"[{type:3,param:20141404,value:-1}]",10,6,6,4,6,6,4
20400158,20141404,8,"[{type:3,param:20141404,value:-1}]",10,8,6,6,6,8,4
20400159,20141404,9,"[{type:3,param:20141404,value:-1}]",10,8,8,6,6,8,6
20400160,20141404,10,"[{type:3,param:20141404,value:-1}]",12,8,8,8,8,8,8
20400161,20131305,1,"[{type:3,param:20131305,value:-1}]",2,2,0,0,0,2,0
20400162,20131305,2,"[{type:3,param:20131305,value:-1}]",4,2,2,0,2,2,0
20400163,20131305,3,"[{type:3,param:20131305,value:-1}]",4,4,2,2,2,4,0
20400164,20131305,4,"[{type:3,param:20131305,value:-1}]",4,4,4,2,4,4,2
20400165,20131305,5,"[{type:3,param:20131305,value:-1}]",6,4,4,4,4,4,4
20400166,20131305,6,"[{type:3,param:20131305,value:-1}]",8,6,4,4,4,6,4
20400167,20131305,7,"[{type:3,param:20131305,value:-1}]",10,6,6,4,6,6,4
20400168,20131305,8,"[{type:3,param:20131305,value:-1}]",10,8,6,6,6,8,4
20400169,20131305,9,"[{type:3,param:20131305,value:-1}]",10,8,8,6,6,8,6
20400170,20131305,10,"[{type:3,param:20131305,value:-1}]",12,8,8,8,8,8,8
20400171,20111105,1,"[{type:3,param:20111105,value:-1}]",2,2,0,0,0,2,0
20400172,20111105,2,"[{type:3,param:20111105,value:-1}]",4,2,2,0,2,2,0
20400173,20111105,3,"[{type:3,param:20111105,value:-1}]",4,4,2,2,2,4,0
20400174,20111105,4,"[{type:3,param:20111105,value:-1}]",4,4,4,2,4,4,2
20400175,20111105,5,"[{type:3,param:20111105,value:-1}]",6,4,4,4,4,4,4
20400176,20111105,6,"[{type:3,param:20111105,value:-1}]",8,6,4,4,4,6,4
20400177,20111105,7,"[{type:3,param:20111105,value:-1}]",10,6,6,4,6,6,4
20400178,20111105,8,"[{type:3,param:20111105,value:-1}]",10,8,6,6,6,8,4
20400179,20111105,9,"[{type:3,param:20111105,value:-1}]",10,8,8,6,6,8,6
20400180,20111105,10,"[{type:3,param:20111105,value:-1}]",12,8,8,8,8,8,8
20400181,20124202,1,"[{type:3,param:20124202,value:-1}]",2,2,0,0,0,2,0
20400182,20124202,2,"[{type:3,param:20124202,value:-1}]",4,2,2,0,2,2,0
20400183,20124202,3,"[{type:3,param:20124202,value:-1}]",4,4,2,2,2,4,0
20400184,20124202,4,"[{type:3,param:20124202,value:-1}]",4,4,4,2,4,4,2
20400185,20124202,5,"[{type:3,param:20124202,value:-1}]",6,4,4,4,4,4,4
20400186,20124202,6,"[{type:3,param:20124202,value:-1}]",8,6,4,4,4,6,4
20400187,20124202,7,"[{type:3,param:20124202,value:-1}]",10,6,6,4,6,6,4
20400188,20124202,8,"[{type:3,param:20124202,value:-1}]",10,8,6,6,6,8,4
20400189,20124202,9,"[{type:3,param:20124202,value:-1}]",10,8,8,6,6,8,6
20400190,20124202,10,"[{type:3,param:20124202,value:-1}]",12,8,8,8,8,8,8
20400191,20141405,1,"[{type:3,param:20141405,value:-1}]",2,2,0,0,0,2,0
20400192,20141405,2,"[{type:3,param:20141405,value:-1}]",4,2,2,0,2,2,0
20400193,20141405,3,"[{type:3,param:20141405,value:-1}]",4,4,2,2,2,4,0
20400194,20141405,4,"[{type:3,param:20141405,value:-1}]",4,4,4,2,4,4,2
20400195,20141405,5,"[{type:3,param:20141405,value:-1}]",6,4,4,4,4,4,4
20400196,20141405,6,"[{type:3,param:20141405,value:-1}]",8,6,4,4,4,6,4
20400197,20141405,7,"[{type:3,param:20141405,value:-1}]",10,6,6,4,6,6,4
20400198,20141405,8,"[{type:3,param:20141405,value:-1}]",10,8,6,6,6,8,4
20400199,20141405,9,"[{type:3,param:20141405,value:-1}]",10,8,8,6,6,8,6
20400200,20141405,10,"[{type:3,param:20141405,value:-1}]",12,8,8,8,8,8,8
20400201,20134301,1,"[{type:3,param:20134301,value:-1}]",2,2,0,0,0,2,0
20400202,20134301,2,"[{type:3,param:20134301,value:-1}]",4,2,2,0,2,2,0
20400203,20134301,3,"[{type:3,param:20134301,value:-1}]",4,4,2,2,2,4,0
20400204,20134301,4,"[{type:3,param:20134301,value:-1}]",4,4,4,2,4,4,2
20400205,20134301,5,"[{type:3,param:20134301,value:-1}]",6,4,4,4,4,4,4
20400206,20134301,6,"[{type:3,param:20134301,value:-1}]",8,6,4,4,4,6,4
20400207,20134301,7,"[{type:3,param:20134301,value:-1}]",10,6,6,4,6,6,4
20400208,20134301,8,"[{type:3,param:20134301,value:-1}]",10,8,6,6,6,8,4
20400209,20134301,9,"[{type:3,param:20134301,value:-1}]",10,8,8,6,6,8,6
20400210,20134301,10,"[{type:3,param:20134301,value:-1}]",12,8,8,8,8,8,8
20400211,20124203,1,"[{type:3,param:20124203,value:-1}]",2,2,0,0,0,2,0
20400212,20124203,2,"[{type:3,param:20124203,value:-1}]",4,2,2,0,2,2,0
20400213,20124203,3,"[{type:3,param:20124203,value:-1}]",4,4,2,2,2,4,0
20400214,20124203,4,"[{type:3,param:20124203,value:-1}]",4,4,4,2,4,4,2
20400215,20124203,5,"[{type:3,param:20124203,value:-1}]",6,4,4,4,4,4,4
20400216,20124203,6,"[{type:3,param:20124203,value:-1}]",8,6,4,4,4,6,4
20400217,20124203,7,"[{type:3,param:20124203,value:-1}]",10,6,6,4,6,6,4
20400218,20124203,8,"[{type:3,param:20124203,value:-1}]",10,8,6,6,6,8,4
20400219,20124203,9,"[{type:3,param:20124203,value:-1}]",10,8,8,6,6,8,6
20400220,20124203,10,"[{type:3,param:20124203,value:-1}]",12,8,8,8,8,8,8
20400221,20111106,1,"[{type:3,param:20111106,value:-1}]",2,2,0,0,0,2,0
20400222,20111106,2,"[{type:3,param:20111106,value:-1}]",4,2,2,0,2,2,0
20400223,20111106,3,"[{type:3,param:20111106,value:-1}]",4,4,2,2,2,4,0
20400224,20111106,4,"[{type:3,param:20111106,value:-1}]",4,4,4,2,4,4,2
20400225,20111106,5,"[{type:3,param:20111106,value:-1}]",6,4,4,4,4,4,4
20400226,20111106,6,"[{type:3,param:20111106,value:-1}]",8,6,4,4,4,6,4
20400227,20111106,7,"[{type:3,param:20111106,value:-1}]",10,6,6,4,6,6,4
20400228,20111106,8,"[{type:3,param:20111106,value:-1}]",10,8,6,6,6,8,4
20400229,20111106,9,"[{type:3,param:20111106,value:-1}]",10,8,8,6,6,8,6
20400230,20111106,10,"[{type:3,param:20111106,value:-1}]",12,8,8,8,8,8,8
20400231,20141406,1,"[{type:3,param:20141406,value:-1}]",2,2,0,0,0,2,0
20400232,20141406,2,"[{type:3,param:20141406,value:-1}]",4,2,2,0,2,2,0
20400233,20141406,3,"[{type:3,param:20141406,value:-1}]",4,4,2,2,2,4,0
20400234,20141406,4,"[{type:3,param:20141406,value:-1}]",4,4,4,2,4,4,2
20400235,20141406,5,"[{type:3,param:20141406,value:-1}]",6,4,4,4,4,4,4
20400236,20141406,6,"[{type:3,param:20141406,value:-1}]",8,6,4,4,4,6,4
20400237,20141406,7,"[{type:3,param:20141406,value:-1}]",10,6,6,4,6,6,4
20400238,20141406,8,"[{type:3,param:20141406,value:-1}]",10,8,6,6,6,8,4
20400239,20141406,9,"[{type:3,param:20141406,value:-1}]",10,8,8,6,6,8,6
20400240,20141406,10,"[{type:3,param:20141406,value:-1}]",12,8,8,8,8,8,8
20400241,20111107,1,"[{type:3,param:20111107,value:-1}]",2,2,0,0,0,2,0
20400242,20111107,2,"[{type:3,param:20111107,value:-1}]",4,2,2,0,2,2,0
20400243,20111107,3,"[{type:3,param:20111107,value:-1}]",4,4,2,2,2,4,0
20400244,20111107,4,"[{type:3,param:20111107,value:-1}]",4,4,4,2,4,4,2
20400245,20111107,5,"[{type:3,param:20111107,value:-1}]",6,4,4,4,4,4,4
20400246,20111107,6,"[{type:3,param:20111107,value:-1}]",8,6,4,4,4,6,4
20400247,20111107,7,"[{type:3,param:20111107,value:-1}]",10,6,6,4,6,6,4
20400248,20111107,8,"[{type:3,param:20111107,value:-1}]",10,8,6,6,6,8,4
20400249,20111107,9,"[{type:3,param:20111107,value:-1}]",10,8,8,6,6,8,6
20400250,20111107,10,"[{type:3,param:20111107,value:-1}]",12,8,8,8,8,8,8
20400251,20124204,1,"[{type:3,param:20124204,value:-1}]",2,2,0,0,0,2,0
20400252,20124204,2,"[{type:3,param:20124204,value:-1}]",4,2,2,0,2,2,0
20400253,20124204,3,"[{type:3,param:20124204,value:-1}]",4,4,2,2,2,4,0
20400254,20124204,4,"[{type:3,param:20124204,value:-1}]",4,4,4,2,4,4,2
20400255,20124204,5,"[{type:3,param:20124204,value:-1}]",6,4,4,4,4,4,4
20400256,20124204,6,"[{type:3,param:20124204,value:-1}]",8,6,4,4,4,6,4
20400257,20124204,7,"[{type:3,param:20124204,value:-1}]",10,6,6,4,6,6,4
20400258,20124204,8,"[{type:3,param:20124204,value:-1}]",10,8,6,6,6,8,4
20400259,20124204,9,"[{type:3,param:20124204,value:-1}]",10,8,8,6,6,8,6
20400260,20124204,10,"[{type:3,param:20124204,value:-1}]",12,8,8,8,8,8,8
20400261,20134302,1,"[{type:3,param:20134302,value:-1}]",2,2,0,0,0,2,0
20400262,20134302,2,"[{type:3,param:20134302,value:-1}]",4,2,2,0,2,2,0
20400263,20134302,3,"[{type:3,param:20134302,value:-1}]",4,4,2,2,2,4,0
20400264,20134302,4,"[{type:3,param:20134302,value:-1}]",4,4,4,2,4,4,2
20400265,20134302,5,"[{type:3,param:20134302,value:-1}]",6,4,4,4,4,4,4
20400266,20134302,6,"[{type:3,param:20134302,value:-1}]",8,6,4,4,4,6,4
20400267,20134302,7,"[{type:3,param:20134302,value:-1}]",10,6,6,4,6,6,4
20400268,20134302,8,"[{type:3,param:20134302,value:-1}]",10,8,6,6,6,8,4
20400269,20134302,9,"[{type:3,param:20134302,value:-1}]",10,8,8,6,6,8,6
20400270,20134302,10,"[{type:3,param:20134302,value:-1}]",12,8,8,8,8,8,8
20400271,20141407,1,"[{type:3,param:20141407,value:-1}]",2,2,0,0,0,2,0
20400272,20141407,2,"[{type:3,param:20141407,value:-1}]",4,2,2,0,2,2,0
20400273,20141407,3,"[{type:3,param:20141407,value:-1}]",4,4,2,2,2,4,0
20400274,20141407,4,"[{type:3,param:20141407,value:-1}]",4,4,4,2,4,4,2
20400275,20141407,5,"[{type:3,param:20141407,value:-1}]",6,4,4,4,4,4,4
20400276,20141407,6,"[{type:3,param:20141407,value:-1}]",8,6,4,4,4,6,4
20400277,20141407,7,"[{type:3,param:20141407,value:-1}]",10,6,6,4,6,6,4
20400278,20141407,8,"[{type:3,param:20141407,value:-1}]",10,8,6,6,6,8,4
20400279,20141407,9,"[{type:3,param:20141407,value:-1}]",10,8,8,6,6,8,6
20400280,20141407,10,"[{type:3,param:20141407,value:-1}]",12,8,8,8,8,8,8
20400281,20124205,1,"[{type:3,param:20124205,value:-1}]",2,2,0,0,0,2,0
20400282,20124205,2,"[{type:3,param:20124205,value:-1}]",4,2,2,0,2,2,0
20400283,20124205,3,"[{type:3,param:20124205,value:-1}]",4,4,2,2,2,4,0
20400284,20124205,4,"[{type:3,param:20124205,value:-1}]",4,4,4,2,4,4,2
20400285,20124205,5,"[{type:3,param:20124205,value:-1}]",6,4,4,4,4,4,4
20400286,20124205,6,"[{type:3,param:20124205,value:-1}]",8,6,4,4,4,6,4
20400287,20124205,7,"[{type:3,param:20124205,value:-1}]",10,6,6,4,6,6,4
20400288,20124205,8,"[{type:3,param:20124205,value:-1}]",10,8,6,6,6,8,4
20400289,20124205,9,"[{type:3,param:20124205,value:-1}]",10,8,8,6,6,8,6
20400290,20124205,10,"[{type:3,param:20124205,value:-1}]",12,8,8,8,8,8,8
20400291,20111108,1,"[{type:3,param:20111108,value:-1}]",2,2,0,0,0,2,0
20400292,20111108,2,"[{type:3,param:20111108,value:-1}]",4,2,2,0,2,2,0
20400293,20111108,3,"[{type:3,param:20111108,value:-1}]",4,4,2,2,2,4,0
20400294,20111108,4,"[{type:3,param:20111108,value:-1}]",4,4,4,2,4,4,2
20400295,20111108,5,"[{type:3,param:20111108,value:-1}]",6,4,4,4,4,4,4
20400296,20111108,6,"[{type:3,param:20111108,value:-1}]",8,6,4,4,4,6,4
20400297,20111108,7,"[{type:3,param:20111108,value:-1}]",10,6,6,4,6,6,4
20400298,20111108,8,"[{type:3,param:20111108,value:-1}]",10,8,6,6,6,8,4
20400299,20111108,9,"[{type:3,param:20111108,value:-1}]",10,8,8,6,6,8,6
20400300,20111108,10,"[{type:3,param:20111108,value:-1}]",12,8,8,8,8,8,8
20400301,20134303,1,"[{type:3,param:20134303,value:-1}]",2,2,0,0,0,2,0
20400302,20134303,2,"[{type:3,param:20134303,value:-1}]",4,2,2,0,2,2,0
20400303,20134303,3,"[{type:3,param:20134303,value:-1}]",4,4,2,2,2,4,0
20400304,20134303,4,"[{type:3,param:20134303,value:-1}]",4,4,4,2,4,4,2
20400305,20134303,5,"[{type:3,param:20134303,value:-1}]",6,4,4,4,4,4,4
