"编号{id,int}(idx)","名称(str,n)","描述(str,d)","图标(str,p2)","出现回合{turn,int}","品质{qua,int}(num,qua)","出现权重{weight,int}","buf类型{bufType,int}(num,bt)","buf值{bufVal,int}(num,bv)","消耗货币类型{costType,int}(num,c)","消耗货币数量{costNum,int}(num,cn)","文字表描述1","文字表描述2",
53600021,初级血量加成,临时血量加成5%,10043101,1,1,1667,1,500,80400008,1,153600021,253600021,
53600022,中级攻击加成,临时攻击加成10%,10043105,1,2,794,2,1000,80400008,2,153600022,253600022,
53600023,中级攻击加成,临时攻击加成11%,10043105,1,2,698,2,1100,80400008,2,153600023,253600023,
53600024,中级攻击加成,临时攻击加成12%,10043105,1,2,603,2,1200,80400008,2,153600024,253600024,
53600025,中级攻击加成,临时攻击加成13%,10043105,1,2,508,2,1300,80400008,2,153600025,253600025,
53600026,中级攻击加成,临时攻击加成14%,10043105,1,2,413,2,1400,80400008,2,153600026,253600026,
53600027,中级攻击加成,临时攻击加成15%,10043105,1,2,317,2,1500,80400008,2,153600027,253600027,
53600028,中级技能加成,临时技能加成15%,10043108,1,2,263,3,1500,80400008,2,153600028,253600028,
53600029,中级技能加成,临时技能加成16%,10043108,1,2,541,3,1600,80400008,2,153600029,253600029,
53600030,中级技能加成,临时技能加成17%,10043108,1,2,700,3,1700,80400008,2,153600030,253600030,
53600031,中级技能加成,临时技能加成18%,10043108,1,2,755,3,1800,80400008,2,153600031,253600031,
53600032,中级技能加成,临时技能加成19%,10043108,1,2,731,3,1900,80400008,2,153600032,253600032,
53600033,中级技能加成,临时技能加成20%,10043108,1,2,650,3,2000,80400008,2,153600033,253600033,
53600034,中级技能加成,临时技能加成21%,10043108,1,2,534,3,2100,80400008,2,153600034,253600034,
53600035,中级技能加成,临时技能加成22%,10043108,1,2,399,3,2200,80400008,2,153600035,253600035,
53600036,中级技能加成,临时技能加成23%,10043108,1,2,257,3,2300,80400008,2,153600036,253600036,
53600037,中级技能加成,临时技能加成24%,10043108,1,2,120,3,2400,80400008,2,153600037,253600037,
53600038,中级技能加成,临时技能加成25%,10043108,1,2,48,3,2500,80400008,2,153600038,253600038,
53600039,中级血量加成,临时血量加成6%,10043102,1,2,249,1,600,80400008,2,153600039,253600039,
53600040,中级血量加成,临时血量加成7%,10043102,1,2,365,1,700,80400008,2,153600040,253600040,
53600041,中级血量加成,临时血量加成8%,10043102,1,2,425,1,800,80400008,2,153600041,253600041,
53600042,中级血量加成,临时血量加成9%,10043102,1,2,394,1,900,80400008,2,153600042,253600042,
53600043,中级血量加成,临时血量加成10%,10043102,1,2,234,1,1000,80400008,2,153600043,253600043,
53600044,高级攻击加成,临时攻击加成15%,10043106,1,3,5,2,1500,80400002,20,153600044,253600044,
53600045,高级攻击加成,临时攻击加成16%,10043106,1,3,37,2,1600,80400002,20,153600045,253600045,
53600046,高级攻击加成,临时攻击加成17%,10043106,1,3,90,2,1700,80400002,20,153600046,253600046,
53600047,高级攻击加成,临时攻击加成18%,10043106,1,3,1742,2,1800,80400002,20,153600047,253600047,
53600048,高级攻击加成,临时攻击加成19%,10043106,1,3,1074,2,1900,80400002,20,153600048,253600048,
53600049,高级攻击加成,临时攻击加成20%,10043106,1,3,385,2,2000,80400002,20,153600049,253600049,
53600050,高级技能加成,临时技能加成20%,10043109,1,3,28,3,2000,80400002,20,153600050,253600050,
53600051,高级技能加成,临时技能加成21%,10043109,1,3,32,3,2100,80400002,20,153600051,253600051,
53600052,高级技能加成,临时技能加成22%,10043109,1,3,35,3,2200,80400002,20,153600052,253600052,
53600053,高级技能加成,临时技能加成23%,10043109,1,3,51,3,2300,80400002,20,153600053,253600053,
53600054,高级技能加成,临时技能加成24%,10043109,1,3,101,3,2400,80400002,20,153600054,253600054,
53600055,高级技能加成,临时技能加成25%,10043109,1,3,149,3,2500,80400002,20,153600055,253600055,
53600056,高级技能加成,临时技能加成26%,10043109,1,3,198,3,2600,80400002,20,153600056,253600056,
53600057,高级技能加成,临时技能加成27%,10043109,1,3,248,3,2700,80400002,20,153600057,253600057,
53600058,高级技能加成,临时技能加成28%,10043109,1,3,299,3,2800,80400002,20,153600058,253600058,
53600059,高级技能加成,临时技能加成29%,10043109,1,3,353,3,2900,80400002,20,153600059,253600059,
53600060,高级技能加成,临时技能加成30%,10043109,1,3,411,3,3000,80400002,20,153600060,253600060,
53600061,高级技能加成,临时技能加成31%,10043109,1,3,472,3,3100,80400002,20,153600061,253600061,
53600062,高级技能加成,临时技能加成32%,10043109,1,3,539,3,3200,80400002,20,153600062,253600062,
53600063,高级技能加成,临时技能加成33%,10043109,1,3,612,3,3300,80400002,20,153600063,253600063,
53600064,高级技能加成,临时技能加成34%,10043109,1,3,692,3,3400,80400002,20,153600064,253600064,
53600065,高级技能加成,临时技能加成35%,10043109,1,3,779,3,3500,80400002,20,153600065,253600065,
53600066,高级血量加成,临时血量加成10%,10043103,1,3,93,1,1000,80400002,20,153600066,253600066,
53600067,高级血量加成,临时血量加成11%,10043103,1,3,130,1,1100,80400002,20,153600067,253600067,
53600068,高级血量加成,临时血量加成12%,10043103,1,3,188,1,1200,80400002,20,153600068,253600068,
53600069,高级血量加成,临时血量加成13%,10043103,1,3,275,1,1300,80400002,20,153600069,253600069,
53600070,高级血量加成,临时血量加成14%,10043103,1,3,403,1,1400,80400002,20,153600070,253600070,
53600071,高级血量加成,临时血量加成15%,10043103,1,3,579,1,1500,80400002,20,153600071,253600071,
