"ID{id,int}(idx)","类型{type,int}","类型(num,t)","选择描述(str,chooseDes)","场景跳转图片(str,datePlace)","跳转剧情(num,plotId)","微信开场剧情(str,startDes)","微信开场描述(str,indexDes)","美女约会开场(funcs,beautyStartDes)","美女约会地点引用(funcs,beautyDatePlace)","剧情(funcs,plotDes)","正确选择项(num,rightChoose)","奖励1{prize1,json_funcs}","奖励2{prize2,json_funcs}","奖励3{prize3,json_funcs}","选项1下一段剧情{nextCid1,int}","选项2下一段剧情{nextCid2,int} ","选项3下一段剧情{nextCid3,int}","剧情开始标志(num,showtime)",
57000025,2,1,,,,在我那个圈子里，我真是把人心看透了。,,,,"{{1,0,1,0,1,0},{{""怎么，在里面待的不开心吗？"",""有人惹你了吗？"",""发生什么事了？""},{""没有几个人能走近我的内心。"",""他们只是表面的吹捧我。"",""里面的人很虚伪，一点都不够坦诚。""},{""你要是觉得不开心，就不要当婚纱模特了吧！"",""不要管他们，做自己就好。""},{""但我很喜欢这个职业啊。"",""但愿我能一直保持对这份工作的热爱吧！""},{""你不是一直很憧憬爱情吗？我能给你。"",""你愿意为我穿上婚纱吗？""},{""你就是我要找的人。（微笑）"",""嗯，我愿意。（害羞）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
57000026,2,1,,,,你怎么了？看你很憔悴的样子。,,,,"{{1,0,1,0,1,0},{{""（哭）做噩梦了。"",""没什么，工作累了而已。"",""几天没看到你，不开心。""},{""那我给你唱首安眠曲好不好？（心疼）"",""要不要我给你熬汤喝呀？（开心）"",""你总是这样，不知道好好照顾自己。""},{""如果你能在我身边就好了。"",""那我好好听话。""},{""放心，我很快就会回来的。"",""那就更要好好照顾自己，不然我才不想见你。""},{""我们一起去烛光晚餐怎么样？"",""等你回来，我们去看电影吧。""},{""你真是一个浪漫有趣的人。"",""嗯，看我最喜欢的那部电影。（呲牙）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
57000031,1,1,,,,以后运动的时候一定要有专业的人在身边！,,,,"{{1,0,1,0,1,0},{{""可是我身边没有这样的呀，怎么办？（委屈）"",""这个专业的人，肯定就是你啦~（笑）"",""那就麻烦你多多指教啦~（调皮）""},{""现在私人教练那么多，不会聘一个吗。"",""我才不干，你这样的人，我得累死。"",""真拿你没办法，那你多问问我吧~（无奈）""},{""我新买了一双跑步鞋，你看看对不对。"",""我以后一定要注意一些小细节。""},{""哟，还知道主动来问我了。"",""嗯，不然很容易受伤。""},{""我对这些不是很专业，你以后一定要多指点我一下啊。"",""我一定要恶补一下关于这方面的东西。""},{""看我心情啰！"",""这一点很好啊。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000032,1,1,,,,你怎么又受伤了！（怒），说了好几次，怎么都不听！,,,,"{{1,0,1,0,1,0},{{""我又不是故意的~（难过）"",""我没有记住嘛。"",""我下次不会了。""},{""你就像我的克星，招架不住你这样的人。"",""记不住就找我呀，又不是不知道我在哪里！"",""真是被你气炸~""},{""我以后一定走心一点，不懂就问。"",""以后一定乖乖听话，多了解专业知识。""},{""这样才对嘛，一会儿我给你敷药。"",""嗯，那你最好不要好了伤疤忘了疼。""},{""等下我敷完药后顺便一起吃个饭呗？"",""我待会儿一定要吃个大餐补补。""},{""行啊。不过最好不要吃太油腻的东西。"",""你肌肉拉伤，今天只能吃补纤维的。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000033,1,1,,,,你真的想好好学健身吗？,,,,"{{1,0,1,0,1,0},{{""一半的一半啦。"",""说是也是，说不是也不是。"",""想过，但怕心有余而力不足。""},{""说得我一头雾水的，不懂你在想什么。"",""到底是不是嘛！让人不能理解！"",""光靠想的，是不行的哦~（笑）""},{""反正就是，很为难的，不知道怎么说才好。"",""我不止是想学，我还想学好，学成你这样。""},{""你有想过放弃吗？"",""你会中途因为累而放弃吗？""},{""我学健身，一方面想锻炼自己，但更多是为了跟你有共同语言。"",""起初学健身是为了我，现在学健身，全是因为你。""},{""你这个人啊。（露齿笑）"",""居然是这样啊。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000034,2,1,,,,今天你来找过我？我外出了。（尴尬）,,,,"{{1,0,1,0,1,0},{{""我崴到脚了，想问问怎么办（难过）~"",""我昨天运动完后全身难受，有没有解药（哭）~"",""我没事，就是想去找你聊聊天（笑）~""},{""你怎么这么容易受伤呀，哎，我比你还难受。"",""（托腮）没有解药，又不是中毒，你这个现象很正常。"",""那真不好意思，下次来我一定在哦~""},{""要想把身体锻炼好，有什么秘诀吗？"",""我想把身体锻炼好，应该怎么做呢？""},{""听话，坚持，就这么简单。"",""多听教练的话，好好坚持下去，几个月见效果了。""},{""我平时是不是太闹腾了。"",""我学习的好像不够认真。""},{""你说呢！（无奈）"",""你知道就好。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000035,2,1,,,,昨天教你的动作做了没？,,,,"{{1,0,1,0,1,0},{{""好难呀，做不到，瑜伽是真的难。"",""做了做了，早上就做了一次。"",""忘记做了（吐舌），一会儿补上好不好~""},{""要坚持，对你身体有很大的好处的。"",""我听着，怎么像是没做呢？"",""晚上罚你多做一组！（怒）""},{""晚上我们一起做吧~"",""我可以选择不做瑜伽吗？""},{""好呀，看你坚持得久，还是我坚持得久~（白眼）~"",""不行，我是你的教练，你得听我的。""},{""锻炼完了，我们一起喝喝饮料吧。我好怀念当初在船上一起看星星的时候。"",""你这个人啊，表面看着严格，其实很心软。""},{""就是那个时候，让我遇到了你呢。"",""哈哈，被你看出来了。（呲牙）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000036,2,1,,,,在不在？在不在？赶紧出来！！！,,,,"{{1,0,1,0,1,0},{{""啊！我今天早上做了两组！没有偷懒啊！"",""怎么了，这么急？"",""我得了一种一锻炼就要死的病，放一天假给我吧。""},{""好，知道你没偷懒，找你有其他事呢。"",""肯定是有事情呀，怎么，不想见我呀。"",""揍你信不信，赶紧好好的。""},{""哦，请问有什么是我能为你效劳的？"",""什么事啊？看你这么激动。""},{""我想去逛逛街，买些东西，想要你陪我去。"",""我呀，就想跟你去逛逛街，我们从来没有一起去逛街呢。""},{""我还以为你从来不逛街的呢！陪你逛街，是我荣幸呢。"",""这居然是我们第一次去逛街啊，那我得好好准备呢。""},{""我想给你买点东西，到时候你看看有什么想要的吧！"",""随便逛逛就好，去你喜欢的地方吧，我只是想送你点什么。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]","[{type:42,param:20200003,value:1}]",0,0,0,1,
57000041,1,1,,,,谢谢你今天帮我（笑）~,,,,"{{1,0,1,0,1,0},{{""今天真的很危险，以后要多注意呀。"",""不用谢，正好路过而已。"",""我最恨欺负女孩子的人，而且欺负的还是一个美女！""},{""恩，维拉感谢你，我请你吃东西吧。"",""你真是一个正义的人，抽空请你吃东西。"",""真会说话，走，我请你吃东西。""},{""你请我呀，那你喜欢吃什么呢？"",""跟美女在一起，还是我请你吃东西吧。""},{""蛋挞怎么样，我最近很喜欢吃蛋挞。"",""千万别跟我客气，我请你吃蛋挞，带你去一家我最喜欢的店。""},{""人民南路8号转角进去的那家，非常好吃哦~"",""你说的是人民南路8号转角进去的那家吗？""},{""这样你都知道，真是的，害我的惊喜都没了~（白眼）~"",""哇，你居然知道，哈哈哈，真是同道中人~""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000042,1,1,,,,我怎么老容易被这些坏人缠上（难受）~,,,,"{{1,0,1,0,1,0},{{""因为你漂亮呀~连我都想当坏人了~"",""那些坏人，大概是被你的美貌迷住了~"",""可能看你比较好欺负吧！""},{""看我不一脚踢飞你。（左哼哼）"",""那你怎么没有被我迷住呢（调皮）~"",""哼，我哪有很好欺负。""},{""还好今天哪里有监控。"",""以后你就凶一点，不要让别人欺负你。""},{""对哦，不然有理都说不清了。"",""哈哈，我都不知道我凶起来是什么样子。""},{""以后我尽力护着你点，不然又被人欺负了都不知道。"",""你要学会保护自己，不能老当冤大头。""},{""遇到你真好。（呲牙）"",""我知道了。（微笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000043,1,1,,,,你今天买的东西，奶奶很喜欢。,,,,"{{1,0,1,0,1,0},{{""那真是太好了（开心）~"",""奶奶喜欢最重要，她开开心心的就能早日康复~"",""喜欢就好，看来奶奶也喜欢我哦~""},{""你总是在我最无助的时候出现~"",""嗯，当然，谢谢你在我无助的时候帮助我~"",""奶奶当然喜欢你呀，你就像我的幸运星一样~""},{""只要你需要，我都会竭尽全力的帮助你的。"",""我想一直照顾你。""},{""你为什么对我这么好？从来没有人对我这么温柔细心的~"",""你对我这么好，我感到很开心。""},{""那当然，因为，我喜欢你呀~"",""开心怎么够，你应该幸福才对~""},{""啊，你怎么突然表白。（害羞）"",""有你我就有幸福。（微笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000044,2,1,,,,嘿~滑板、滑轮、冲浪你喜欢哪个？,,,,"{{1,0,1,0,1,0},{{""啊？一定要选一个吗？"",""我对这些都不太了解。"",""我···好像都不会啊（尴尬）~""},{""是啊，一定要选的，快点啦。（急）"",""你不会没玩过吧，一点儿都不潮啊。（汗）"",""不至于吧，你真是刷新了我的认知。""},{""我是不是让你很失望。"",""不会这些很正常吧！""},{""没有啦。"",""额~好像也是。""},{""那你能不能现教我呢？我学习很快的（认真）~"",""你教我吧，不过一定要保证我不会摔死。（难过）""},{""放心，交给我，手把手叫你，三天速成！"",""哈哈，你要是学不会，我才把你打死呢~（敲打）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000045,2,1,,,,我今晚又不能睡觉了（哭）~,,,,"{{1,0,1,0,1,0},{{""怎么了，失眠了还是生病了？"",""什么事让你睡不着了？"",""你能跟我说说原因吗？""},{""论文啊，不知道怎么写啊（委屈）。"",""要交论文了，但是我都不会写呀。"",""哎，我的论文写不出来，老师催着呢。""},{""那你怎么办呢？"",""有什么办法呢？""},{""要不，我去找个枪手代写怎么样？"",""我呀，想找人帮忙写一下。""},{""不能这样哦，自己的事情，要自己做才好。"",""你肯定可以自己写好的，我相信你，我陪着你一起。""},{""你还是那么一副老成的样子，但我喜欢。"",""好吧（开心），那我们俩一起做吧。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000046,2,1,,,,我想去游乐园玩，你陪我去吧。,,,,"{{1,0,1,0,1,0},{{""好呀，我也好想去玩玩。"",""当然没问题，我要把游乐园的每个项目都玩一遍。"",""我只敢玩旋转木马怎么办（哭）？""},{""那我们去哪里玩呢？"",""最刺激我们就去哪里好不好？"",""哈哈哈，你是不是想笑死我。对了，我们去哪个游乐园？""},{""迪士尼乐园怎么样，我买VIP。"",""迪士尼是个很不错的选择。""},{""迪士尼不错，我还可以跟米琪合照呢。这还是我小时候的梦想呢。"",""那我们去迪士尼乐园，然后在摩天轮上许愿吧！""},{""在游乐园里，保证你瞬间找回童心。"",""我们一起把里面的项目玩个遍。""},{""想想就好激动。（愉快）"",""正合我意。露齿笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]","[{type:42,param:20200004,value:1}]",0,0,0,1,
57000051,1,1,,,,嘿！我想问一下！你那件衣服多少钱呀？,,,,"{{1,0,1,0,1,0},{{""什么钱不钱的，一小点油漆，洗洗就好了。（微笑）"",""地摊货，我都穿好几年了，本来就准备丢了。（呲牙）"",""你说的什么，我怎么不记得是什么事了。""},{""哎呀，肯定不行的，一定要赔给你的（努力）！"",""瞎说，你逗我，看你身份就不像穿地摊货的！"",""衣服呀，今天我弄脏了你的衣服呀（焦急）！""},{""小事而已，不用赔我什么衣服了。"",""不用放在心上，你也不是故意的嘛。""},{""我是一定要赔的。"",""尽管如此，该赔的还是得陪。""},{""你咋这么犟呢，哎哎哎~"",""你呀你呀，性格真是实得很~""},{""嘿嘿！从小我爸妈就这么说我！"",""我爸妈就说我实，有什么不好（得意)！""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000052,1,1,,,,谢谢你请我吃豪华大餐。,,,,"{{1,0,1,0,1,0},{{""我实在不忍心看你吃泡面。"",""瞧你高兴的这样。"",""下次还想吃的话，我再请你。""},{""我也不想吃的，没办法嘛。"",""前段时间为了省钱，都没吃过什么大餐。"",""好好好，这个可以有。""},{""你现在还在当油漆工吗？"",""你还在努力赚钱赔我衣服吗？""},{""对啊，为了早日赚够钱，然后陪你衣服。"",""嗯，我说了要赔，就一定会想办法赔给你的。""},{""不用赔了，我希望你能轻松点。"",""你真是一个倔的可爱的女生。""},{""不用担心我啦！"",""哈哈。（愉快）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000053,1,1,,,,你有没有喜欢的画？,,,,"{{1,0,1,0,1,0},{{""唔，达芬奇的作品吧。"",""梵高，我曾经在《星空》里流连忘返呢。"",""很多呀，中国的、国外的都有哦~""},{""嘿！我也喜欢！"",""哈哈哈！我也是梵高迷呢！"",""你的兴趣爱好挺丰富呀！""},{""我觉得你很有艺术家的风采。"",""你画画很有天分呢！""},{""那你觉得我的画风像那个流派的。"",""我后天也很勤奋啊。你知道我喜欢那个流派的画吗？""},{""我猜是印象派的。"",""我好像不知道唉。""},{""猜对了。（呲牙）"",""哈哈，是印象派啦！""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000054,2,1,,,,喂喂喂！你说，是不是你给我送的礼物！！！,,,,"{{1,0,1,0,1,0},{{""哎哟，怎么了，火药味这么浓（心虚）~"",""能第一时间想到我，真是我的荣幸（笑）~"",""肯定是呀，送个礼物怎么了（得意）~""},{""你当着那么多人，叫人给我送礼物，好尴尬呀！！！"",""除了你，谁会当着那么多人做这样的事！！"",""拜托，下次能不能不要这样！！很尴尬好不好！当着那么多人的面！""},{""知道了，但那礼物是我精心挑选的，你看了没呀？"",""听你的，不过，你看到我送给你的礼物了吗？""},{""谁有空看啊，尴尬死了，真是的！！！"",""完全没空看好不好！！丢在一边了！！""},{""好吧，明明想为你买一套画笔和颜料的呢。（委屈）"",""你就看在那是我用心去挑选的画笔和颜料，原谅我呗，""},{""原来是这样呀！好吧！那谢谢啦（笑）！"",""哦！那好吧！看在你用心的份上！罚你当我的模特（阴险）！""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000055,2,1,,,,！！！！！！,,,,"{{1,0,1,0,1,0},{{""哇，怎么了！"",""啊啊啊，有没有跟你说过，感叹号会吓死人的呀！"",""这么多感叹号，是要干嘛呀！""},{""你猜猜看呗！"",""没有人说过，只有你这么说！"",""有好事呀！大事情呢，惊喜！""},{""什么事情呀，看你似乎很开心的样子！"",""我带等待你的下文。""},{""上次的画作，我们俩一起画的，得奖啦！"",""还记得我们一起合作的那幅画吗？我拿去参赛了，得奖啦！""},{""看来，上天也眷顾我们的感情呀！"",""人家是不是看出了满满的爱意呀。""},{""或许吧，我觉得这是我们的努力成果呢！"",""有哦，评委有这么说呢，害我脸红了。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000056,2,1,,,,你能陪我去一趟巴黎吗？,,,,"{{1,0,1,0,1,0},{{""巴黎？你要看时装吗？"",""巴黎，没问题呀，我早就想去了。"",""正好我也想去看看埃菲尔铁塔，一起吧。""},{""我想看一个画廊，很出名的。"",""好呀好呀，那你得陪我去看画展呢。"",""嗯，到时候我画一副铁搭画像给你。""},{""你喜欢的，我愿意去欣赏，然后跟你一起探讨（笑）~"",""你想做什么，我都愿意陪你。""},{""你什么都愿意依着我，对我真的很好。"",""你总是这么宠我，让我好幸福。""},{""确认过眼神，你就是对的那个人。"",""因为，你是我的人呀~""},{""你知道吗，我一直以来的梦想，就是跟深爱的人去巴黎。"",""到了巴黎，我会给你一个难忘的旅行（羞）！""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]","[{type:42,param:20200005,value:1}]",0,0,0,1,
57000061,1,1,,,,有一家的龙虾特别棒，要不要去？（眼馋）,,,,"{{1,0,1,0,1,0},{{""啧啧，看你这垂涎三尺的吃货样子。"",""什么龙虾呀，我很好奇？"",""真的吗？那我可要去尝尝看。""},{""不要在意细节啦，那家店真的很棒嘛。"",""这家店的龙虾我可是从小吃到大，味道好极了！"",""走啊，现在就去呗。""},{""以后不要随便吃别人给你的东西。"",""你这么相信我今天给你的食物没有毒啊。""},{""美食当前，我也没办法啊。"",""嘿嘿，妈妈说的，长得好看的人，心肠不会很坏，就算坏也是有苦衷的。""},{""真是一个典型的吃货。"",""嗬，小丫头有眼光嘛。""},{""能吃是福。（露齿笑）"",""那是。（傲娇）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200006,value:1}]","[{type:42,param:20200006,value:1}]","[{type:42,param:20200006,value:1}]",0,0,0,1,
