"效果ID{id,int}(id,number)","效果类型{type,int}(type,number)","效果播放特效(effect,string)","操作功能编码{func_code,int}(func_code,number)","功能参数{func_param,int}(func_param,number)","效果值类型{value_type,int}(value_type,number)","效果值{value,int}(value,number)","叠加类型{overlay_type,int}(over_lap,number)",备注
22201612,2,,1,6,2,-4,888,魔防-4
22201613,2,,1,6,2,-5,888,魔防-5
22201614,2,,1,6,2,-6,888,魔防-6
22201615,2,,1,6,2,-7,888,魔防-7
22201616,2,,1,6,1,-3000,73,魔防减少30%
22201617,2,,1,6,1,-5000,74,魔防减少50%
22201618,2,,1,6,1,-8000,75,魔防减少80%
22201619,1,,1,6,2,1,888,魔防+1(不可叠加)
22201620,1,,1,6,2,2,888,魔防+2(不可叠加)
22201621,1,,1,6,2,3,888,魔防+3(不可叠加)
22201622,1,,1,6,2,4,888,魔防+4(不可叠加)
22201623,1,,1,6,2,5,888,魔防+5(不可叠加)
22201624,1,,1,6,2,6,888,魔防+6(不可叠加)
22201625,1,,1,6,2,7,888,魔防+7(不可叠加)
22201701,1,,1,7,2,1,76,技巧+1
22201702,1,,1,7,2,2,77,技巧+2
22201703,1,,1,7,2,3,78,技巧+3
22201704,1,,1,7,2,4,79,技巧+4
22201705,1,,1,7,2,5,80,技巧+5
22201706,1,,1,7,2,6,81,技巧+6
22201707,1,,1,7,2,7,82,技巧+7
22201708,2,,1,7,2,-1,888,技巧-1
22201709,2,,1,7,2,-2,888,技巧-2
22201710,2,,1,7,2,-3,888,技巧-3
22201711,2,,1,7,2,-4,888,技巧-4
22201712,2,,1,7,2,-5,888,技巧-5
22201713,2,,1,7,2,-6,888,技巧-6
22201714,2,,1,7,2,-7,888,技巧-7
22201715,1,,1,7,2,1,888,技巧+1(不可叠加)
22201716,1,,1,7,2,2,888,技巧+2(不可叠加)
22201717,1,,1,7,2,3,888,技巧+3(不可叠加)
22201718,1,,1,7,2,4,888,技巧+4(不可叠加)
22201719,1,,1,7,2,5,888,技巧+5(不可叠加)
22201720,1,,1,7,2,6,888,技巧+6(不可叠加)
22201721,1,,1,7,2,7,888,技巧+7(不可叠加)
22201801,1,,1,8,2,1,90,幸运+1
22201802,1,,1,8,2,2,91,幸运+2
22201803,1,,1,8,2,3,92,幸运+3
22201804,1,,1,8,2,4,93,幸运+4
22201805,1,,1,8,2,5,94,幸运+5
22201806,1,,1,8,2,6,95,幸运+6
22201807,1,,1,8,2,7,96,幸运+7
22201808,2,,1,8,2,-1,888,幸运-1
22201809,2,,1,8,2,-2,888,幸运-2
22201810,2,,1,8,2,-3,888,幸运-3
22201811,2,,1,8,2,-4,888,幸运-4
22201812,2,,1,8,2,-5,888,幸运-5
22201813,2,,1,8,2,-6,888,幸运-6
22201814,2,,1,8,2,-7,888,幸运-7
22201815,1,,1,8,2,1,888,幸运+1(不可叠加)
22201816,1,,1,8,2,2,888,幸运+2(不可叠加)
22201817,1,,1,8,2,3,888,幸运+3(不可叠加)
22201818,1,,1,8,2,4,888,幸运+4(不可叠加)
22201819,1,,1,8,2,5,888,幸运+5(不可叠加)
22201820,1,,1,8,2,6,888,幸运+6(不可叠加)
22201821,1,,1,8,2,7,888,幸运+7(不可叠加)
22201201,1,,1,2,2,1,104,回复1HP
22201202,1,,1,2,2,2,105,回复2HP
22201203,1,,1,2,2,3,106,回复3HP
22201204,1,,1,2,2,4,107,回复4HP
22201205,1,,1,2,2,5,108,回复5HP
22201206,1,,1,2,2,6,109,回复6HP
22201207,1,,1,2,2,7,110,回复7HP
22201208,1,,1,2,2,8,111,回复8HP
22201209,1,,1,2,2,9,112,回复9HP
22201210,1,,1,2,2,10,113,回复10HP
22201211,1,,1,2,2,15,114,回复15HP
22201212,1,,1,2,2,99,115,回复99HP
22201213,1,,1,2,3,101,116,伤害30%
22201214,1,,1,2,3,102,117,伤害50%
22201215,1,,1,2,3,103,118,回复量50%
22201216,1,,1,2,3,104,119,回复量75%
22201217,1,,1,2,3,105,120,回复量100%
22201218,1,,1,2,3,114,121,自身攻击50%
22201219,1,,1,2,3,106,122,自身攻击50%+10
22201220,1,,1,2,3,107,123,"max(0,目标最大血量/2-目标当前血量）*2+7"
22201221,1,,1,2,3,108,124,"max（自身攻击的50%-10,7）+max（0，目标最大血量/2-目标当前血量）*2"
22201222,1,,1,2,3,109,125,自身最大血量-自身当前血量+7
22201223,1,,1,2,3,110,126,max(自身最大血量-自身当前血量+自身攻击力*50%），7）
22201224,1,,1,2,3,111,127,（自身最大血量-自身当前血量）/2
22202001,1,,2,0,2,-1,128,奥义计量上限-1
22202002,2,,2,0,2,1,129,奥义计量上限+1
22203001,1,,3,0,2,-1,130,奥义计量-1
22203002,1,,3,0,2,-2,131,奥义计量-2
22204001,1,,4,0,2,1,888,奥义计量变化量+1
22204002,2,,4,0,2,-1,888,奥义计量变化量-1
22205001,1,,5,0,2,1,888,因攻击奥义计量变化量+1
22206001,1,,6,0,1,1000,135,三角克制变化增加10%
22206002,1,,6,0,1,1500,136,三角克制变化增加15%
22206003,1,,6,0,1,2000,137,三角克制变化增加20%
22207001,1,,7,0,0,0,138,三角克制无效
22208101,1,,8,1,0,0,139,克制骑马无效
22208201,1,,8,2,0,0,140,克制重装无效
22208301,1,,8,3,0,0,141,克制飞行无效
22210001,1,,10,0,0,0,142,必定追击
22211001,1,,11,0,0,0,144,立即追击
22212001,2,,12,0,0,0,145,无法追击
22213001,1,,13,0,0,0,146,无视距离反击
22214001,2,,14,0,0,0,147,无法反击
22215001,1,,15,0,0,0,148,立即反击
22216001,1,,16,0,0,0,149,改变战斗顺序技能无效
22217001,1,,17,0,3,112,150,min（max（0，（自身速度-目标速度）*70%），7）
22217002,1,,17,0,3,113,151,自身攻击30%
22217003,1,,17,0,3,114,152,自身攻击50%
22217004,1,,17,0,3,115,153,自身速度40%
22217005,1,,17,0,3,116,154,自身速度30%
22217006,1,,17,0,3,117,155,自身防守50%
22217007,1,,17,0,3,118,156,自身防守80%
22217008,1,,17,0,3,119,157,自身魔防50%
22217009,1,,17,0,3,120,158,自身魔防80%
22217010,1,,17,0,3,121,159,（自身最大血量-自身当前血量）*30%
22217011,1,,17,0,3,122,160,（自身最大血量-自身当前血量）*50%
22217012,1,,17,0,2,7,161,造成伤害+7
22217013,1,,17,0,2,10,162,造成伤害+10
22217014,1,,17,0,3,131,163,减免伤害值
22217015,1,,17,0,2,-5,164,受到伤害-5
22218001,1,,18,0,1,15000,165,造成1.5倍伤害
22218002,1,,18,0,1,25000,166,造成2.5倍伤害
22218003,1,,18,0,1,-3000,167,受到伤害降低30%
22218004,1,,18,0,1,-5000,168,受到伤害降低50%
22218005,1,,18,0,1,-8000,169,受到伤害降低80%
22219001,2,,19,0,2,1,170,造成1伤害
22219002,2,,19,0,2,2,171,造成2伤害
22219003,2,,19,0,2,3,172,造成3伤害
22219004,2,,19,0,2,4,173,造成4伤害
22219005,2,,19,0,2,5,174,造成5伤害
22219006,2,,19,0,2,6,175,造成6伤害
22219007,2,,19,0,2,7,176,造成7伤害
22219008,2,,19,0,2,8,177,造成8伤害
22219009,2,,19,0,2,9,178,造成9伤害
22219010,2,,19,0,2,10,179,造成10伤害
22219011,1,,19,0,3,123,180,自身的攻击-目标的防守或魔防
22219012,1,,19,0,3,124,181,（自身的攻击-目标的防守或魔防）*150%
22220101,1,,20,1,0,0,182,选择防御中较高的一项
22220202,2,,20,2,0,0,183,选择防御中较低的一项
22221001,1,,21,0,0,0,184,hp不能低于1
22222001,1,,22,0,0,0,185,杖的伤害衰减无效
22223101,2,,23,1,0,0,186,取消强化状态
22223201,1,,23,2,0,0,187,取消弱化状态
22223301,1,,23,3,0,0,188,反转强化效果
22224101,1,,24,1,0,0,189,替换自身和目标的位置
22224201,1,,24,2,0,0,190,让目标移动到自身的所在位置，自身则后退1格
22224301,1,,24,3,0,0,191,让目标朝自身的反方向移动1格
22224401,1,,24,4,0,0,192,自身后退1格
22225101,1,,25,1,1,5000,193,获得经验增加50%
22225102,1,,25,1,1,10000,194,获得经验增加100%
22225103,1,,25,2,1,5000,195,获得SP增加50%
22225104,1,,25,2,1,10000,196,获得SP增加100%
22226001,1,,26,0,0,0,197,再动
22227101,2,,27,1,2,1,198,将移动距离改为1
22227201,1,,27,2,2,1,199,移动距离+1
22228101,1,,28,1,0,0,200,穿过敌方所在格子
22228201,2,,28,2,0,0,201,敌人无法穿越与自身相邻的格子
22229101,1,,29,1,0,0,202,移动至我方相邻的格子
22229201,1,,29,2,0,0,203,移动至自身相邻的格子
22230101,1,,30,1,2,5,204,将速度加5进行比较
22230102,1,,30,1,2,7,205,将速度加7进行比较
22230103,1,,30,1,2,10,206,将速度加10进行比较
22213101,1,,31,0,2,2,207,改变攻击次数为2
