"编号{id,int}(idx)","关卡名(str,pname)","关卡节点名(str,name)","描述(str,desc)","章节{chapter,int}(num,zj)","部分{part,int}(num,gk)","序号{ix,int}(num,zdjd)","头像(str,h1)","方头像(str,h2)","半身像(str,hf)","名字(str,bossn)","简介(str,bossd)","背景图(str,bg)","传单颜色(num,bColor)","战斗配置(num,fCfg)","口才{eqen,long}(num,kc)","实力{chance,long}(num,sl)","参数1{param1,long}","参数2{param2,long}","是否boss{boss,bool}(str,boss)","奖励{prize,json_funcs}(json,jl)","文字描述1","文字描述2",
40000135,1章3关,1章3关5点,1章3关5点描述,1,3,4,,,,,,,2,40200003,141,1352,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000135,240000135,
40000136,1章3关,1章3关6点,1章3关6点描述,1,3,5,,,,,,,1,40200003,146,1378,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000136,240000136,
40000137,1章3关,1章3关7点,1章3关7点描述,1,3,6,,,,,,,2,40200001,150,1404,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000137,240000137,
40000138,1章3关,1章3关8点,1章3关8点描述,1,3,7,,,,,,,1,40200001,154,1430,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000138,240000138,
40000141,1章4关,1章4关1点,1章4关1点描述,1,4,0,,,,,,,3,40200002,161,1600,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000141,240000141,
40000142,1章4关,1章4关2点,1章4关2点描述,1,4,1,,,,,,,1,40200002,164,1616,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000142,240000142,
40000143,1章4关,1章4关3点,1章4关3点描述,1,4,2,,,,,,,2,40200007,168,1632,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000143,240000143,
40000144,1章4关,1章4关4点,1章4关4点描述,1,4,3,,,,,,,2,40200007,171,1648,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000144,240000144,
40000145,1章4关,1章4关5点,1章4关5点描述,1,4,4,,,,,,,1,40200003,174,1664,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000145,240000145,
40000146,1章4关,1章4关6点,1章4关6点描述,1,4,5,,,,,,,2,40200003,179,1696,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000146,240000146,
40000147,1章4关,1章4关7点,1章4关7点描述,1,4,6,,,,,,,3,40200001,184,1728,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000147,240000147,
40000148,1章4关,1章4关8点,1章4关8点描述,1,4,7,,,,,,,3,40200001,190,1760,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000148,240000148,
40000151,1章5关,1章5关1点,1章5关1点描述,1,5,0,,,,,,,2,40200005,202,2000,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000151,240000151,
40000152,1章5关,1章5关2点,1章5关2点描述,1,5,1,,,,,,,1,40200005,206,2020,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000152,240000152,
40000153,1章5关,1章5关3点,1章5关3点描述,1,5,2,,,,,,,1,40200008,210,2040,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000153,240000153,
40000154,1章5关,1章5关4点,1章5关4点描述,1,5,3,,,,,,,2,40200008,214,2060,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000154,240000154,
40000155,1章5关,1章5关5点,1章5关5点描述,1,5,4,,,,,,,1,40200007,218,2080,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000155,240000155,
40000156,1章5关,1章5关6点,1章5关6点描述,1,5,5,,,,,,,3,40200007,224,2120,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000156,240000156,
40000157,1章5关,1章5关7点,1章5关7点描述,1,5,6,,,,,,,2,40200003,231,2160,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000157,240000157,
40000158,1章5关,1章5关8点,1章5关8点描述,1,5,7,,,,,,,3,40200003,237,2200,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000158,240000158,
40000161,地头蛇,地头蛇,地头蛇描述,1,6,0,10031202,10031232,10032202,第1BOSS,第1BOSS描述,gk_1,,40200010,0,15000,0,0,true,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130001,value:1},{type:33,value:25}]",140000161,240000161,
40000211,2章1关,2章1关1点,2章1关1点描述,2,1,0,,,,,,,2,40200006,252,2500,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000211,240000211,
40000212,2章1关,2章1关2点,2章1关2点描述,2,1,1,,,,,,,1,40200006,257,2525,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000212,240000212,
40000213,2章1关,2章1关3点,2章1关3点描述,2,1,2,,,,,,,3,40200007,262,2550,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000213,240000213,
40000214,2章1关,2章1关4点,2章1关4点描述,2,1,3,,,,,,,1,40200007,267,2575,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000214,240000214,
40000215,2章1关,2章1关5点,2章1关5点描述,2,1,4,,,,,,,3,40200008,273,2600,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000215,240000215,
40000216,2章1关,2章1关6点,2章1关6点描述,2,1,5,,,,,,,3,40200008,280,2650,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000216,240000216,
40000217,2章1关,2章1关7点,2章1关7点描述,2,1,6,,,,,,,2,40200007,288,2700,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000217,240000217,
40000218,2章1关,2章1关8点,2章1关8点描述,2,1,7,,,,,,,2,40200007,297,2750,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000218,240000218,
40000221,2章2关,2章2关1点,2章2关1点描述,2,2,0,,,,,,,3,40200005,303,3000,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000221,240000221,
40000222,2章2关,2章2关2点,2章2关2点描述,2,2,1,,,,,,,2,40200005,309,3030,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000222,240000222,
40000223,2章2关,2章2关3点,2章2关3点描述,2,2,2,,,,,,,3,40200005,315,3060,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000223,240000223,
40000224,2章2关,2章2关4点,2章2关4点描述,2,2,3,,,,,,,2,40200005,321,3090,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000224,240000224,
40000225,2章2关,2章2关5点,2章2关5点描述,2,2,4,,,,,,,1,40200009,327,3120,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000225,240000225,
40000226,2章2关,2章2关6点,2章2关6点描述,2,2,5,,,,,,,2,40200009,337,3180,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000226,240000226,
40000227,2章2关,2章2关7点,2章2关7点描述,2,2,6,,,,,,,2,40200003,346,3240,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000227,240000227,
40000228,2章2关,2章2关8点,2章2关8点描述,2,2,7,,,,,,,2,40200003,356,3300,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000228,240000228,
40000231,2章3关,2章3关1点,2章3关1点描述,2,3,0,,,,,,,2,40200001,353,3500,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000231,240000231,
40000232,2章3关,2章3关2点,2章3关2点描述,2,3,1,,,,,,,3,40200001,360,3535,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000232,240000232,
40000233,2章3关,2章3关3点,2章3关3点描述,2,3,2,,,,,,,1,40200004,367,3570,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000233,240000233,
40000234,2章3关,2章3关4点,2章3关4点描述,2,3,3,,,,,,,2,40200004,374,3605,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000234,240000234,
40000235,2章3关,2章3关5点,2章3关5点描述,2,3,4,,,,,,,2,40200001,382,3640,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000235,240000235,
40000236,2章3关,2章3关6点,2章3关6点描述,2,3,5,,,,,,,2,40200001,393,3710,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000236,240000236,
40000237,2章3关,2章3关7点,2章3关7点描述,2,3,6,,,,,,,1,40200009,404,3780,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000237,240000237,
40000238,2章3关,2章3关8点,2章3关8点描述,2,3,7,,,,,,,2,40200009,415,3850,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000238,240000238,
40000241,2章4关,2章4关1点,2章4关1点描述,2,4,0,,,,,,,1,40200006,404,4000,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000241,240000241,
40000242,2章4关,2章4关2点,2章4关2点描述,2,4,1,,,,,,,3,40200006,412,4040,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000242,240000242,
40000243,2章4关,2章4关3点,2章4关3点描述,2,4,2,,,,,,,1,40200009,420,4080,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000243,240000243,
40000244,2章4关,2章4关4点,2章4关4点描述,2,4,3,,,,,,,3,40200009,428,4120,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000244,240000244,
40000245,2章4关,2章4关5点,2章4关5点描述,2,4,4,,,,,,,1,40200006,436,4160,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000245,240000245,
40000246,2章4关,2章4关6点,2章4关6点描述,2,4,5,,,,,,,2,40200006,449,4240,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000246,240000246,
40000247,2章4关,2章4关7点,2章4关7点描述,2,4,6,,,,,,,2,40200004,462,4320,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000247,240000247,
40000248,2章4关,2章4关8点,2章4关8点描述,2,4,7,,,,,,,1,40200004,475,4400,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000248,240000248,
40000251,2章5关,2章5关1点,2章5关1点描述,2,5,0,,,,,,,3,40200001,505,5000,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000251,240000251,
40000252,2章5关,2章5关2点,2章5关2点描述,2,5,1,,,,,,,2,40200001,515,5050,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000252,240000252,
40000253,2章5关,2章5关3点,2章5关3点描述,2,5,2,,,,,,,2,40200006,525,5100,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000253,240000253,
40000254,2章5关,2章5关4点,2章5关4点描述,2,5,3,,,,,,,1,40200006,535,5150,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000254,240000254,
40000255,2章5关,2章5关5点,2章5关5点描述,2,5,4,,,,,,,3,40200006,546,5200,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000255,240000255,
40000256,2章5关,2章5关6点,2章5关6点描述,2,5,5,,,,,,,2,40200006,561,5300,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000256,240000256,
40000257,2章5关,2章5关7点,2章5关7点描述,2,5,6,,,,,,,1,40200009,577,5400,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5}]",140000257,240000257,
40000258,2章5关,2章5关8点,2章5关8点描述,2,5,7,,,,,,,1,40200009,594,5500,10000,800,false,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000258,240000258,
40000261,地头蛇,地头蛇,地头蛇描述,2,6,0,10031201,10031231,10032201,第2BOSS,第2BOSS描述,gk_1,,40200010,0,60000,0,0,true,"[{type:4,param:80400001,value:1959},{type:10,param:0,value:5},{type:11,param:30130001,value:1},{type:33,value:25}]",140000261,240000261,
40000311,3章1关,3章1关1点,3章1关1点描述,3,1,0,,,,,,,2,40200006,606,6000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000311,240000311,
40000312,3章1关,3章1关2点,3章1关2点描述,3,1,1,,,,,,,1,40200006,618,6060,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000312,240000312,
40000313,3章1关,3章1关3点,3章1关3点描述,3,1,2,,,,,,,2,40200009,630,6120,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000313,240000313,
40000314,3章1关,3章1关4点,3章1关4点描述,3,1,3,,,,,,,2,40200009,642,6180,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000314,240000314,
40000315,3章1关,3章1关5点,3章1关5点描述,3,1,4,,,,,,,2,40200004,655,6240,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000315,240000315,
40000316,3章1关,3章1关6点,3章1关6点描述,3,1,5,,,,,,,3,40200004,674,6360,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000316,240000316,
40000317,3章1关,3章1关7点,3章1关7点描述,3,1,6,,,,,,,3,40200008,693,6480,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000317,240000317,
40000318,3章1关,3章1关8点,3章1关8点描述,3,1,7,,,,,,,2,40200008,712,6600,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000318,240000318,
40000321,3章2关,3章2关1点,3章2关1点描述,3,2,0,,,,,,,3,40200004,707,7000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000321,240000321,
40000322,3章2关,3章2关2点,3章2关2点描述,3,2,1,,,,,,,2,40200004,721,7070,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000322,240000322,
40000323,3章2关,3章2关3点,3章2关3点描述,3,2,2,,,,,,,1,40200002,735,7140,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000323,240000323,
40000324,3章2关,3章2关4点,3章2关4点描述,3,2,3,,,,,,,3,40200002,749,7210,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000324,240000324,
40000325,3章2关,3章2关5点,3章2关5点描述,3,2,4,,,,,,,1,40200005,764,7280,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000325,240000325,
40000326,3章2关,3章2关6点,3章2关6点描述,3,2,5,,,,,,,2,40200005,786,7420,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000326,240000326,
40000327,3章2关,3章2关7点,3章2关7点描述,3,2,6,,,,,,,3,40200003,808,7560,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000327,240000327,
40000328,3章2关,3章2关8点,3章2关8点描述,3,2,7,,,,,,,3,40200003,831,7700,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000328,240000328,
40000331,3章3关,3章3关1点,3章3关1点描述,3,3,0,,,,,,,1,40200001,808,8000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000331,240000331,
40000332,3章3关,3章3关2点,3章3关2点描述,3,3,1,,,,,,,2,40200001,824,8080,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000332,240000332,
40000333,3章3关,3章3关3点,3章3关3点描述,3,3,2,,,,,,,2,40200006,840,8160,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000333,240000333,
40000334,3章3关,3章3关4点,3章3关4点描述,3,3,3,,,,,,,3,40200006,856,8240,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000334,240000334,
40000335,3章3关,3章3关5点,3章3关5点描述,3,3,4,,,,,,,1,40200008,873,8320,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000335,240000335,
40000336,3章3关,3章3关6点,3章3关6点描述,3,3,5,,,,,,,3,40200008,898,8480,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000336,240000336,
40000337,3章3关,3章3关7点,3章3关7点描述,3,3,6,,,,,,,3,40200004,924,8640,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000337,240000337,
40000338,3章3关,3章3关8点,3章3关8点描述,3,3,7,,,,,,,3,40200004,950,8800,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000338,240000338,
40000341,3章4关,3章4关1点,3章4关1点描述,3,4,0,,,,,,,1,40200005,909,9000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000341,240000341,
40000342,3章4关,3章4关2点,3章4关2点描述,3,4,1,,,,,,,1,40200005,927,9090,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000342,240000342,
40000343,3章4关,3章4关3点,3章4关3点描述,3,4,2,,,,,,,3,40200007,945,9180,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000343,240000343,
40000344,3章4关,3章4关4点,3章4关4点描述,3,4,3,,,,,,,1,40200007,964,9270,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000344,240000344,
40000345,3章4关,3章4关5点,3章4关5点描述,3,4,4,,,,,,,3,40200005,982,9360,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000345,240000345,
40000346,3章4关,3章4关6点,3章4关6点描述,3,4,5,,,,,,,1,40200005,1011,9540,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000346,240000346,
40000347,3章4关,3章4关7点,3章4关7点描述,3,4,6,,,,,,,2,40200005,1040,9720,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000347,240000347,
40000348,3章4关,3章4关8点,3章4关8点描述,3,4,7,,,,,,,2,40200005,1069,9900,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000348,240000348,
40000351,3章5关,3章5关1点,3章5关1点描述,3,5,0,,,,,,,3,40200004,1010,10000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000351,240000351,
40000352,3章5关,3章5关2点,3章5关2点描述,3,5,1,,,,,,,2,40200004,1030,10100,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000352,240000352,
40000353,3章5关,3章5关3点,3章5关3点描述,3,5,2,,,,,,,2,40200005,1050,10200,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000353,240000353,
40000354,3章5关,3章5关4点,3章5关4点描述,3,5,3,,,,,,,3,40200005,1071,10300,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000354,240000354,
40000355,3章5关,3章5关5点,3章5关5点描述,3,5,4,,,,,,,2,40200008,1092,10400,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000355,240000355,
40000356,3章5关,3章5关6点,3章5关6点描述,3,5,5,,,,,,,1,40200008,1123,10600,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000356,240000356,
40000357,3章5关,3章5关7点,3章5关7点描述,3,5,6,,,,,,,2,40200008,1155,10800,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5}]",140000357,240000357,
40000358,3章5关,3章5关8点,3章5关8点描述,3,5,7,,,,,,,2,40200008,1188,11000,10000,1200,false,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000358,240000358,
40000361,地头蛇,地头蛇,地头蛇描述,3,6,0,10031207,10031237,10032207,第3BOSS,第3BOSS描述,gk_1,,40200010,0,135000,0,0,true,"[{type:4,param:80400001,value:1967},{type:10,param:0,value:5},{type:11,param:30130001,value:1},{type:33,value:25}]",140000361,240000361,
40000411,4章1关,4章1关1点,4章1关1点描述,4,1,0,,,,,,,3,40200005,1212,12000,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000411,240000411,
40000412,4章1关,4章1关2点,4章1关2点描述,4,1,1,,,,,,,2,40200005,1236,12120,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000412,240000412,
40000413,4章1关,4章1关3点,4章1关3点描述,4,1,2,,,,,,,1,40200007,1260,12240,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000413,240000413,
40000414,4章1关,4章1关4点,4章1关4点描述,4,1,3,,,,,,,1,40200007,1285,12360,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000414,240000414,
40000415,4章1关,4章1关5点,4章1关5点描述,4,1,4,,,,,,,3,40200004,1310,12480,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000415,240000415,
40000416,4章1关,4章1关6点,4章1关6点描述,4,1,5,,,,,,,3,40200004,1348,12720,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000416,240000416,
40000417,4章1关,4章1关7点,4章1关7点描述,4,1,6,,,,,,,2,40200004,1386,12960,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000417,240000417,
40000418,4章1关,4章1关8点,4章1关8点描述,4,1,7,,,,,,,2,40200004,1425,13200,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000418,240000418,
40000421,4章2关,4章2关1点,4章2关1点描述,4,2,0,,,,,,,2,40200005,1414,14000,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000421,240000421,
40000422,4章2关,4章2关2点,4章2关2点描述,4,2,1,,,,,,,2,40200005,1442,14140,10000,1600,false,"[{type:4,param:80400001,value:2062},{type:10,param:0,value:5}]",140000422,240000422,
