"圣印id{id,int}(id,number)","圣印名称(name,string)","圣印描述(description,string)","圣印图标(icon,string)","前置圣印{pre_id,int}(pre_id,number)","后置圣印{rear_id,int}(post_id,number)","技能类型{type,int}(type,number)","是否默认解锁{default_open,int}","解锁条件{skill_id,int}","生产消耗{need_items,json_funcs}(need_items,json)","升级消耗{upgrade_need_items,json_funcs}(upgrade_need_items,json)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21600011,第6迷宫的霸王2,HP上限+4,,21600010,21600012,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201102},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600012,第6迷宫的霸王3,HP上限+5,,21600011,0,7,1,0,[],[],2,{},{22201103},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600013,攻击1,攻击+1,,0,21600014,7,1,21510016,"[{type:2,param:41050001,value:-10},{type:2,param:41020001,value:-100},{type:2,param:41020002,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020001,value:-200},{type:2,param:41020002,value:-60}]",2,{},{22201301},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600014,攻击2,攻击+2,,21600013,21600015,7,1,21510017,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020001,value:-1000},{type:2,param:41020002,value:-400}]",2,{},{22201302},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600015,攻击3,攻击+3,,21600014,0,7,1,21510018,[],[],2,{},{22201303},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600016,锻炼之证·攻击1,攻击+1,,0,21600017,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020001,value:-200},{type:2,param:41020002,value:-60}]",2,{},{22201301},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600017,锻炼之证·攻击2,攻击+2,,21600016,21600018,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020001,value:-1000},{type:2,param:41020002,value:-400}]",2,{},{22201302},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600018,锻炼之证·攻击3,攻击+3,,21600017,0,7,1,0,[],[],2,{},{22201303},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600019,第5迷宫的霸王1,攻击+1,,0,21600020,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020001,value:-200},{type:2,param:41020002,value:-60}]",2,{},{22201301},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600020,第5迷宫的霸王2,攻击+2,,21600019,21600021,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020001,value:-1000},{type:2,param:41020002,value:-400}]",2,{},{22201302},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600021,第5迷宫的霸王3,攻击+3,,21600020,0,7,1,0,[],[],2,{},{22201303},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600022,速度1,速度+1,,0,21600023,7,1,21510019,"[{type:2,param:41050001,value:-10},{type:2,param:41020004,value:-100},{type:2,param:41020004,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020004,value:-200},{type:2,param:41020004,value:-60}]",2,{},{22201401},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600023,速度2,速度+2,,21600022,21600024,7,1,21510020,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020004,value:-1000},{type:2,param:41020004,value:-400}]",2,{},{22201402},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600024,速度3,速度+3,,21600023,0,7,1,21510021,[],[],2,{},{22201403},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600025,锻炼之证·速度1,速度+1,,0,21600026,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020004,value:-200},{type:2,param:41020004,value:-60}]",2,{},{22201401},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600026,锻炼之证·速度2,速度+2,,21600025,21600027,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020004,value:-1000},{type:2,param:41020004,value:-400}]",2,{},{22201402},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600027,锻炼之证·速度3,速度+3,,21600026,0,7,1,0,[],[],2,{},{22201403},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600028,第4迷宫的霸王1,速度+1,,0,21600029,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020004,value:-200},{type:2,param:41020004,value:-60}]",2,{},{22201401},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600029,第4迷宫的霸王2,速度+2,,21600028,21600030,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020004,value:-1000},{type:2,param:41020004,value:-400}]",2,{},{22201402},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600030,第4迷宫的霸王3,速度+3,,21600029,0,7,1,0,[],[],2,{},{22201403},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600031,防守1,防守+1,,0,21600032,7,1,21510022,"[{type:2,param:41050001,value:-10},{type:2,param:41020005,value:-100},{type:2,param:41020006,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020005,value:-200},{type:2,param:41020006,value:-60}]",2,{},{22201501},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600032,防守2,防守+2,,21600031,21600033,7,1,21510023,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020005,value:-1000},{type:2,param:41020006,value:-400}]",2,{},{22201502},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600033,防守3,防守+3,,21600032,0,7,1,21510024,[],[],2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600034,锻炼之证·防守1,防守+1,,0,21600035,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020005,value:-200},{type:2,param:41020006,value:-60}]",2,{},{22201501},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600035,锻炼之证·防守2,防守+2,,21600034,21600036,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020005,value:-1000},{type:2,param:41020006,value:-400}]",2,{},{22201502},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600036,锻炼之证·防守3,防守+3,,21600035,0,7,1,0,[],[],2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600037,第2迷宫的霸王1,防守+1,,0,21600038,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020005,value:-200},{type:2,param:41020006,value:-60}]",2,{},{22201501},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600038,第2迷宫的霸王2,防守+2,,21600037,21600039,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020005,value:-1000},{type:2,param:41020006,value:-400}]",2,{},{22201502},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600039,第2迷宫的霸王3,防守+3,,21600038,0,7,1,0,[],[],2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600040,第7迷宫的霸王1,防守+1,,0,21600041,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020005,value:-200},{type:2,param:41020006,value:-60}]",2,{},{22201501},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600041,第7迷宫的霸王2,防守+2,,21600040,21600042,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020005,value:-1000},{type:2,param:41020006,value:-400}]",2,{},{22201502},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600042,第7迷宫的霸王3,防守+3,,21600041,0,7,1,0,[],[],2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600043,魔防1,魔防+1,,0,21600044,7,1,21510025,"[{type:2,param:41050001,value:-10},{type:2,param:41020007,value:-100},{type:2,param:41020008,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201601},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600044,魔防2,魔防+2,,21600043,21600045,7,1,21510026,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201602},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600045,魔防3,魔防+3,,21600044,0,7,1,21510027,[],[],2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600046,锻炼之证·魔防1,魔防+1,,0,21600047,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201601},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600047,锻炼之证·魔防2,魔防+2,,21600046,21600048,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201602},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600048,锻炼之证·魔防3,魔防+3,,21600047,0,7,1,0,[],[],2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600049,第3迷宫的霸王1,魔防+1,,0,21600050,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201601},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600050,第3迷宫的霸王2,魔防+2,,21600049,21600051,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201602},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600051,第3迷宫的霸王3,魔防+3,,21600050,0,7,1,0,[],[],2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600052,第8迷宫的霸王1,魔防+1,,0,21600053,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201601},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600053,第8迷宫的霸王2,魔防+2,,21600052,21600054,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201602},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600054,第8迷宫的霸王3,魔防+3,,21600053,0,7,1,0,[],[],2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600055,防守堡垒1,攻击-3、防守+3,,0,21600056,7,1,21510007,"[{type:2,param:41050001,value:-20},{type:2,param:41020005,value:-100},{type:2,param:41020006,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020005,value:-200},{type:2,param:41020006,value:-60}]",2,{},"{22201316,22201503}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600056,防守堡垒2,攻击-3、防守+4,,21600055,21600057,7,1,21510008,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020005,value:-1000},{type:2,param:41020006,value:-400}]",2,{},"{22201316,22201504}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600057,防守堡垒3,攻击-3、防守+5,,21600056,0,7,1,21510009,[],[],2,{},"{22201316,22201505}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600058,魔防堡垒1,攻击-3、魔防+3,,0,21600059,7,1,21510010,"[{type:2,param:41050001,value:-20},{type:2,param:41020007,value:-100},{type:2,param:41020008,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},"{22201316,22201603}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600059,魔防堡垒2,攻击-3、魔防+4,,21600058,21600060,7,1,21510011,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},"{22201316,22201604}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600060,魔防堡垒3,攻击-3、魔防+5,,21600059,0,7,1,21510012,[],[],2,{},"{22201316,22201605}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600061,奥义之跃动,第1回合开始时，奥义发动计量-1,,0,0,7,1,0,"[{type:2,param:41050001,value:-20},{type:2,param:41020007,value:-100},{type:2,param:41020008,value:-20}]",[],2,{},{22203001},{10},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600062,攻击鼓舞1,回合开始时，周围1格内我方的攻击+2,,0,21600063,7,1,21530007,"[{type:2,param:41050001,value:-20},{type:2,param:41020001,value:-100},{type:2,param:41020002,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020001,value:-200},{type:2,param:41020002,value:-60}]",41,{},{22201322},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
