"ID{id,int}(idx)","对应英雄的CID{heroCid,int}(num,heroCid)","装备星级{star,int}(num,star)","装备数量{num,int}(num,num)","属性类型{attType,ints}(fun,attType)","属性计算类型{calType,ints}(fun,calType)","属性值{value,ints}(fun,value)",
56900030,21000002,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900031,21000003,1,2,{5},{3},{300},
56900032,21000003,1,4,"{1,4}","{3,3}","{300,600}",
56900033,21000003,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900034,21000003,2,2,{5},{3},{300},
56900035,21000003,2,4,"{1,4}","{3,3}","{300,600}",
56900036,21000003,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900037,21000003,3,2,{5},{3},{300},
56900038,21000003,3,4,"{1,4}","{3,3}","{300,600}",
56900039,21000003,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900040,21000003,4,2,{5},{3},{300},
56900041,21000003,4,4,"{1,4}","{3,3}","{300,600}",
56900042,21000003,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900043,21000003,5,2,{5},{3},{300},
56900044,21000003,5,4,"{1,4}","{3,3}","{300,600}",
56900045,21000003,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900046,21000004,1,2,{5},{3},{300},
56900047,21000004,1,4,"{1,4}","{3,3}","{300,600}",
56900048,21000004,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900049,21000004,2,2,{5},{3},{300},
56900050,21000004,2,4,"{1,4}","{3,3}","{300,600}",
56900051,21000004,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900052,21000004,3,2,{5},{3},{300},
56900053,21000004,3,4,"{1,4}","{3,3}","{300,600}",
56900054,21000004,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900055,21000004,4,2,{5},{3},{300},
56900056,21000004,4,4,"{1,4}","{3,3}","{300,600}",
56900057,21000004,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900058,21000004,5,2,{5},{3},{300},
56900059,21000004,5,4,"{1,4}","{3,3}","{300,600}",
56900060,21000004,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900061,21000005,1,2,{5},{3},{300},
56900062,21000005,1,4,"{3,4}","{3,3}","{300,600}",
56900063,21000005,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900064,21000005,2,2,{5},{3},{300},
56900065,21000005,2,4,"{3,4}","{3,3}","{300,600}",
56900066,21000005,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900067,21000005,3,2,{5},{3},{300},
56900068,21000005,3,4,"{3,4}","{3,3}","{300,600}",
56900069,21000005,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900070,21000005,4,2,{5},{3},{300},
56900071,21000005,4,4,"{3,4}","{3,3}","{300,600}",
56900072,21000005,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900073,21000005,5,2,{5},{3},{300},
56900074,21000005,5,4,"{3,4}","{3,3}","{300,600}",
56900075,21000005,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900076,21000006,1,2,{5},{3},{300},
56900077,21000006,1,4,"{3,4}","{3,3}","{300,600}",
56900078,21000006,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900079,21000006,2,2,{5},{3},{300},
56900080,21000006,2,4,"{3,4}","{3,3}","{300,600}",
56900081,21000006,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900082,21000006,3,2,{5},{3},{300},
56900083,21000006,3,4,"{3,4}","{3,3}","{300,600}",
56900084,21000006,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900085,21000006,4,2,{5},{3},{300},
56900086,21000006,4,4,"{3,4}","{3,3}","{300,600}",
56900087,21000006,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900088,21000006,5,2,{5},{3},{300},
56900089,21000006,5,4,"{3,4}","{3,3}","{300,600}",
56900090,21000006,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900091,21000007,1,2,{5},{3},{300},
56900092,21000007,1,4,"{1,4}","{3,3}","{300,600}",
56900093,21000007,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900094,21000007,2,2,{5},{3},{300},
56900095,21000007,2,4,"{1,4}","{3,3}","{300,600}",
56900096,21000007,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900097,21000007,3,2,{5},{3},{300},
56900098,21000007,3,4,"{1,4}","{3,3}","{300,600}",
56900099,21000007,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900100,21000007,4,2,{5},{3},{300},
56900101,21000007,4,4,"{1,4}","{3,3}","{300,600}",
56900102,21000007,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900103,21000007,5,2,{5},{3},{300},
56900104,21000007,5,4,"{1,4}","{3,3}","{300,600}",
56900105,21000007,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900106,21000008,1,2,{5},{3},{300},
56900107,21000008,1,4,"{1,4}","{3,3}","{300,600}",
56900108,21000008,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900109,21000008,2,2,{5},{3},{300},
56900110,21000008,2,4,"{1,4}","{3,3}","{300,600}",
56900111,21000008,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900112,21000008,3,2,{5},{3},{300},
56900113,21000008,3,4,"{1,4}","{3,3}","{300,600}",
56900114,21000008,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900115,21000008,4,2,{5},{3},{300},
56900116,21000008,4,4,"{1,4}","{3,3}","{300,600}",
56900117,21000008,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900118,21000008,5,2,{5},{3},{300},
56900119,21000008,5,4,"{1,4}","{3,3}","{300,600}",
56900120,21000008,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900121,21000009,1,2,{5},{3},{300},
56900122,21000009,1,4,"{3,4}","{3,3}","{300,600}",
56900123,21000009,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900124,21000009,2,2,{5},{3},{300},
56900125,21000009,2,4,"{3,4}","{3,3}","{300,600}",
56900126,21000009,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900127,21000009,3,2,{5},{3},{300},
56900128,21000009,3,4,"{3,4}","{3,3}","{300,600}",
56900129,21000009,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900130,21000009,4,2,{5},{3},{300},
56900131,21000009,4,4,"{3,4}","{3,3}","{300,600}",
56900132,21000009,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900133,21000009,5,2,{5},{3},{300},
56900134,21000009,5,4,"{3,4}","{3,3}","{300,600}",
56900135,21000009,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900136,21000010,1,2,{5},{3},{300},
56900137,21000010,1,4,"{3,4}","{3,3}","{300,600}",
56900138,21000010,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900139,21000010,2,2,{5},{3},{300},
56900140,21000010,2,4,"{3,4}","{3,3}","{300,600}",
56900141,21000010,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900142,21000010,3,2,{5},{3},{300},
56900143,21000010,3,4,"{3,4}","{3,3}","{300,600}",
56900144,21000010,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900145,21000010,4,2,{5},{3},{300},
56900146,21000010,4,4,"{3,4}","{3,3}","{300,600}",
56900147,21000010,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900148,21000010,5,2,{5},{3},{300},
56900149,21000010,5,4,"{3,4}","{3,3}","{300,600}",
56900150,21000010,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900151,21000011,1,2,{5},{3},{300},
56900152,21000011,1,4,"{1,4}","{3,3}","{300,600}",
56900153,21000011,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900154,21000011,2,2,{5},{3},{300},
56900155,21000011,2,4,"{1,4}","{3,3}","{300,600}",
56900156,21000011,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900157,21000011,3,2,{5},{3},{300},
56900158,21000011,3,4,"{1,4}","{3,3}","{300,600}",
56900159,21000011,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900160,21000011,4,2,{5},{3},{300},
56900161,21000011,4,4,"{1,4}","{3,3}","{300,600}",
56900162,21000011,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900163,21000011,5,2,{5},{3},{300},
56900164,21000011,5,4,"{1,4}","{3,3}","{300,600}",
56900165,21000011,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900166,21000012,1,2,{5},{3},{300},
56900167,21000012,1,4,"{1,4}","{3,3}","{300,600}",
56900168,21000012,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900169,21000012,2,2,{5},{3},{300},
56900170,21000012,2,4,"{1,4}","{3,3}","{300,600}",
56900171,21000012,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900172,21000012,3,2,{5},{3},{300},
56900173,21000012,3,4,"{1,4}","{3,3}","{300,600}",
56900174,21000012,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900175,21000012,4,2,{5},{3},{300},
56900176,21000012,4,4,"{1,4}","{3,3}","{300,600}",
56900177,21000012,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900178,21000012,5,2,{5},{3},{300},
56900179,21000012,5,4,"{1,4}","{3,3}","{300,600}",
56900180,21000012,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900181,21000013,1,2,{5},{3},{300},
56900182,21000013,1,4,"{1,4}","{3,3}","{300,600}",
56900183,21000013,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900184,21000013,2,2,{5},{3},{300},
56900185,21000013,2,4,"{1,4}","{3,3}","{300,600}",
56900186,21000013,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900187,21000013,3,2,{5},{3},{300},
56900188,21000013,3,4,"{1,4}","{3,3}","{300,600}",
56900189,21000013,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900190,21000013,4,2,{5},{3},{300},
56900191,21000013,4,4,"{1,4}","{3,3}","{300,600}",
56900192,21000013,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900193,21000013,5,2,{5},{3},{300},
56900194,21000013,5,4,"{1,4}","{3,3}","{300,600}",
56900195,21000013,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900196,21000014,1,2,{5},{3},{300},
56900197,21000014,1,4,"{1,4}","{3,3}","{300,600}",
56900198,21000014,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900199,21000014,2,2,{5},{3},{300},
56900200,21000014,2,4,"{1,4}","{3,3}","{300,600}",
56900201,21000014,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900202,21000014,3,2,{5},{3},{300},
56900203,21000014,3,4,"{1,4}","{3,3}","{300,600}",
56900204,21000014,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900205,21000014,4,2,{5},{3},{300},
56900206,21000014,4,4,"{1,4}","{3,3}","{300,600}",
56900207,21000014,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900208,21000014,5,2,{5},{3},{300},
56900209,21000014,5,4,"{1,4}","{3,3}","{300,600}",
56900210,21000014,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900211,21000015,1,2,{5},{3},{300},
56900212,21000015,1,4,"{3,4}","{3,3}","{300,600}",
56900213,21000015,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900214,21000015,2,2,{5},{3},{300},
56900215,21000015,2,4,"{3,4}","{3,3}","{300,600}",
56900216,21000015,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900217,21000015,3,2,{5},{3},{300},
56900218,21000015,3,4,"{3,4}","{3,3}","{300,600}",
56900219,21000015,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900220,21000015,4,2,{5},{3},{300},
56900221,21000015,4,4,"{3,4}","{3,3}","{300,600}",
56900222,21000015,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900223,21000015,5,2,{5},{3},{300},
56900224,21000015,5,4,"{3,4}","{3,3}","{300,600}",
56900225,21000015,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900226,21000016,1,2,{5},{3},{300},
56900227,21000016,1,4,"{3,4}","{3,3}","{300,600}",
56900228,21000016,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900229,21000016,2,2,{5},{3},{300},
56900230,21000016,2,4,"{3,4}","{3,3}","{300,600}",
56900231,21000016,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900232,21000016,3,2,{5},{3},{300},
56900233,21000016,3,4,"{3,4}","{3,3}","{300,600}",
56900234,21000016,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900235,21000016,4,2,{5},{3},{300},
56900236,21000016,4,4,"{3,4}","{3,3}","{300,600}",
56900237,21000016,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900238,21000016,5,2,{5},{3},{300},
56900239,21000016,5,4,"{3,4}","{3,3}","{300,600}",
56900240,21000016,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900241,21000017,1,2,{5},{3},{300},
56900242,21000017,1,4,"{1,4}","{3,3}","{300,600}",
56900243,21000017,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900244,21000017,2,2,{5},{3},{300},
56900245,21000017,2,4,"{1,4}","{3,3}","{300,600}",
56900246,21000017,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900247,21000017,3,2,{5},{3},{300},
56900248,21000017,3,4,"{1,4}","{3,3}","{300,600}",
56900249,21000017,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900250,21000017,4,2,{5},{3},{300},
56900251,21000017,4,4,"{1,4}","{3,3}","{300,600}",
56900252,21000017,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900253,21000017,5,2,{5},{3},{300},
56900254,21000017,5,4,"{1,4}","{3,3}","{300,600}",
56900255,21000017,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900256,21000018,1,2,{5},{3},{300},
56900257,21000018,1,4,"{1,4}","{3,3}","{300,600}",
56900258,21000018,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900259,21000018,2,2,{5},{3},{300},
56900260,21000018,2,4,"{1,4}","{3,3}","{300,600}",
56900261,21000018,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900262,21000018,3,2,{5},{3},{300},
56900263,21000018,3,4,"{1,4}","{3,3}","{300,600}",
56900264,21000018,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900265,21000018,4,2,{5},{3},{300},
56900266,21000018,4,4,"{1,4}","{3,3}","{300,600}",
56900267,21000018,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900268,21000018,5,2,{5},{3},{300},
56900269,21000018,5,4,"{1,4}","{3,3}","{300,600}",
56900270,21000018,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900271,21000019,1,2,{5},{3},{300},
56900272,21000019,1,4,"{3,4}","{3,3}","{300,600}",
56900273,21000019,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900274,21000019,2,2,{5},{3},{300},
56900275,21000019,2,4,"{3,4}","{3,3}","{300,600}",
56900276,21000019,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900277,21000019,3,2,{5},{3},{300},
56900278,21000019,3,4,"{3,4}","{3,3}","{300,600}",
56900279,21000019,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900280,21000019,4,2,{5},{3},{300},
56900281,21000019,4,4,"{3,4}","{3,3}","{300,600}",
56900282,21000019,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900283,21000019,5,2,{5},{3},{300},
56900284,21000019,5,4,"{3,4}","{3,3}","{300,600}",
56900285,21000019,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900286,21000020,1,2,{5},{3},{300},
56900287,21000020,1,4,"{3,4}","{3,3}","{300,600}",
56900288,21000020,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900289,21000020,2,2,{5},{3},{300},
56900290,21000020,2,4,"{3,4}","{3,3}","{300,600}",
56900291,21000020,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900292,21000020,3,2,{5},{3},{300},
56900293,21000020,3,4,"{3,4}","{3,3}","{300,600}",
56900294,21000020,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900295,21000020,4,2,{5},{3},{300},
56900296,21000020,4,4,"{3,4}","{3,3}","{300,600}",
56900297,21000020,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900298,21000020,5,2,{5},{3},{300},
56900299,21000020,5,4,"{3,4}","{3,3}","{300,600}",
56900300,21000020,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900301,21000021,1,2,{5},{3},{300},
56900302,21000021,1,4,"{1,4}","{3,3}","{300,600}",
56900303,21000021,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900304,21000021,2,2,{5},{3},{300},
56900305,21000021,2,4,"{1,4}","{3,3}","{300,600}",
56900306,21000021,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900307,21000021,3,2,{5},{3},{300},
56900308,21000021,3,4,"{1,4}","{3,3}","{300,600}",
56900309,21000021,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900310,21000021,4,2,{5},{3},{300},
56900311,21000021,4,4,"{1,4}","{3,3}","{300,600}",
56900312,21000021,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900313,21000021,5,2,{5},{3},{300},
56900314,21000021,5,4,"{1,4}","{3,3}","{300,600}",
56900315,21000021,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900316,21000022,1,2,{5},{3},{300},
56900317,21000022,1,4,"{1,4}","{3,3}","{300,600}",
56900318,21000022,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900319,21000022,2,2,{5},{3},{300},
56900320,21000022,2,4,"{1,4}","{3,3}","{300,600}",
56900321,21000022,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900322,21000022,3,2,{5},{3},{300},
56900323,21000022,3,4,"{1,4}","{3,3}","{300,600}",
56900324,21000022,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900325,21000022,4,2,{5},{3},{300},
56900326,21000022,4,4,"{1,4}","{3,3}","{300,600}",
56900327,21000022,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900328,21000022,5,2,{5},{3},{300},
56900329,21000022,5,4,"{1,4}","{3,3}","{300,600}",
56900330,21000022,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900331,21000023,1,2,{5},{3},{300},
56900332,21000023,1,4,"{1,4}","{3,3}","{300,600}",
56900333,21000023,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900334,21000023,2,2,{5},{3},{300},
56900335,21000023,2,4,"{1,4}","{3,3}","{300,600}",
56900336,21000023,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900337,21000023,3,2,{5},{3},{300},
56900338,21000023,3,4,"{1,4}","{3,3}","{300,600}",
56900339,21000023,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900340,21000023,4,2,{5},{3},{300},
56900341,21000023,4,4,"{1,4}","{3,3}","{300,600}",
56900342,21000023,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900343,21000023,5,2,{5},{3},{300},
56900344,21000023,5,4,"{1,4}","{3,3}","{300,600}",
56900345,21000023,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900346,21000024,1,2,{5},{3},{300},
56900347,21000024,1,4,"{1,4}","{3,3}","{300,600}",
56900348,21000024,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900349,21000024,2,2,{5},{3},{300},
56900350,21000024,2,4,"{1,4}","{3,3}","{300,600}",
56900351,21000024,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900352,21000024,3,2,{5},{3},{300},
56900353,21000024,3,4,"{1,4}","{3,3}","{300,600}",
56900354,21000024,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900355,21000024,4,2,{5},{3},{300},
56900356,21000024,4,4,"{1,4}","{3,3}","{300,600}",
56900357,21000024,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900358,21000024,5,2,{5},{3},{300},
56900359,21000024,5,4,"{1,4}","{3,3}","{300,600}",
56900360,21000024,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900361,21000025,1,2,{5},{3},{300},
56900362,21000025,1,4,"{3,4}","{3,3}","{300,600}",
56900363,21000025,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900364,21000025,2,2,{5},{3},{300},
56900365,21000025,2,4,"{3,4}","{3,3}","{300,600}",
56900366,21000025,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900367,21000025,3,2,{5},{3},{300},
56900368,21000025,3,4,"{3,4}","{3,3}","{300,600}",
56900369,21000025,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900370,21000025,4,2,{5},{3},{300},
56900371,21000025,4,4,"{3,4}","{3,3}","{300,600}",
56900372,21000025,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900373,21000025,5,2,{5},{3},{300},
56900374,21000025,5,4,"{3,4}","{3,3}","{300,600}",
56900375,21000025,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900376,21000026,1,2,{5},{3},{300},
56900377,21000026,1,4,"{3,4}","{3,3}","{300,600}",
56900378,21000026,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900379,21000026,2,2,{5},{3},{300},
56900380,21000026,2,4,"{3,4}","{3,3}","{300,600}",
56900381,21000026,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900382,21000026,3,2,{5},{3},{300},
56900383,21000026,3,4,"{3,4}","{3,3}","{300,600}",
56900384,21000026,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900385,21000026,4,2,{5},{3},{300},
56900386,21000026,4,4,"{3,4}","{3,3}","{300,600}",
56900387,21000026,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900388,21000026,5,2,{5},{3},{300},
56900389,21000026,5,4,"{3,4}","{3,3}","{300,600}",
56900390,21000026,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900391,21000027,1,2,{5},{3},{300},
56900392,21000027,1,4,"{1,4}","{3,3}","{300,600}",
56900393,21000027,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900394,21000027,2,2,{5},{3},{300},
56900395,21000027,2,4,"{1,4}","{3,3}","{300,600}",
56900396,21000027,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900397,21000027,3,2,{5},{3},{300},
56900398,21000027,3,4,"{1,4}","{3,3}","{300,600}",
56900399,21000027,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900400,21000027,4,2,{5},{3},{300},
56900401,21000027,4,4,"{1,4}","{3,3}","{300,600}",
56900402,21000027,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900403,21000027,5,2,{5},{3},{300},
56900404,21000027,5,4,"{1,4}","{3,3}","{300,600}",
56900405,21000027,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900406,21000028,1,2,{5},{3},{300},
56900407,21000028,1,4,"{1,4}","{3,3}","{300,600}",
56900408,21000028,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900409,21000028,2,2,{5},{3},{300},
56900410,21000028,2,4,"{1,4}","{3,3}","{300,600}",
56900411,21000028,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900412,21000028,3,2,{5},{3},{300},
56900413,21000028,3,4,"{1,4}","{3,3}","{300,600}",
56900414,21000028,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900415,21000028,4,2,{5},{3},{300},
56900416,21000028,4,4,"{1,4}","{3,3}","{300,600}",
56900417,21000028,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900418,21000028,5,2,{5},{3},{300},
56900419,21000028,5,4,"{1,4}","{3,3}","{300,600}",
56900420,21000028,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900421,21000029,1,2,{5},{3},{300},
56900422,21000029,1,4,"{3,4}","{3,3}","{300,600}",
56900423,21000029,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900424,21000029,2,2,{5},{3},{300},
56900425,21000029,2,4,"{3,4}","{3,3}","{300,600}",
56900426,21000029,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900427,21000029,3,2,{5},{3},{300},
56900428,21000029,3,4,"{3,4}","{3,3}","{300,600}",
56900429,21000029,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900430,21000029,4,2,{5},{3},{300},
56900431,21000029,4,4,"{3,4}","{3,3}","{300,600}",
56900432,21000029,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900433,21000029,5,2,{5},{3},{300},
56900434,21000029,5,4,"{3,4}","{3,3}","{300,600}",
56900435,21000029,5,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900436,21000030,1,2,{5},{3},{300},
56900437,21000030,1,4,"{3,4}","{3,3}","{300,600}",
56900438,21000030,1,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900439,21000030,2,2,{5},{3},{300},
56900440,21000030,2,4,"{3,4}","{3,3}","{300,600}",
56900441,21000030,2,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900442,21000030,3,2,{5},{3},{300},
56900443,21000030,3,4,"{3,4}","{3,3}","{300,600}",
56900444,21000030,3,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900445,21000030,4,2,{5},{3},{300},
56900446,21000030,4,4,"{3,4}","{3,3}","{300,600}",
56900447,21000030,4,6,"{3,2,5}","{3,3,3}","{300,600,300}",
56900448,21000030,5,2,{5},{3},{300},
