"ID{id,int}(idx)","名字(str,n)","头像(str,p)","类型(num,tp)","权重{weight,int}","最大血量{maxLf,long}(num,maxLf)"," 击杀积分{killScorePrize,int}(num,killScorePrize)","击杀奖励{killPrize,int}(num,killPrize)","奖励((fun,s)",
70500036,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500037,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500038,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500039,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500040,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500041,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500042,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500043,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500044,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500045,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500046,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500047,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500048,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500049,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500050,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500051,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500052,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500053,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500054,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500055,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500056,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500057,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500058,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500059,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500060,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500061,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500062,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500063,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500064,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500065,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500066,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500067,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500068,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500069,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500070,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500071,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500072,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500073,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500074,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500075,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500076,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500077,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500078,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500079,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500080,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500081,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500082,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500083,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500084,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500085,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500086,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500087,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500088,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500089,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500090,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500091,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500092,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500093,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500094,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500095,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500096,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500097,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500098,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500099,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500100,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500101,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500102,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500103,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500104,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500105,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500106,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500107,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500108,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500109,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500110,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500111,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500112,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500113,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500114,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500115,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500116,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500117,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500118,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500119,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500120,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500121,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500122,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500123,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500124,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500125,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500126,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500127,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500128,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500129,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500130,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500131,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500132,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500133,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500134,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500135,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500136,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500137,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500138,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500139,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500140,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500141,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500142,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500143,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500144,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500145,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500146,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500147,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500148,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500149,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500150,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500151,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500152,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500153,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500154,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500155,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500156,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500157,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500158,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500159,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500160,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500161,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500162,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500163,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500164,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500165,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500166,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500167,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500168,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500169,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500170,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500171,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500172,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500173,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500174,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500175,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500176,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500177,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500178,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500179,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500180,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500181,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500182,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500183,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500184,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500185,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500186,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500187,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500188,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500189,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500190,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500191,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500192,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500193,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500194,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500195,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500196,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500197,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500198,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500199,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500200,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500201,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500202,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500203,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500204,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500205,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500206,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500207,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500208,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500209,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500210,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500211,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500212,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500213,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500214,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500215,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500216,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500217,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500218,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500219,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500220,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500221,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500222,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500223,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500224,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500225,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500226,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500227,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500228,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500229,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500230,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500231,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500232,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500233,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500234,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500235,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500236,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500237,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500238,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500239,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500240,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500241,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500242,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500243,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500244,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500245,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500246,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500247,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500248,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500249,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500250,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500251,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500252,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500253,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500254,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500255,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500256,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500257,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500258,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500259,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500260,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500261,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500262,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500263,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500264,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500265,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500266,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500267,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500268,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500269,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
