"ID(idx）","触发类型(num,type)","触发条件(json,cftj)","剧情配置ID(num,jqid)",
53100098,5,"{mnid:20200003,ix:3}",53202003,
53100099,5,"{mnid:20200003,ix:4}",53202004,
53100100,5,"{mnid:20200003,ix:5}",53202005,
53100101,6,"{mnid:20200003,ix:6}",53202006,
53100102,7,"{mnid:20200003,ix:7}",53202007,
53100103,5,"{mnid:20200021,ix:1}",53216001,
53100104,5,"{mnid:20200021,ix:2}",53216002,
53100105,5,"{mnid:20200021,ix:3}",53216003,
53100106,5,"{mnid:20200021,ix:4}",53216004,
53100107,5,"{mnid:20200021,ix:5}",53216005,
53100108,6,"{mnid:20200021,ix:6}",53216006,
53100109,7,"{mnid:20200021,ix:7}",53216007,
53100110,5,"{mnid:20200011,ix:1}",53210001,
53100111,5,"{mnid:20200011,ix:2}",53210002,
53100112,5,"{mnid:20200011,ix:3}",53210003,
53100113,5,"{mnid:20200011,ix:4}",53210004,
53100114,5,"{mnid:20200011,ix:5}",53210005,
53100115,6,"{mnid:20200011,ix:6}",53210006,
53100116,7,"{mnid:20200011,ix:7}",53210007,
53100117,5,"{mnid:20200012,ix:1}",53211001,
53100118,5,"{mnid:20200012,ix:2}",53211002,
53100119,5,"{mnid:20200012,ix:3}",53211003,
53100120,5,"{mnid:20200012,ix:4}",53211004,
53100121,5,"{mnid:20200012,ix:5}",53211005,
53100122,6,"{mnid:20200012,ix:6}",53211006,
53100123,7,"{mnid:20200012,ix:7}",53211007,
53100124,5,"{mnid:20200004,ix:1}",53203001,
53100125,5,"{mnid:20200004,ix:2}",53203002,
53100126,5,"{mnid:20200004,ix:3}",53203003,
53100127,5,"{mnid:20200004,ix:4}",53203004,
53100128,5,"{mnid:20200004,ix:5}",53203005,
53100129,6,"{mnid:20200004,ix:6}",53203006,
53100130,7,"{mnid:20200004,ix:7}",53203007,
53100131,5,"{mnid:20200013,ix:1}",53212001,
53100132,5,"{mnid:20200013,ix:2}",53212002,
53100133,5,"{mnid:20200013,ix:3}",53212003,
53100134,5,"{mnid:20200013,ix:4}",53212004,
53100135,5,"{mnid:20200013,ix:5}",53212005,
53100136,6,"{mnid:20200013,ix:6}",53212006,
53100137,7,"{mnid:20200013,ix:7}",53212007,
53100138,5,"{mnid:20200014,ix:1}",53213001,
53100139,5,"{mnid:20200014,ix:2}",53213002,
53100140,5,"{mnid:20200014,ix:3}",53213003,
53100141,5,"{mnid:20200014,ix:4}",53213004,
53100142,5,"{mnid:20200014,ix:5}",53213005,
53100143,6,"{mnid:20200014,ix:6}",53213006,
53100144,7,"{mnid:20200014,ix:7}",53213007,
53100145,5,"{mnid:20200005,ix:1}",53204001,
53100146,5,"{mnid:20200005,ix:2}",53204002,
53100147,5,"{mnid:20200005,ix:3}",53204003,
53100148,5,"{mnid:20200005,ix:4}",53204004,
53100149,5,"{mnid:20200005,ix:5}",53204005,
53100150,6,"{mnid:20200005,ix:6}",53204006,
53100151,7,"{mnid:20200005,ix:7}",53204007,
53100152,5,"{mnid:20200006,ix:1}",53205001,
53100153,5,"{mnid:20200006,ix:2}",53205002,
53100154,5,"{mnid:20200006,ix:3}",53205003,
53100155,5,"{mnid:20200006,ix:4}",53205004,
53100156,5,"{mnid:20200006,ix:5}",53205005,
53100157,6,"{mnid:20200006,ix:6}",53205006,
53100158,7,"{mnid:20200006,ix:7}",53205007,
53100159,5,"{mnid:20200020,ix:1}",53215001,
53100160,5,"{mnid:20200020,ix:2}",53215002,
53100161,5,"{mnid:20200020,ix:3}",53215003,
53100162,5,"{mnid:20200020,ix:4}",53215004,
53100163,5,"{mnid:20200020,ix:5}",53215005,
53100164,6,"{mnid:20200020,ix:6}",53215006,
53100165,7,"{mnid:20200020,ix:7}",53215007,
53100166,5,"{mnid:20200015,ix:1}",53214001,
53100167,5,"{mnid:20200015,ix:2}",53214002,
53100168,5,"{mnid:20200015,ix:3}",53214003,
53100169,5,"{mnid:20200015,ix:4}",53214004,
53100170,5,"{mnid:20200015,ix:5}",53214005,
53100171,6,"{mnid:20200015,ix:6}",53214006,
53100172,7,"{mnid:20200015,ix:7}",53214007,
53100173,5,"{mnid:20200007,ix:1}",53206001,
53100174,5,"{mnid:20200007,ix:2}",53206002,
53100175,5,"{mnid:20200007,ix:3}",53206003,
53100176,5,"{mnid:20200007,ix:4}",53206004,
53100177,5,"{mnid:20200007,ix:5}",53206005,
53100178,6,"{mnid:20200007,ix:6}",53206006,
53100179,7,"{mnid:20200007,ix:7}",53206007,
53100180,5,"{mnid:20200008,ix:1}",53207001,
53100181,5,"{mnid:20200008,ix:2}",53207002,
53100182,5,"{mnid:20200008,ix:3}",53207003,
53100183,5,"{mnid:20200008,ix:4}",53207004,
53100184,5,"{mnid:20200008,ix:5}",53207005,
53100185,6,"{mnid:20200008,ix:6}",53207006,
53100186,7,"{mnid:20200008,ix:7}",53207007,
53100187,4,{xdid:20100001},53299001,
53100188,4,{xdid:20100002},53299002,
53100189,4,{xdid:20100003},53299003,
53100190,4,{xdid:20100004},53299004,
53100191,4,{xdid:20100005},53299005,
53100192,4,{xdid:20100006},53299006,
53100193,4,{xdid:20100007},53299007,
53100194,4,{xdid:20100008},53299008,
53100195,4,{xdid:20100009},53299009,
53100196,4,{xdid:20100010},53299010,
53100197,4,{xdid:20100011},53299011,
53100198,4,{xdid:20100012},53299012,
53100199,4,{xdid:20100013},53299013,
53100200,4,{xdid:20100014},53299014,
53100201,4,{xdid:20100015},53299015,
53100202,4,{xdid:20100016},53299016,
53100203,4,{xdid:20100017},53299017,
53100204,4,{xdid:20100018},53299018,
53100205,4,{xdid:20100019},53299019,
53100206,4,{xdid:20100020},53299020,
53100207,4,{xdid:20100021},53299021,
53100208,4,{xdid:20100022},53299022,
53100209,4,{xdid:20100023},53299023,
53100210,4,{xdid:20100024},53299024,
53100211,4,{xdid:20100025},53299025,
53100212,4,{xdid:20100026},53299026,
53100213,4,{xdid:20100027},53299027,
53100214,4,{xdid:20100028},53299028,
53100215,4,{xdid:20100029},53299029,
53100216,4,{xdid:20100030},53299030,
53100217,4,{xdid:20100031},53299031,
53100218,4,{xdid:20100032},53299032,
53100219,4,{xdid:20100033},53299033,
53100220,4,{xdid:20100034},53299034,
53100221,4,{xdid:20100035},53299035,
53100222,4,{xdid:20100036},53299036,
53100223,4,{xdid:20100037},53299037,
53100224,4,{xdid:20100038},53299038,
53100225,4,{xdid:20100039},53299039,
53100226,4,{xdid:20100040},53299040,
53100227,4,{xdid:20100041},53299041,
53100228,4,{xdid:20100042},53299042,
53100229,4,{xdid:20100043},53299043,
53100230,4,{xdid:20100044},53299044,
53100231,4,{xdid:20100045},53299045,
53100232,4,{xdid:20100046},53299046,
53100233,4,{xdid:20100047},53299047,
53100234,4,{xdid:20100048},53299048,
53100256,3,{fbid:40001111},53000021,
53100257,3,{fbid:40001161},53000022,
53100258,3,{fbid:40001211},53000023,
53100259,3,{fbid:40001261},53000024,
53100260,3,{fbid:40001311},53000025,
53100261,3,{fbid:40001361},53000026,
53100262,3,{fbid:40001411},53000027,
53100263,3,{fbid:40001461},53000028,
53100264,3,{fbid:40001511},53000029,
53100265,3,{fbid:40001561},53000030,
53100266,3,{fbid:40001611},53000031,
53100267,3,{fbid:40001661},53000032,
53100268,3,{fbid:40001711},53000033,
53100269,3,{fbid:40001761},53000034,
53100270,3,{fbid:40001811},53000035,
53100271,3,{fbid:40001861},53000036,
53100272,3,{fbid:40001911},53000037,
53100273,3,{fbid:40001961},53000038,
53100274,3,{fbid:40002011},53000039,
53100275,3,{fbid:40002061},53000040,
53100276,3,{fbid:40002111},53000041,
53100277,3,{fbid:40002161},53000042,
53100278,3,{fbid:40002211},53000043,
53100279,3,{fbid:40002311},53000044,
53100280,3,{fbid:40002361},53000045,
53100281,3,{fbid:40002411},53000046,
53100282,3,{fbid:40002461},53000047,
53100283,3,{fbid:40002511},53000048,
53100284,3,{fbid:40002561},53000049,
53100285,3,{fbid:40002611},53000050,
53100286,3,{fbid:40002661},53000051,
53100287,3,{fbid:40002711},53000052,
53100288,3,{fbid:40002761},53000053,
53100289,3,{fbid:40002811},53000054,
53100290,3,{fbid:40002861},53000055,
53100291,3,{fbid:40002911},53000056,
53100292,3,{fbid:40002961},53000057,
53100293,3,{fbid:40003011},53000058,
53100294,3,{fbid:40003061},53000059,
53100295,3,{fbid:40003111},53000060,
53100296,3,{fbid:40003161},53000061,
53100297,3,{fbid:40003211},53000062,
53100298,3,{fbid:40003261},53000063,
53100299,3,{fbid:40003311},53000064,
53100300,3,{fbid:40003411},53000065,
53100301,3,{fbid:40003461},53000066,
53100302,3,{fbid:40003511},53000067,
53100303,3,{fbid:40003611},53000068,
53100304,3,{fbid:40003711},53000069,
53100305,3,{fbid:40003761},53000070,
53100306,3,{fbid:40003811},53000071,
53100307,3,{fbid:40003911},53000072,
53100308,3,{fbid:40003961},53000073,
53100309,3,{fbid:40004011},53000074,
53100310,3,{fbid:40004111},53000075,
53100311,3,{fbid:40004161},53000076,
53100312,3,{fbid:40004211},53000077,
53100313,3,{fbid:40004261},53000078,
53100314,3,{fbid:40004311},53000079,
53100315,3,{fbid:40004361},53000080,
53100316,3,{fbid:40004411},53000081,
53100317,3,{fbid:40004511},53000082,
53100318,3,{fbid:40004561},53000083,
53100319,3,{fbid:40004611},53000084,
53100320,3,{fbid:40004661},53000085,
53100321,3,{fbid:40004711},53000086,
53100322,3,{fbid:40004761},53000087,
53100323,3,{fbid:40004811},53000088,
53100324,3,{fbid:40004861},53000089,
53100325,3,{fbid:40004911},53000090,
53100326,3,{fbid:40004961},53000091,
53100327,3,{fbid:40005011},53000092,
53100328,3,{fbid:40005111},53000093,
53100329,3,{fbid:40005161},53000094,
53100330,3,{fbid:40005211},53000095,
53100331,3,{fbid:40005261},53000096,
53100332,3,{fbid:40005311},53000097,
53100333,3,{fbid:40005361},53000098,
53100334,3,{fbid:40005411},53000099,
53100335,3,{fbid:40005461},53000100,
53100336,3,{fbid:40005511},53000101,
53100337,3,{fbid:40005561},53000102,
53100338,3,{fbid:40005611},53000103,
53100339,3,{fbid:40005661},53000104,
53100340,3,{fbid:40005711},53000105,
53100341,3,{fbid:40005761},53000106,
53100342,3,{fbid:40005811},53000107,
53100343,3,{fbid:40005861},53000108,
53100344,3,{fbid:40005911},53000109,
53100345,3,{fbid:40005961},53000110,
53100346,3,{fbid:40006011},53000111,
53100347,3,{fbid:40006061},53000112,
53100348,3,{fbid:40006111},53000113,
53100349,3,{fbid:40006161},53000114,
53100350,3,{fbid:40006211},53000115,
53100351,3,{fbid:40006261},53000116,
53100352,3,{fbid:40006311},53000117,
53100353,3,{fbid:40006361},53000118,
53100354,3,{fbid:40006411},53000119,
53100355,3,{fbid:40006461},53000120,
53100356,3,{fbid:40006511},53000121,
53100357,3,{fbid:40006561},53000122,
53100358,3,{fbid:40006611},53000123,
53100359,3,{fbid:40006661},53000124,
53100360,3,{fbid:40006711},53000125,
53100361,3,{fbid:40006761},53000126,
53100362,3,{fbid:40006811},53000127,
53100363,3,{fbid:40006861},53000128,
53100364,3,{fbid:40006911},53000129,
53100365,3,{fbid:40006961},53000130,
53100366,3,{fbid:40007011},53000131,
53100367,3,{fbid:40007061},53000132,
53100368,3,{fbid:40007111},53000133,
53100369,3,{fbid:40007161},53000134,
53100370,3,{fbid:40007211},53000135,
53100371,3,{fbid:40007261},53000136,
53100372,3,{fbid:40007311},53000137,
53100373,3,{fbid:40007361},53000138,
53100374,3,{fbid:40007411},53000139,
53100375,3,{fbid:40007511},53000140,
53100376,3,{fbid:40007561},53000141,
53100377,3,{fbid:40007611},53000142,
53100378,3,{fbid:40007711},53000143,
53100379,3,{fbid:40007811},53000144,
53100380,3,{fbid:40007911},53000145,
53100381,3,{fbid:40008011},53000146,
53100382,3,{fbid:40008111},53000147,
53100383,3,{fbid:40008161},53000148,
53100384,3,{fbid:40008211},53000149,
53100385,3,{fbid:40008261},53000150,
53100386,3,{fbid:40008311},53000151,
53100387,3,{fbid:40008361},53000152,
53100388,3,{fbid:40008411},53000153,
53100389,3,{fbid:40008461},53000154,
53100390,3,{fbid:40008511},53000155,
53100391,3,{fbid:40008561},53000156,
53100392,3,{fbid:40008611},53000157,
53100393,3,{fbid:40008661},53000158,
53100394,3,{fbid:40008711},53000159,
53100395,3,{fbid:40008811},53000160,
53100396,3,{fbid:40008911},53000161,
53100397,3,{fbid:40009011},53000162,
53100398,3,{fbid:40009111},53000163,
53100399,3,{fbid:40009211},53000164,
53100400,3,{fbid:40009311},53000165,
53100401,3,{fbid:40009411},53000166,
53100402,3,{fbid:40009511},53000167,
53100403,3,{fbid:40009611},53000168,
53100404,3,{fbid:40009711},53000169,
53100405,3,{fbid:40009811},53000170,
53100406,3,{fbid:40009911},53000171,
53100407,3,{fbid:40009961},53000172,
53100408,3,{fbid:40010011},53000173,
53100409,3,{fbid:40000111},53000174,
53100410,3,{fbid:40000131},53000175,
53100411,3,{fbid:40000161},53000176,
53100412,3,{fbid:40000211},53000177,
53100413,3,{fbid:40000231},53000178,
53100414,3,{fbid:40000261},53000179,
53100415,3,{fbid:40000311},53000180,
53100416,3,{fbid:40000331},53000181,
53100417,3,{fbid:40000361},53000182,
53100418,3,{fbid:40000411},53000183,
53100419,3,{fbid:40000431},53000184,
53100420,3,{fbid:40000461},53000185,
53100421,3,{fbid:40000511},53000186,
53100422,3,{fbid:40000531},53000187,
53100423,3,{fbid:40000561},53000188,
53100424,3,{fbid:40000611},53000189,
53100425,3,{fbid:40000631},53000190,
53100426,3,{fbid:40000661},53000191,
53100427,3,{fbid:40000711},53000192,
53100428,3,{fbid:40000731},53000193,
53100429,3,{fbid:40000761},53000194,
53100430,3,{fbid:40000811},53000195,
53100431,3,{fbid:40000831},53000196,
53100432,3,{fbid:40000861},53000197,
53100433,3,{fbid:40000911},53000198,
53100434,3,{fbid:40000931},53000199,
53100435,3,{fbid:40000961},53000200,
53100436,3,{fbid:40001011},53000201,
53100437,3,{fbid:40001031},53000202,
53100438,3,{fbid:40001061},53000203,
53100439,1,{xsyd:1},53800002,
53100440,1,{xsyd:2},53800004,
