"ID{id,int}","类型{type,int}","块{chunk,int}","组{group,int}","序号{number,int}","下标{index,int}","随机数据{funcs,strs}",
70200023,2,1,1,3,1,{all:2$21000008$1},
70200024,2,1,1,4,1,{all:2$21000019$1},
70200025,2,1,1,5,1,{all:2$21000001$1},
70200026,2,1,1,6,1,{all:2$21000001$1},
70200027,2,1,1,7,1,{all:2$21000002$1},
70200028,2,1,1,8,1,{all:2$21000002$1},
70200029,2,1,1,9,1,{all:2$21000002$1},
70200030,2,1,1,10,1,{all:2$21000019$1},
70200031,3,1,1,1,1,{all:2$21000001$1},
70200032,3,2,1,1,1,{all:2$21000002$1},
70200033,3,2,1,2,1,{all:2$21000002$1},
70200034,3,2,2,1,1,{all:2$21000004$1},
70200035,3,2,2,2,1,{all:2$21000001$1},
70200036,3,3,1,1,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200037,3,3,1,1,2,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200038,3,3,1,1,3,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200039,3,3,1,1,4,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200040,3,3,1,1,5,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200041,3,3,1,2,1,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200042,3,3,1,2,2,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200043,3,3,1,2,3,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200044,3,3,1,2,4,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200045,3,3,1,2,5,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200046,3,3,1,3,1,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200047,3,3,1,3,2,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200048,3,3,1,3,3,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200049,3,3,1,3,4,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200050,3,3,1,4,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200051,4,1,1,1,1,{all:2$21000001$1},
70200052,4,2,1,1,1,{all:2$21000002$1},
70200053,4,2,1,2,1,{all:2$21000002$1},
70200054,4,2,2,1,1,{all:2$21000004$1},
70200055,4,2,2,2,1,{all:2$21000001$1},
70200056,4,3,1,1,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200057,4,3,1,1,2,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200058,4,3,1,1,3,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200059,4,3,1,1,4,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200060,4,3,1,1,5,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200061,4,3,1,2,1,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200062,4,3,1,2,2,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200063,4,3,1,2,3,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200064,4,3,1,2,4,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200065,4,3,1,2,5,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200066,4,3,1,3,1,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200067,4,3,1,3,2,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200068,4,3,1,3,3,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200069,4,3,1,3,4,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200070,4,3,1,4,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200071,5,1,1,1,1,{all:2$21000001$1},
70200072,5,2,1,1,1,{all:2$21000002$1},
70200073,5,2,1,2,1,{all:2$21000002$1},
70200074,5,2,2,1,1,{all:2$21000004$1},
70200075,5,2,2,2,1,{all:2$21000001$1},
70200076,5,3,1,1,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200077,5,3,1,1,2,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200078,5,3,1,1,3,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200079,5,3,1,1,4,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200080,5,3,1,1,5,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200081,5,3,1,2,1,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200082,5,3,1,2,2,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200083,5,3,1,2,3,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200084,5,3,1,2,4,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200085,5,3,1,2,5,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200086,5,3,1,3,1,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200087,5,3,1,3,2,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200088,5,3,1,3,3,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200089,5,3,1,3,4,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200090,5,3,1,4,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
