"配置档ID{id,int}(idx)","类型{conds,json_conds}(json,conds)","条件描述",
45200065,"[{type:16,value:7},{type:1,value:8000}]",目标处于魅惑状态时80%触发,
45200066,"[{type:16,value:8},{type:1,value:8000}]",目标处于混乱状态时80%触发,
45200067,"[{type:16,value:9},{type:1,value:8000}]",目标处于隐身状态时80%触发,
45200068,"[{type:16,value:11},{type:1,value:8000}]",目标处于物理免疫状态时80%触发,
45200069,"[{type:16,value:12},{type:1,value:8000}]",目标处于魔法免疫状态时80%触发,
45200070,"[{type:16,value:13},{type:1,value:8000}]",目标处于无敌状态时80%触发,
45200071,"[{type:16,value:14},{type:1,value:8000}]",目标处于反击状态时80%触发,
45200072,"[{type:16,value:15},{type:1,value:8000}]",目标处于嘲讽状态时80%触发,
45200073,"[{type:16,value:16},{type:1,value:8000}]",目标处于必定暴击状态时80%触发,
45200074,"[{type:16,value:17},{type:1,value:8000}]",目标处于必定格挡状态时80%触发,
45200075,"[{type:16,value:18},{type:1,value:8000}]",目标处于必定闪避状态时80%触发,
45200076,"[{type:16,value:28},{type:1,value:8000}]",目标处于中毒状态时80%触发,
45200077,"[{type:16,value:29},{type:1,value:8000}]",目标处于流血状态时80%触发,
45200078,"[{type:16,value:30},{type:1,value:8000}]",目标处于灼烧状态时80%触发,
45200079,"[{type:17,value:1},{type:1,value:8000}]",自身处于眩晕状态时80%触发,
45200080,"[{type:17,value:2},{type:1,value:8000}]",自身处于封印状态时80%触发,
45200081,"[{type:17,value:3},{type:1,value:8000}]",自身处于沉默状态时80%触发,
45200082,"[{type:17,value:4},{type:1,value:8000}]",自身处于冰冻状态时80%触发,
45200083,"[{type:17,value:5},{type:1,value:8000}]",自身处于昏睡状态时80%触发,
45200084,"[{type:17,value:6},{type:1,value:8000}]",自身处于霸体状态时80%触发,
45200085,"[{type:17,value:7},{type:1,value:8000}]",自身处于魅惑状态时80%触发,
45200086,"[{type:17,value:8},{type:1,value:8000}]",自身处于混乱状态时80%触发,
45200087,"[{type:17,value:9},{type:1,value:8000}]",自身处于隐身状态时80%触发,
45200088,"[{type:17,value:11},{type:1,value:8000}]",自身处于物理免疫状态时80%触发,
45200089,"[{type:17,value:12},{type:1,value:8000}]",自身处于魔法免疫状态时80%触发,
45200090,"[{type:17,value:13},{type:1,value:8000}]",自身处于无敌状态时80%触发,
45200091,"[{type:17,value:14},{type:1,value:8000}]",自身处于反击状态时80%触发,
45200092,"[{type:17,value:15},{type:1,value:8000}]",自身处于嘲讽状态时80%触发,
45200093,"[{type:17,value:16},{type:1,value:8000}]",自身处于必定暴击状态时80%触发,
45200094,"[{type:17,value:17},{type:1,value:8000}]",自身处于必定格挡状态时80%触发,
45200095,"[{type:17,value:18},{type:1,value:8000}]",自身处于必定闪避状态时80%触发,
45200096,"[{type:17,value:28},{type:1,value:8000}]",自身处于中毒状态时80%触发,
45200097,"[{type:17,value:29},{type:1,value:8000}]",自身处于流血状态时80%触发,
45200098,"[{type:17,value:30},{type:1,value:8000}]",自身处于灼烧状态时80%触发,
45200099,"[{type:18,value:0},{type:1,value:8000}]",首次释放对应技能时80%触发,
