"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","奥义类型{aoyi_type,int}(special_type,number)","技能类型{type,int}(type,number)","奥义CD上限{max_cd,int}(max_cd,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21310011,冰点,额外造成魔防50%的伤害,0,0,,1,3,4,100,1,{},{22218008},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310012,冰苍,额外造成魔防50%的伤害,21310011,0,,1,3,3,200,1,{},{22218008},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310013,冰华,额外造成魔防80%的伤害,21310011,0,,1,3,4,200,1,{},{22218009},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310014,雪耻,额外造成自身的(最高HP-现在HP)×30%的伤害,0,0,,1,3,3,100,1,{},{22218010},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310015,血仇,额外造成自身的(最高HP-现在HP)×30%的伤害,21310014,0,,1,3,2,200,1,{},{22218010},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310016,复仇,额外造成自身的(最高HP-现在HP)×50%的伤害,21310014,0,,1,3,3,200,1,{},{22218011},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310017,新月,攻击时，在敌人防守及魔防-30%的状态下给予伤害,0,0,,1,3,3,100,1,{},"{22201516,22201616}","{23,23}",{27},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310018,月虹,攻击时，在敌人防守及魔防-30%的状态下给予伤害,21310017,0,,1,3,2,200,1,{},"{22201516,22201616}","{23,23}",{27},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310019,月光,攻击时，在敌人防守及魔防-50%的状态下给予伤害,21310017,0,,1,3,3,200,1,{},"{22201517,22201617}","{23,23}",{27},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310020,漆黑月光,攻击时，在敌人防守及魔防-80%的状态下给予伤害,21310019,0,,1,3,3,500,1,{},"{22201518,22201618}","{23,23}",{27},"{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",限本人
21310021,黎明,让自身回复造成伤害30%的HP,0,0,,1,3,3,100,2,{},{22201213},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310022,夕阳,让自身回复造成伤害30%的HP,21310021,0,,1,3,2,200,2,{},{22201213},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310023,太阳,让自身回复造成伤害50%的HP,21310021,0,,1,3,3,200,2,{},{22201214},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310024,天空,攻击时，在敌人防守及魔防-50%的状况下给予伤害，让自身回复造成伤害50%的HP,21310019,21310023,,1,3,5,500,1,{},"{22201517,22201617}","{23,23}",{27},"{1,1}",2,{},{22201214},{23},{30},{1},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310025,苍蓝天空,攻击时，在敌人防守及魔防-50%的状况下给予伤害，让自身回复造成伤害50%的HP,21310023,0,,1,3,5,500,1,{},"{22201517,22201617}","{23,23}",{27},"{1,1}",2,{},{22201214},{23},{30},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",限本人
21320001,碎火,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,0,0,,2,3,4,150,65,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320002,爆火,由自身发起战斗时，于战斗开始前，对特定大范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,21320001,0,,2,3,4,300,75,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320003,烈火,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)×1.5倍的伤害,21320001,0,,2,3,4,300,65,{22101001},{22220012},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320004,碎光,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,0,0,,2,3,4,150,73,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320005,爆光,由自身发起战斗时，于战斗开始前，对特定大范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,21320004,0,,2,3,4,300,74,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320006,烈光,由自身发起战斗时，于战斗开始前，对特定大范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,21320004,0,,2,3,4,300,73,{22101001},{22220012},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320007,碎风,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,0,0,,2,3,4,150,43,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320008,爆风,由自身发起战斗时，于战斗开始前，对特定大范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,21320007,0,,2,3,4,300,76,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320009,强风,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)×1.5倍的伤害,21320007,0,,2,3,4,300,43,{22101001},{22220012},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320010,碎雷,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,0,0,,2,3,4,150,67,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320011,爆雷,由自身发起战斗时，于战斗开始前，对特定大范围内的敌人给予(自身的攻击-敌人的防守or魔防)的伤害,21320010,0,,2,3,4,300,77,{22101001},{22220011},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21320012,烈雷,由自身发起战斗时，于战斗开始前，对特定范围内的敌人给予(自身的攻击-敌人的防守or魔防)×1.5倍的伤害,21320010,0,,2,3,4,300,67,{22101001},{22220012},{22},{22},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21340001,疾风迅雷,由自身发起战斗时，战斗后让自身可再次行动(一回合限一次),21310003,0,,4,3,5,500,2,{22101001},{22227001},{23},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12}","{1,2,3,4}",
21350001,小盾,受到一格距离敌人攻击，降低所受伤害30%,0,0,,5,3,3,100,2,"{22151001,22152001,22153001,22154001}",{22219003},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350002,长盾,受到一格距离敌人攻击，降低所受伤害30%,21350001,0,,5,3,2,200,2,"{22151001,22152001,22153001,22154001}",{22219003},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350003,大盾,受到一格距离敌人攻击，降低所受伤害50%,21350001,0,,5,3,3,200,2,"{22151001,22152001,22153001,22154001}",{22219004},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350004,圣衣,受到两格距离敌人攻击，降低所受伤害30%,0,0,,5,3,3,100,2,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22219003},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350005,圣甲,受到两格距离敌人攻击，降低所受伤害30%,21350004,0,,5,3,2,200,2,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22219003},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350006,圣盾,受到两格距离敌人攻击，降低所受伤害50%,21350004,0,,5,3,3,200,2,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22219004},{23},{29},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21350007,冰之圣镜,受到两格距离敌人攻击，降低所受伤害30%因为发动奥义而减轻的伤害值将附加至自身下次攻击(仅本次战斗中。因技能产生的减轻效果也包括在减轻的伤害值中),21350005,0,,5,3,2,500,2,"{22155001,22156001,22157001,22158001,22159001,22160001}",{22219003},{23},{29},{1},1,{},{22218014},{31},{28},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",限本人
21330001,祈祷,当自身的HP高于2，且遭受敌人致命攻击时，将伤害降低至自身HP会剩下1,0,0,,3,3,5,200,2,{22110017},{22222001},{23},{31},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21330002,天照,使用回复之杖时，让自身和指定目标以外的所有我方回复10HP,0,0,,3,3,2,150,5,{22104001},{22201210},{26},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
21330003,业火的祝福,使用回复之杖时，让自身以外的所有我方的攻击+4,0,0,,3,3,1,150,4,{22104001},{22201324},{26},{27},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
21330004,疾风的祝福,使用回复之杖时，让自身以外的所有我方的速度+4,0,0,,3,3,1,150,4,{22104001},{22201420},{26},{27},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
21330005,大地的祝福,使用回复之杖时，让自身以外的所有我方的防守+4,0,0,,3,3,1,150,4,{22104001},{22201522},{26},{27},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
21330006,静水的祝福,使用回复之杖时，让自身以外的所有我方的魔防+4,0,0,,3,3,1,150,4,{22104001},{22201622},{26},{27},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
21330007,治愈,使用回复之杖时，回复效果+10,0,0,,3,3,1,50,1,{22104001},{22201210},{26},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",限杖
