"进阶id{id,int}(idx)","角色id{hcid,int}(num,hcid)","阶级{grade,int}(num,grade)","角色等级限制{levelLimit,int}(num,levelLimit)","生命(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","进阶货币消耗{upGradeCost,json_func}(json,upGradeCost)","道具id1{goodsId1,int}(num,goodsId1)","道具数量1{goodsNum1,int}(num,goodsNum1)","道具id2{goodsId2,int}(num,goodsId2)","道具数量2{goodsNum2,int}(num,goodsNum2)","道具id3{goodsId3,int}(num,goodsId3)","道具数量3{goodsNum3,int}(num,goodsNum3)","道具id4{goodsId4,int}(num,goodsId4)","道具数量4{goodsNum4,int}(num,goodsNum4)",
134,21000009,5,15,4290,0,1300,347,438,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000010,1,56000007,1,
135,21000009,6,20,5280,0,1600,427,539,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000009,1,
136,21000009,7,25,6270,0,1900,507,640,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000007,1,
137,21000009,8,30,8250,0,2500,667,842,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000010,1,56000009,1,
138,21000009,9,35,9570,0,2900,773,976,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000007,1,56000009,1,
139,21000009,10,40,10890,0,3300,880,1111,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000010,1,
140,21000009,11,45,12210,0,3700,987,1246,"{type:4,param:80400001,value:-115000}",56000008,1,56000010,1,56000008,1,56000007,1,
141,21000009,12,50,14850,0,4500,1200,1515,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000009,1,
142,21000009,13,55,16500,0,5000,1333,1683,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000007,1,56000010,1,
143,21000009,14,60,18150,0,5500,1467,1852,"{type:4,param:80400001,value:-213300}",56000010,1,56000009,1,56000008,1,56000009,1,
144,21000009,15,65,19800,0,6000,1600,2020,"{type:4,param:80400001,value:-253900}",56000007,1,56000010,1,56000009,1,56000010,1,
145,21000010,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000007,1,56000009,1,
146,21000010,1,1,673,0,196,55,66,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000007,1,56000008,1,
147,21000010,2,5,1347,0,392,109,132,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000007,1,56000010,1,
148,21000010,3,5,2020,0,588,164,198,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000010,1,56000007,1,
149,21000010,4,10,3367,0,980,273,330,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000009,1,
150,21000010,5,15,4377,0,1274,355,429,"{type:4,param:80400001,value:-13700}",56000009,1,56000008,1,56000009,1,56000007,1,
151,21000010,6,20,5387,0,1568,437,528,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000008,1,56000009,1,
152,21000010,7,25,6397,0,1862,519,627,"{type:4,param:80400001,value:-34800}",56000007,1,56000007,1,56000008,1,56000007,1,
153,21000010,8,30,8417,0,2450,683,825,"{type:4,param:80400001,value:-49900}",56000008,1,56000009,1,56000010,1,56000008,1,
154,21000010,9,35,9763,0,2842,793,957,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000008,1,56000009,1,
155,21000010,10,40,11110,0,3234,902,1089,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000010,1,
156,21000010,11,45,12457,0,3626,1011,1221,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000008,1,56000007,1,
157,21000010,12,50,15150,0,4410,1230,1485,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000007,1,56000009,1,
158,21000010,13,55,16833,0,4900,1367,1650,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000008,1,56000010,1,
159,21000010,14,60,18517,0,5390,1503,1815,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000007,1,56000010,1,
160,21000010,15,65,20200,0,5880,1640,1980,"{type:4,param:80400001,value:-253900}",56000010,1,56000009,1,56000009,1,56000010,1,
161,21000011,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000007,1,56000010,1,
162,21000011,1,1,491,255,0,48,38,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000010,1,56000009,1,
163,21000011,2,5,982,510,0,95,76,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000008,1,56000009,1,
164,21000011,3,5,1473,766,0,143,114,"{type:4,param:80400001,value:-3100}",56000010,1,56000007,1,56000009,1,56000007,1,
165,21000011,4,10,2454,1276,0,237,190,"{type:4,param:80400001,value:-7200}",56000008,1,56000010,1,56000007,1,56000010,1,
166,21000011,5,15,3190,1659,0,309,247,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000007,1,
167,21000011,6,20,3927,2042,0,380,304,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000009,1,
168,21000011,7,25,4663,2425,0,451,361,"{type:4,param:80400001,value:-34800}",56000007,1,56000010,1,56000008,1,56000010,1,
169,21000011,8,30,6135,3190,0,594,475,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000010,1,56000008,1,
170,21000011,9,35,7117,3701,0,689,551,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000008,1,56000010,1,
171,21000011,10,40,8099,4211,0,784,627,"{type:4,param:80400001,value:-89800}",56000007,1,56000010,1,56000008,1,56000007,1,
172,21000011,11,45,9080,4722,0,879,703,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000008,1,56000007,1,
173,21000011,12,50,11044,5743,0,1069,855,"{type:4,param:80400001,value:-143900}",56000007,1,56000009,1,56000010,1,56000008,1,
174,21000011,13,55,12271,6381,0,1188,950,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000008,1,56000010,1,
175,21000011,14,60,13498,7019,0,1306,1045,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000008,1,56000009,1,
176,21000011,15,65,14725,7657,0,1425,1140,"{type:4,param:80400001,value:-253900}",56000009,1,56000008,1,56000009,1,56000010,1,
177,21000012,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000007,1,56000010,1,
178,21000012,1,1,481,250,0,47,38,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000010,1,56000008,1,
179,21000012,2,5,963,500,0,94,76,"{type:4,param:80400001,value:-1000}",56000007,1,56000009,1,56000008,1,56000010,1,
180,21000012,3,5,1444,751,0,141,114,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000009,1,56000008,1,
181,21000012,4,10,2407,1251,0,234,190,"{type:4,param:80400001,value:-7200}",56000007,1,56000010,1,56000007,1,56000010,1,
182,21000012,5,15,3129,1626,0,305,247,"{type:4,param:80400001,value:-13700}",56000008,1,56000008,1,56000009,1,56000008,1,
183,21000012,6,20,3851,2001,0,375,304,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000007,1,56000009,1,
184,21000012,7,25,4573,2377,0,445,361,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000007,1,
185,21000012,8,30,6017,3127,0,586,475,"{type:4,param:80400001,value:-49900}",56000010,1,56000007,1,56000008,1,56000009,1,
186,21000012,9,35,6979,3627,0,680,551,"{type:4,param:80400001,value:-68100}",56000007,1,56000008,1,56000009,1,56000010,1,
187,21000012,10,40,7942,4128,0,773,627,"{type:4,param:80400001,value:-89800}",56000008,1,56000009,1,56000010,1,56000007,1,
188,21000012,11,45,8905,4628,0,867,703,"{type:4,param:80400001,value:-115000}",56000008,1,56000009,1,56000010,1,56000007,1,
189,21000012,12,50,10830,5629,0,1055,855,"{type:4,param:80400001,value:-143900}",56000010,1,56000007,1,56000008,1,56000009,1,
190,21000012,13,55,12033,6254,0,1172,950,"{type:4,param:80400001,value:-176600}",56000007,1,56000008,1,56000009,1,56000010,1,
191,21000012,14,60,13237,6880,0,1289,1045,"{type:4,param:80400001,value:-213300}",56000007,1,56000008,1,56000009,1,56000010,1,
192,21000012,15,65,14440,7505,0,1406,1140,"{type:4,param:80400001,value:-253900}",56000009,1,56000008,1,56000009,1,56000010,1,
193,21000013,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000007,1,56000009,1,
194,21000013,1,1,486,253,0,48,39,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000009,1,
195,21000013,2,5,973,505,0,96,77,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000008,1,56000010,1,
196,21000013,3,5,1459,758,0,144,116,"{type:4,param:80400001,value:-3100}",56000010,1,56000008,1,56000010,1,56000007,1,
197,21000013,4,10,2432,1263,0,241,193,"{type:4,param:80400001,value:-7200}",56000008,1,56000010,1,56000008,1,56000009,1,
198,21000013,5,15,3162,1643,0,313,251,"{type:4,param:80400001,value:-13700}",56000008,1,56000007,1,56000010,1,56000008,1,
199,21000013,6,20,3891,2022,0,385,309,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000007,1,56000010,1,
200,21000013,7,25,4621,2401,0,457,367,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000009,1,56000010,1,
201,21000013,8,30,6080,3159,0,602,483,"{type:4,param:80400001,value:-49900}",56000009,1,56000009,1,56000007,1,56000008,1,
202,21000013,9,35,7053,3664,0,698,560,"{type:4,param:80400001,value:-68100}",56000008,1,56000010,1,56000008,1,56000009,1,
203,21000013,10,40,8026,4170,0,794,637,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000010,1,
