"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array|number)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",限制条件描述
21510011,魔防堡垒2,攻击-3、魔防+4,21510010,0,,4,80,2,{},"{22201316,22201604}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510012,魔防堡垒3,攻击-3、魔防+5,21510011,0,,4,160,2,{},"{22201316,22201605}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510013,HP1,HP+3,0,0,,4,40,2,{},{22201101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510014,HP2,HP+4,21510013,0,,4,80,2,{},{22201102},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510015,HP3,HP+5,21510014,0,,4,160,2,{},{22201103},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510016,攻击1,攻击+1,0,0,,4,30,2,{},{22201301},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510017,攻击2,攻击+2,21510016,0,,4,60,2,{},{22201302},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510018,攻击3,攻击+3,21510017,0,,4,120,2,{},{22201303},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510019,速度1,速度+1,0,0,,4,30,2,{},{22201401},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510020,速度2,速度+2,21510019,0,,4,60,2,{},{22201402},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510021,速度3,速度+3,21510020,0,,4,120,2,{},{22201403},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510022,防守1,防守+1,0,0,,4,30,2,{},{22201501},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510023,防守2,防守+2,21510022,0,,4,60,2,{},{22201502},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510024,防守3,防守+3,21510023,0,,4,120,2,{},{22201503},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510025,魔防1,魔防+1,0,0,,4,30,2,{},{22201601},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510026,魔防2,魔防+2,21510025,0,,4,60,2,{},{22201602},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510027,魔防3,魔防+3,21510026,0,,4,120,2,{},{22201603},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510028,HP攻击1,HP+3攻击+1,21510016,21510013,,4,100,2,{},"{22201101,22201301}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510029,HP攻击2,HP+4攻击+2,21510028,0,,4,200,2,{},"{22201102,22201302}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510030,HP速度1,HP+3速度+1,21510019,21510013,,4,100,2,{},"{22201101,22201401}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510031,HP速度2,HP+4速度+2,21510030,0,,4,200,2,{},"{22201102,22201402}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510032,HP防守1,HP+3防守+1,21510022,21510013,,4,100,2,{},"{22201101,22201501}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510033,HP防守2,HP+4防守+2,21510032,0,,4,200,2,{},"{22201102,22201502}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510034,HP魔防1,HP+3魔防+1,21510025,21510013,,4,100,2,{},"{22201101,22201601}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510035,HP魔防2,HP+4魔防+2,21510034,0,,4,200,2,{},"{22201102,22201602}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510036,攻击速度1,攻击+1速度+1,21510019,21510016,,4,80,2,{},"{22201301,22201401}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510037,攻击速度2,攻击+2速度+2,21510036,0,,4,160,2,{},"{22201302,22201402}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510038,攻击防守1,攻击+1防守+1,21510022,21510016,,4,80,2,{},"{22201301,22201501}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510039,攻击防守2,攻击+2防守+2,21510038,0,,4,160,2,{},"{22201302,22201502}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510040,攻击魔防1,攻击+1魔防+1,21510017,21510016,,4,80,2,{},"{22201301,22201601}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510041,攻击魔防2,攻击+2魔防+2,21510040,0,,4,160,2,{},"{22201302,22201602}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510042,速度防守1,速度+1防守+1,21510022,21510019,,4,80,2,{},"{22201401,22201501}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510043,速度防守2,速度+2防守+2,21510042,0,,4,160,2,{},"{22201402,22201502}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510044,速度魔防1,速度+1魔防+1,21510025,21510019,,4,80,2,{},"{22201401,22201601}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510045,速度魔防2,速度+2魔防+2,21510044,0,,4,160,2,{},"{22201402,22201602}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510046,格拉尼之盾,克制骑兵无效,0,0,,4,200,2,{},{22208101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}",{3},
21510047,艾奥特之盾,克制飞行无效,0,0,,4,200,2,{},{22208301},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}",{4},
21510048,斯瓦尔之盾,克制重装无效,0,0,,4,200,2,{},{22208201},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}",{2},
21510049,远距离反击,受到敌人攻击时，可无视距离进行反击,0,0,,4,300,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,25,26,27,28}","{1,2,3,4}",
21510050,近距离反击,受到敌人攻击时，可无视距离进行反击,0,0,,4,300,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{13,14,15,16,17,18,19,20,21,22,23,24,29,30,31,32}","{1,2,3,4}",
21510051,攻击觉醒1,回合开始时，自身HP低于50%，则攻击+3,0,0,,4,40,2,{22110004},{22201303},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510052,攻击觉醒2,回合开始时，自身HP低于50%，则攻击+5,21510051,0,,4,80,2,{22110004},{22201305},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510053,攻击觉醒3,回合开始时，自身HP低于50%，则攻击+7,21510052,0,,4,160,2,{22110004},{22201307},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510054,速度觉醒1,回合开始时，自身HP低于50%，则速度+3,0,0,,4,40,2,{22110004},{22201403},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510055,速度觉醒2,回合开始时，自身HP低于50%，则速度+5,21510054,0,,4,80,2,{22110004},{22201405},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510056,速度觉醒3,回合开始时，自身HP低于50%，则速度+7,21510055,0,,4,160,2,{22110004},{22201407},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510057,防守觉醒1,回合开始时，自身HP低于50%，则防守+3,0,0,,4,40,2,{22110004},{22201503},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510058,防守觉醒2,回合开始时，自身HP低于50%，则防守+5,21510057,0,,4,80,2,{22110004},{22201505},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510059,防守觉醒3,回合开始时，自身HP低于50%，则防守+7,21510058,0,,4,160,2,{22110004},{22201507},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510060,魔防觉醒1,回合开始时，自身HP低于50%，则魔防+3,0,0,,4,40,2,{22110004},{22201603},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510061,魔防觉醒2,回合开始时，自身HP低于50%，则魔防+5,21510060,0,,4,80,2,{22110004},{22201605},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510062,魔防觉醒3,回合开始时，自身HP低于50%，则魔防+7,21510061,0,,4,160,2,{22110004},{22201607},{4},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510063,攻击速度大觉醒1,若进入战斗时，自身HP低于80%、战斗中的攻击及速度+3,0,0,,4,60,2,{22110007},"{22201303,22201403}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510064,攻击速度大觉醒2,若进入战斗时，自身HP低于80%、战斗中的攻击及速度+5,21510063,0,,4,120,2,{22110007},"{22201305,22201405}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510065,攻击速度大觉醒3,若进入战斗时，自身HP低于80%、战斗中的攻击及速度+7,21510064,0,,4,240,2,{22110007},"{22201307,22201407}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510066,攻击防守大觉醒1,若进入战斗时，自身HP低于80%、战斗中的攻击及防守+3,0,0,,4,60,2,{22110007},"{22201303,22201503}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510067,攻击防守大觉醒2,若进入战斗时，自身HP低于80%、战斗中的攻击及防守+5,21510066,0,,4,120,2,{22110007},"{22201305,22201505}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510068,攻击防守大觉醒3,若进入战斗时，自身HP低于80%、战斗中的攻击及防守+7,21510067,0,,4,240,2,{22110007},"{22201307,22201507}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510069,防守魔防大觉醒1,若进入战斗时，自身HP低于80%、战斗中的防守及魔防+3,0,0,,4,60,2,{22110007},"{22201503,22201603}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510070,防守魔防大觉醒2,若进入战斗时，自身HP低于80%、战斗中的防守及魔防+5,21510069,0,,4,120,2,{22110007},"{22201505,22201605}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510071,防守魔防大觉醒3,若进入战斗时，自身HP低于80%、战斗中的防守及魔防+7,21510070,0,,4,240,2,{22110007},"{22201507,22201607}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510072,攻击速度的羁绊1,和我方相邻时，自身在战斗中的攻击及速度+3,0,0,,4,60,2,{22161001},"{22201303,22201403}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510073,攻击速度的羁绊2,和我方相邻时，自身在战斗中的攻击及速度+4,21510072,0,,4,120,2,{22161001},"{22201304,22201404}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510074,攻击速度的羁绊3,和我方相邻时，自身在战斗中的攻击及速度+5,21510073,0,,4,240,2,{22161001},"{22201305,22201405}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
