"ID{id,int}(idx)","装备类型{equipType,int}(num,equipType)","宝石等级{lv,int}(num,lv)","镶嵌等级（装备强化等级）","品质{qua,int}(num,qua)","属性条数随机权重{attSizeRate,json_intmap}(json,attSizeRate)","属性区间随机权重{attRate,ints}(fun,attRate)","对应的属性类型{attType,ints}(fun,attType)","对应的属性计算类型{calType,ints}(fun,calType)","对应属性区间的属性范围{attRange,json_intAry}(json,attRange)","图标(int,img)","名称(str,nm)","描述(str,desc)","大图标(str,BigImg)",
56800025,1,2,40,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[261,274],[250,262],[500,600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800026,1,2,40,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[274,286],[262,274],[500,600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800027,1,2,40,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[286,299],[274,286],[500,600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800028,1,2,40,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[299,311],[286,298],[500,600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800029,1,2,40,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[315,341],[301,326],[700,800],[700,800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800030,1,2,40,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[341,367],[326,351],[700,800],[700,800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800031,1,2,40,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[367,393],[351,376],[700,800],[700,800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800032,1,2,40,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[393,420],[376,401],[700,800],[700,800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800033,1,3,60,1,{1:1},{-1},{5},{2},"[[192,210]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800034,1,3,60,1,{1:1},{-1},{5},{2},"[[210,227]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800035,1,3,60,1,{1:1},{-1},{5},{2},"[[227,245]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800036,1,3,60,1,{1:1},{-1},{5},{2},"[[245,262]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800037,1,3,60,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[283,301],[271,288]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800038,1,3,60,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[301,318],[288,304]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800039,1,3,60,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[318,336],[304,321]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800040,1,3,60,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[336,354],[321,338]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800041,1,3,60,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[392,411],[375,393],[900,1000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800042,1,3,60,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[411,430],[393,411],[900,1000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800043,1,3,60,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[430,448],[411,429],[900,1000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800044,1,3,60,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[448,467],[429,447],[900,1000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800045,1,3,60,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[472,511],[451,489],[1100,1200],[1100,1200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800046,1,3,60,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[511,551],[489,527],[1100,1200],[1100,1200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800047,1,3,60,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[551,590],[527,564],[1100,1200],[1100,1200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800048,1,3,60,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[590,630],[564,602],[1100,1200],[1100,1200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800049,1,4,80,1,{1:1},{-1},{5},{2},"[[256,280]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800050,1,4,80,1,{1:1},{-1},{5},{2},"[[280,303]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800051,1,4,80,1,{1:1},{-1},{5},{2},"[[303,327]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800052,1,4,80,1,{1:1},{-1},{5},{2},"[[327,350]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800053,1,4,80,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[378,401],[361,384]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800054,1,4,80,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[401,425],[384,406]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800055,1,4,80,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[425,448],[406,429]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800056,1,4,80,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[448,472],[429,451]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800057,1,4,80,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[523,548],[500,524],[1300,1400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800058,1,4,80,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[548,573],[524,548],[1300,1400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800059,1,4,80,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[573,598],[548,572],[1300,1400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800060,1,4,80,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[598,623],[572,596],[1300,1400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800061,1,4,80,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[630,682],[602,652],[1500,1600],[1500,1600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800062,1,4,80,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[682,735],[652,702],[1500,1600],[1500,1600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800063,1,4,80,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[735,787],[702,753],[1500,1600],[1500,1600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800064,1,4,80,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[787,840],[753,803],[1500,1600],[1500,1600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800065,1,5,100,1,{1:1},{-1},{5},{2},"[[321,350]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800066,1,5,100,1,{1:1},{-1},{5},{2},"[[350,379]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800067,1,5,100,1,{1:1},{-1},{5},{2},"[[379,408]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800068,1,5,100,1,{1:1},{-1},{5},{2},"[[408,438]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800069,1,5,100,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[472,502],[451,480]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800070,1,5,100,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[502,531],[480,508]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800071,1,5,100,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[531,561],[508,536]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800072,1,5,100,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[561,590],[536,564]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800073,1,5,100,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[654,685],[625,655],[1700,1800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800074,1,5,100,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[685,716],[655,685],[1700,1800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800075,1,5,100,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[716,748],[685,715],[1700,1800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800076,1,5,100,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[748,779],[715,745],[1700,1800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800077,1,5,100,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[787,853],[753,815],[1900,2000],[1900,2000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800078,1,5,100,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[853,918],[815,878],[1900,2000],[1900,2000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800079,1,5,100,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[918,984],[878,941],[1900,2000],[1900,2000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800080,1,5,100,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[984,1050],[941,1004],[1900,2000],[1900,2000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800081,1,6,120,1,{1:1},{-1},{5},{2},"[[385,420]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800082,1,6,120,1,{1:1},{-1},{5},{2},"[[420,455]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800083,1,6,120,1,{1:1},{-1},{5},{2},"[[455,490]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800084,1,6,120,1,{1:1},{-1},{5},{2},"[[490,525]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800085,1,6,120,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[567,602],[542,576]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800086,1,6,120,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[602,637],[576,609]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800087,1,6,120,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[637,673],[609,643]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800088,1,6,120,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[673,708],[643,677]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800089,1,6,120,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[785,822],[751,786],[2100,2200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800090,1,6,120,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[822,860],[786,822],[2100,2200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800091,1,6,120,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[860,897],[822,858],[2100,2200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800092,1,6,120,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[897,935],[858,894],[2100,2200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800093,1,6,120,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[945,1023],[903,978],[2300,2400],[2300,2400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800094,1,6,120,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1023,1102],[978,1054],[2300,2400],[2300,2400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800095,1,6,120,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1102,1181],[1054,1129],[2300,2400],[2300,2400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800096,1,6,120,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1181,1260],[1129,1204],[2300,2400],[2300,2400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800097,1,7,140,1,{1:1},{-1},{5},{2},"[[449,490]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800098,1,7,140,1,{1:1},{-1},{5},{2},"[[490,531]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800099,1,7,140,1,{1:1},{-1},{5},{2},"[[531,572]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800100,1,7,140,1,{1:1},{-1},{5},{2},"[[572,613]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800101,1,7,140,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[661,702],[632,672]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800102,1,7,140,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[702,744],[672,711]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800103,1,7,140,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[744,785],[711,751]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800104,1,7,140,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[785,826],[751,790]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800105,1,7,140,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[916,960],[876,918],[2500,2600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800106,1,7,140,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[960,1003],[918,959],[2500,2600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800107,1,7,140,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1003,1047],[959,1001],[2500,2600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800108,1,7,140,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1047,1091],[1001,1043],[2500,2600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800109,1,7,140,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1102,1194],[1054,1142],[2700,2800],[2700,2800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800110,1,7,140,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1194,1286],[1142,1229],[2700,2800],[2700,2800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800111,1,7,140,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1286,1378],[1229,1317],[2700,2800],[2700,2800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800112,1,7,140,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1378,1470],[1317,1405],[2700,2800],[2700,2800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800113,1,8,160,1,{1:1},{-1},{5},{2},"[[513,560]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800114,1,8,160,1,{1:1},{-1},{5},{2},"[[560,607]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800115,1,8,160,1,{1:1},{-1},{5},{2},"[[607,654]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800116,1,8,160,1,{1:1},{-1},{5},{2},"[[654,700]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800117,1,8,160,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[756,803],[722,768]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800118,1,8,160,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[803,850],[768,813]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800119,1,8,160,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[850,897],[813,858]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800120,1,8,160,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[897,945],[858,903]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800121,1,8,160,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1047,1097],[1001,1049],[2900,3000]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800122,1,8,160,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1097,1147],[1049,1096],[2900,3000]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800123,1,8,160,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1147,1197],[1096,1144],[2900,3000]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800124,1,8,160,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[1197,1246],[1144,1192],[2900,3000]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800125,1,8,160,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1260,1365],[1204,1305],[3100,3200],[3100,3200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800126,1,8,160,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1365,1470],[1305,1405],[3100,3200],[3100,3200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800127,1,8,160,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1470,1575],[1405,1506],[3100,3200],[3100,3200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800128,1,8,160,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[1575,1680],[1506,1606],[3100,3200],[3100,3200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800129,2,1,20,1,{1:1},{-1},{2},{2},"[[10,10]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800130,2,1,20,1,{1:1},{-1},{2},{2},"[[10,11]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800131,2,1,20,1,{1:1},{-1},{2},{2},"[[11,12]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800132,2,1,20,1,{1:1},{-1},{2},{2},"[[12,13]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800133,2,1,20,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[14,15],[248,263]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800134,2,1,20,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[15,16],[263,279]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800135,2,1,20,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[16,17],[279,294]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800136,2,1,20,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[17,18],[294,310]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800137,2,1,20,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[20,21],[343,360],[100,200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800138,2,1,20,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[21,22],[360,376],[100,200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800139,2,1,20,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[22,23],[376,392],[100,200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800140,2,1,20,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[23,24],[392,409],[100,200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800141,2,1,20,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[24,26],[413,447],[300,400],[300,400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800142,2,1,20,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[26,28],[447,482],[300,400],[300,400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800143,2,1,20,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[28,30],[482,516],[300,400],[300,400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800144,2,1,20,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[30,32],[516,551],[300,400],[300,400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800145,2,2,40,1,{1:1},{-1},{2},{2},"[[20,21]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800146,2,2,40,1,{1:1},{-1},{2},{2},"[[21,23]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800147,2,2,40,1,{1:1},{-1},{2},{2},"[[23,25]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800148,2,2,40,1,{1:1},{-1},{2},{2},"[[25,27]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800149,2,2,40,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[29,31],[496,527]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800150,2,2,40,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[31,33],[527,558]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800151,2,2,40,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[33,35],[558,589]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800152,2,2,40,2,{2:1},"{-1,-1}","{2,5}","{2,2}","[[35,36],[589,620]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800153,2,2,40,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[40,42],[687,720],[500,600]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800154,2,2,40,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[42,44],[720,752],[500,600]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800155,2,2,40,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[44,46],[752,785],[500,600]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800156,2,2,40,3,{3:1},"{-1,-1,-1}","{2,5,2}","{2,2,3}","[[46,48],[785,818],[500,600]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800157,2,2,40,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[49,53],[826,895],[700,800],[700,800]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800158,2,2,40,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[53,57],[895,964],[700,800],[700,800]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800159,2,2,40,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[57,61],[964,1033],[700,800],[700,800]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800160,2,2,40,4,{4:1},"{-1,-1,-1,-1}","{2,5,2,5}","{2,2,3,3}","[[61,65],[1033,1102],[700,800],[700,800]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800161,2,3,60,1,{1:1},{-1},{2},{2},"[[30,32]]",10045015,红宝石,这个是一颗红宝石。,10045015,
