"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","威力{power,int}(power,number)","射程{range,int}(range,number)","武器类型{weapon_type,int}(weapon_type,number)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","武器克制组{weapon_counters,ints}(weak_weapon,array)","兵种克制组{arms_counters,ints}(weak_arms,array)","攻击次数{attack_times,int}(attack_times,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21110015,旭日之剑,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21110002,0,,8,1,1,1,200,{},{},1,2,{},{22206003},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110016,旭日之剑+,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21110015,0,,12,1,1,1,300,{},{},1,2,{},{22206003},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110017,火雉之剑,自己跟敌人皆无法反击,21110002,0,,11,1,1,1,200,{},{},1,2,{},{22214001},{23},{23},{1},1,{},{22214001},{23},{23},{1},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110018,火雉之剑+,自己跟敌人皆无法反击,21110017,0,,15,1,1,1,300,{},{},1,2,{},{22214001},{23},{23},{1},1,{},{22214001},{23},{23},{1},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110019,斩马刀,克制骑兵,21110002,0,,10,1,1,1,200,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110020,斩马刀+,克制骑兵,21110019,0,,14,1,1,1,300,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110021,守护之剑,受到敌人攻击时，战斗中的防守+7,21110002,0,,10,1,1,1,200,{},{},1,2,{22102001},{22201507},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110022,守护之剑+,受到敌人攻击时，战斗中的防守+7,21110019,0,,14,1,1,1,300,{},{},1,2,{22102001},{22201507},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110023,门松,周围2格内的我方，战斗中的防守及魔防+2,21110002,0,,10,1,1,1,200,{},{},1,48,{},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110024,门松+,周围2格内的我方，战斗中的防守及魔防+2,21110019,0,,14,1,1,1,300,{},{},1,48,{},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110025,米斯特汀,容易发动奥义（发动计量-1）,21110007,0,,16,1,1,1,400,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110026,魔剑米斯特汀,容易发动奥义（发动计量-1），若在战斗前或者战斗中发动奥义，战斗结束后奥义计数-2,21110007,0,,16,1,1,1,400,{},{},1,2,{},{22202001},{1},{1},{1},2,{},{22203002},{27},{25},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110027,奥德姆拉,奥义发动计量-1，魔防+5,21110003,0,,16,1,1,1,400,{},{},1,2,{},{22202001},{1},{1},{1},2,{},{22201605},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110028,羽翼之剑,克制重装，骑兵,21110014,0,,16,1,1,1,400,{},"{2,3}",1,1,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110029,大师之剑,攻击2次（被敌人攻击时，也可以攻击2次）速度-5,21110005,0,,11,1,1,1,400,{},{},1,2,{},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110030,气锐瓦育之剑,攻击+3，发动奥义时，奥义造成的伤害+10,21110003,0,,16,1,1,1,400,{},{},1,1,{},{22217013},{23},{27},{1},2,{},{22201303},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110031,法尔西昂(纹谜),克制龙 每3回合1次，回合开始时回复10HP,21110003,0,,16,1,1,1,400,{7},{},1,1,{},{22201210},{17},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110032,法尔西昂(觉醒),克制龙 每3回合1次，回合开始时回复10HP,21110003,0,,16,1,1,1,400,{7},{},1,1,{},{22201210},{17},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110033,法尔西昂(外传),克制龙 每3回合1次，回合开始时回复10HP,21110003,0,,16,1,1,1,400,{7},{},1,1,{},{22201210},{17},{4},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110034,封剑法尔西昂,克制龙 若战斗开始时，自身HP低于99%，战斗中攻击、速度、防守、魔防+5,21110003,0,,16,1,1,1,400,{7},{},1,1,{},"{22201305,22201405,22201505,22201605}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",2,{},{},{23},{23},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110035,齐格林德,回合开始时，周围一格内我方的攻击+3,21110003,0,,16,1,1,1,400,{},{},1,47,{},{22201323},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110036,艾坎札克斯,回合开始时，周围2格内敌人的防守-4，持续到敌人行动结束,21110003,0,,16,1,1,1,400,{},{},1,40,{},{22201512},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110037,弗尔克范格,回合开始时，自身HP低于50%，则攻击+5,21110003,0,,16,1,1,1,400,{},{},1,2,{22110004},{22201325},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110038,宝剑索菲亚,防守+3 若战斗开始时，自身HP为100%，攻击、速度、防守及魔防+4 以此状态攻击时，战斗后自己受到4伤害,21110003,0,,16,1,1,1,400,{},{},1,2,{22110016},{22201503},{1},{1},{1},2,{22110016},"{22201304,22201404,22201504,22201604,22219004}","{23,23,23,23,25}","{23,23,23,23,25}","{1,1,1,1}",0,{},{},{},{},{},{999},"{1,2,3,4}",
21110039,斩裂剑,自身HP低于50%，战斗时的防守+4,21110003,0,,16,1,1,1,400,{},{},1,2,{22110004},{22201504},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110040,圣剑斩裂剑,魔防+3敌人为魔法兵种时，将战斗中受到的第一法攻击伤害降低50%,21110003,0,,16,1,1,1,400,{},{},1,2,"{22154001,22155001,22156001,22157001,22160001}",{22218004},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110041,光剑,防守+3 敌人魔防低于敌人防守5以上时，伤害+7,21110003,0,,16,1,1,1,400,{},{},1,2,{22134001},{22217012},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110042,帝王之剑,在敌人HP为100%的状态下展开战斗时，自己在战斗中的攻击及速度+2,21110003,0,,16,1,1,1,400,{},{},1,2,{22118001},"{22201302,22201402}","{23,23}","{23,23}","{1,1}",0,{22118001},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110043,瞬闪艾依拉之剑,速度+3 速度高于敌人时，因自己攻击造成的奥义发动计量变化量+1（若有多个相同的熊效果，去最大值）,21110003,0,,16,1,1,1,400,{},{},1,2,{22129003},{22205001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110044,亚米特,由自己发动攻击时，攻击2次 速度-2,21110005,0,,11,1,1,1,400,{},{},1,2,{22101001},{22213101},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110045,迪朗达尔,由自己发动攻击时，战斗中的速度+4,21110003,0,,16,1,1,1,400,{},{},1,2,{22101001},{22201404},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110046,烈剑迪朗达尔,攻击+3 攻击高于敌人时，因自己攻击造成的奥义发动计量变化量+1（若有多个相同系统效果，取最大值）,21110003,0,,16,1,1,1,400,{},{},1,2,{22128003},{22205001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110047,夜刀神,由自己发动攻击时，战斗中的速度+4,21110003,0,,16,1,1,1,400,{},{},1,2,{22101001},{22201404},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110048,索尔·卡提,自身HP低于50%，且由自己发动攻击时，如可进行追击，则会在自己攻击后立即追击,21110003,0,,16,1,1,1,400,{},{},1,2,"{22110004,22101001,22135001}",{22211001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110049,黑血大剑,由自己发动攻击时，战斗中的攻击及速度+4,21110003,0,,16,1,1,1,400,{},{},1,2,{22101001},"{22201304,22201404}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110050,封印之剑,受到敌人攻击时，防守及魔防+2,21110003,0,,16,1,1,1,400,{},{},1,2,{22102001},"{22201502,22201602}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110051,雷神刀,受到敌人攻击时，可无视距离反击,21110003,0,,16,1,1,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110052,西格弗里德,受到敌人攻击时，可无视距离反击,21110003,0,,16,1,1,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110053,瑞格内尔,受到敌人攻击时，可无视距离反击,21110003,0,,16,1,1,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21110054,艾塔尔德,受到敌人攻击时，可无视距离反击,21110003,0,,16,1,1,1,400,{},{},1,2,{22102001},{22213001},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130001,铁枪,,0,0,,6,1,2,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130002,钢枪,,21130001,0,,8,1,2,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130003,银枪,,21130002,0,,11,1,2,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130004,银枪+,,21130003,0,,15,1,2,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130005,勇者之枪,由自己发动攻击时，攻击两次 速度-5,21130002,0,,5,1,2,1,200,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130006,勇者之枪+,由自己发动攻击时，攻击两次 速度-5,21130005,0,,8,1,2,1,300,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130007,必杀枪,容易发动奥义（发动计量-1）,21130002,0,,7,1,2,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130008,必杀枪+,容易发动奥义（发动计量-1）,21130007,0,,11,1,2,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130009,必杀枪锻,容易发动奥义（发动计量-1）,21130002,0,,10,1,2,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130010,必杀枪锻+,容易发动奥义（发动计量-1）,21130009,0,,14,1,2,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130011,倭矛,奥义发动时，奥义造成伤害+10,21130002,0,,9,1,2,1,200,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130012,倭矛+,奥义发动时，奥义造成伤害+10,21130011,0,,13,1,2,1,300,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130013,贯穿之枪,克制重装,21130002,0,,8,1,2,1,200,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130014,贯穿之枪+,克制重装,21130013,0,,12,1,2,1,300,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130015,贯穿之枪锻,克制重装,21130002,0,,10,1,2,1,200,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130016,贯穿之枪锻+,克制重装,21130015,0,,14,1,2,1,300,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130017,杀马枪,克制骑兵,21130002,0,,10,1,2,1,200,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130018,杀马枪+,克制骑兵,21130017,0,,14,1,2,1,300,{},{3},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130019,沧海之枪,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21130002,0,,8,1,2,1,200,{},{},1,2,{},{22206003},{1},{1},{1},2,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130020,沧海之枪+,三角互克有利，攻击再+20%，三角互克不利，攻击再-20%,21130019,0,,12,1,2,1,300,{},{},1,2,{},{22206003},{1},{1},{1},2,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130021,火雉之枪,自己跟敌人皆无法反击,21130002,0,,11,1,2,1,200,{},{},1,2,{},{22214001},{23},{23},{1},1,{},{22214001},{23},{23},{1},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130022,火雉之枪+,自己跟敌人皆无法反击,21130021,0,,15,1,2,1,300,{},{},1,2,{},{22214001},{23},{23},{1},1,{},{22214001},{23},{23},{1},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130023,胡萝卜枪,由自己发动攻击时，战斗后回复4HP,21130002,0,,9,1,2,1,200,{},{},1,2,{22101001},{22201204},{25},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130024,胡萝卜枪+,由自己发动攻击时，战斗后回复4HP,21130023,0,,13,1,2,1,300,{},{},1,2,{22101001},{22201204},{25},{25},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130025,定情之枪,由自己发动攻击时，战斗后，自己周围2格内我方的防守及魔防+2（1回合）,21130002,0,,10,1,2,1,200,{},{},1,48,{22101001},"{22201502,22201602}","{25,25}","{25,25}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130026,定情之枪+,由自己发动攻击时，战斗后，自己周围2格内我方的防守及魔防+2（1回合）,21130025,0,,14,1,2,1,300,{},{},1,48,{22101001},"{22201502,22201602}","{25,25}","{25,25}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130027,贝尔克特之枪,受到敌人攻击时，魔防+4,21130002,0,,10,1,2,1,200,{},{},1,2,{22102001},{22201604},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130028,贝尔克特之枪+,受到敌人攻击时，魔防+4,21130027,0,,14,1,2,1,300,{},{},1,2,{22102001},{22201604},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130029,圣树,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21130002,0,,10,1,2,1,200,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130030,圣树+,受到敌人攻击时，战斗中的攻击、速度、防守、魔防+2,21130029,0,,14,1,2,1,300,{},{},1,2,{22102001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130031,捕鱼叉,若战斗开始时，自身HP为100%，攻击速度防守魔防+2，以此状态攻击时，战斗后自己受到2点伤害。,21130002,0,,10,1,2,1,200,{},{},1,2,{22110016},"{22201302,22201402,22201502,22201602,22219002}","{23,23,23,23,25}","{23,23,23,23}","{1,1,1,1,1}",2,{22110016},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130032,捕鱼叉+,若战斗开始时，自身HP为100%，攻击速度防守魔防+2，以此状态攻击时，战斗后自己受到2点伤害。,21130031,0,,14,1,2,1,300,{},{},1,2,{22110016},"{22201302,22201402,22201502,22201602,22219002}","{23,23,23,23,25}","{23,23,23,23}","{1,1,1,1,1}",2,{22110016},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130033,卡萨布朗卡,敌人的武器为弓、暗器、魔法、杖时，战斗中抵消敌人的+强化状态,21130002,0,,10,1,2,1,200,{},{},1,1,"{22158001,22159001,22155001,22156001,22157001,22160001}",{22223101},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130034,卡萨布朗卡+,敌人的武器为弓、暗器、魔法、杖时，战斗中抵消敌人的+强化状态,21130033,0,,14,1,2,1,300,{},{},1,1,"{22158001,22159001,22155001,22156001,22157001,22160001}",{22223101},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130035,贝杀之枪,由自己发动攻击时，战斗中的攻击、速度、防御、魔防+2,21130002,0,,10,1,2,1,200,{},{},1,2,{22101001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130036,贝杀之枪+,由自己发动攻击时，战斗中的攻击、速度、防御、魔防+2,21130035,0,,14,1,2,1,300,{},{},1,2,{22101001},"{22201302,22201402,22201502,22201602}","{23,23,23,23}","{23,23,23,23}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{5,6,7,8}","{1,2,3,4}",
21130037,魔性之枪,攻击及速度+2，奥义发动计量-1，战斗后给予自己4伤害,21130007,0,,16,1,2,1,400,{},{},1,2,{},"{22202001,22201302,22201402}","{1,1,1}","{1,1,1}","{1,1,1}",2,{},{22219004},{25},{25},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130038,齐格蒙德,回合开始时，周围1格内我方的攻击+3（1回合）,21130003,0,,16,1,2,1,400,{},{},1,47,{},{22201323},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130039,芬萨里尔,回合开始时，周围2格内敌人的攻击-4,21130003,0,,16,1,2,1,400,{},{},1,48,{},{22201317},{4},{4},{2},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130040,洁尓诗科古尔,防守+3周围两格内的我方剑枪斧弓暗器单位，战斗中的攻击及速度+3,21130003,0,,16,1,2,1,400,{},{},1,2,{},{22201503},{1},{1},{1},48,"{22151001,22152001,22153001,22158001,22159001}","{22201303,22201403}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},{999},"{1,2,3,4}",
21130041,火乃香的红雉刀,周围2各种内有我方步兵或飞行单位时，自己在战斗中的攻击及速度+4,21130003,0,,16,1,2,1,400,{},{},1,2,{22174001},"{22201304,22201404}","{23,23}","{23,23}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130042,炎枪齐格蒙德,攻击+3 周围两格内的我方与敌人数量（不包括自己和战斗对手）相同或敌人数量更多时，则必定可以追击,21130003,0,,16,1,2,1,400,{},{},1,2,{22169001},{22210001},{23},{23},{1},0,{},{22201303},{1},{1},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130043,白血雉刀,受到敌人攻击时，战斗中的攻击及防守+4,21130003,0,,16,1,2,1,400,{},{},1,2,{22102001},{22201304},{23},{23},{1},2,{22102001},{22201504},{23},{23},{1},0,{},{},{},{},{},{999},"{1,2,3,4}",
21130044,维德佛尔尼尓,受到武器为剑、枪、斧、的敌人攻击时、战斗中的防守+7,21130003,0,,16,1,2,1,400,{},{},1,2,"{22102001,22151001,22152001,22153001}",{22201507},{23},{23},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
