"编码ID{id,int}(id,number)","性格名称(char_name,string)","性格组id{group_id,int}(group_id,number)","权重{weight,int}(weight,number)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)"
90000055,冷静,3,525,2,0,-2,0,0,0,0
90000056,马虎,3,417,2,0,0,0,-2,0,0
90000057,温和,3,442,0,-2,0,0,2,0,0
90000058,温顺,3,608,0,0,0,-2,2,0,0
90000059,自大,3,377,0,0,-2,0,2,0,0
90000060,慎重,3,317,-2,0,0,0,2,0,0
90000061,怕寂寞,4,745,0,2,0,-2,0,0,0
90000062,勇敢,4,616,0,2,-2,0,0,0,0
90000063,固执,4,385,-2,2,0,0,0,0,0
90000064,顽皮,4,615,0,2,0,0,-2,0,0
90000065,大胆,4,439,0,-2,0,2,0,0,0
90000066,悠闲,4,340,0,0,-2,2,0,0,0
90000067,淘气,4,637,-2,0,0,2,0,0,0
90000068,乐天,4,697,0,0,0,2,-2,0,0
90000069,胆小,4,385,0,-2,2,0,0,0,0
90000070,急躁,4,323,0,0,2,-2,0,0,0
90000071,爽朗,4,321,-2,0,2,0,0,0,0
90000072,天真,4,581,0,0,2,0,-2,0,0
90000073,内敛,4,446,2,-2,0,0,0,0,0
90000074,慢吞吞,4,693,2,0,0,-2,0,0,0
90000075,冷静,4,627,2,0,-2,0,0,0,0
90000076,马虎,4,373,2,0,0,0,-2,0,0
90000077,温和,4,530,0,-2,0,0,2,0,0
90000078,温顺,4,545,0,0,0,-2,2,0,0
90000079,自大,4,340,0,0,-2,0,2,0,0
90000080,慎重,4,362,-2,0,0,0,2,0,0
90000081,怕寂寞,5,497,0,2,0,-2,0,0,0
90000082,勇敢,5,493,0,2,-2,0,0,0,0
90000083,固执,5,353,-2,2,0,0,0,0,0
90000084,顽皮,5,458,0,2,0,0,-2,0,0
90000085,大胆,5,617,0,-2,0,2,0,0,0
90000086,悠闲,5,471,0,0,-2,2,0,0,0
90000087,淘气,5,411,-2,0,0,2,0,0,0
90000088,乐天,5,738,0,0,0,2,-2,0,0
90000089,胆小,5,356,0,-2,2,0,0,0,0
90000090,急躁,5,380,0,0,2,-2,0,0,0
90000091,爽朗,5,489,-2,0,2,0,0,0,0
90000092,天真,5,554,0,0,2,0,-2,0,0
90000093,内敛,5,735,2,-2,0,0,0,0,0
90000094,慢吞吞,5,415,2,0,0,-2,0,0,0
90000095,冷静,5,723,2,0,-2,0,0,0,0
90000096,马虎,5,554,2,0,0,0,-2,0,0
90000097,温和,5,583,0,-2,0,0,2,0,0
90000098,温顺,5,315,0,0,0,-2,2,0,0
90000099,自大,5,631,0,0,-2,0,2,0,0
90000100,慎重,5,227,-2,0,0,0,2,0,0
90000101,怕寂寞,6,597,0,2,0,-2,0,0,0
90000102,勇敢,6,534,0,2,-2,0,0,0,0
90000103,固执,6,553,-2,2,0,0,0,0,0
90000104,顽皮,6,442,0,2,0,0,-2,0,0
90000105,大胆,6,485,0,-2,0,2,0,0,0
90000106,悠闲,6,745,0,0,-2,2,0,0,0
90000107,淘气,6,300,-2,0,0,2,0,0,0
90000108,乐天,6,338,0,0,0,2,-2,0,0
90000109,胆小,6,368,0,-2,2,0,0,0,0
90000110,急躁,6,585,0,0,2,-2,0,0,0
90000111,爽朗,6,368,-2,0,2,0,0,0,0
90000112,天真,6,518,0,0,2,0,-2,0,0
90000113,内敛,6,347,2,-2,0,0,0,0,0
90000114,慢吞吞,6,743,2,0,0,-2,0,0,0
90000115,冷静,6,500,2,0,-2,0,0,0,0
90000116,马虎,6,401,2,0,0,0,-2,0,0
90000117,温和,6,505,0,-2,0,0,2,0,0
90000118,温顺,6,623,0,0,0,-2,2,0,0
90000119,自大,6,724,0,0,-2,0,2,0,0
90000120,慎重,6,324,-2,0,0,0,2,0,0
90000121,怕寂寞,7,415,0,2,0,-2,0,0,0
90000122,勇敢,7,602,0,2,-2,0,0,0,0
90000123,固执,7,554,-2,2,0,0,0,0,0
90000124,顽皮,7,441,0,2,0,0,-2,0,0
90000125,大胆,7,705,0,-2,0,2,0,0,0
90000126,悠闲,7,606,0,0,-2,2,0,0,0
90000127,淘气,7,774,-2,0,0,2,0,0,0
90000128,乐天,7,455,0,0,0,2,-2,0,0
90000129,胆小,7,424,0,-2,2,0,0,0,0
90000130,急躁,7,402,0,0,2,-2,0,0,0
90000131,爽朗,7,404,-2,0,2,0,0,0,0
90000132,天真,7,529,0,0,2,0,-2,0,0
90000133,内敛,7,437,2,-2,0,0,0,0,0
90000134,慢吞吞,7,494,2,0,0,-2,0,0,0
90000135,冷静,7,395,2,0,-2,0,0,0,0
90000136,马虎,7,601,2,0,0,0,-2,0,0
90000137,温和,7,326,0,-2,0,0,2,0,0
90000138,温顺,7,494,0,0,0,-2,2,0,0
90000139,自大,7,678,0,0,-2,0,2,0,0
90000140,慎重,7,264,-2,0,0,0,2,0,0
90000141,怕寂寞,8,350,0,2,0,-2,0,0,0
90000142,勇敢,8,455,0,2,-2,0,0,0,0
90000143,固执,8,548,-2,2,0,0,0,0,0
90000144,顽皮,8,553,0,2,0,0,-2,0,0
90000145,大胆,8,459,0,-2,0,2,0,0,0
90000146,悠闲,8,351,0,0,-2,2,0,0,0
90000147,淘气,8,461,-2,0,0,2,0,0,0
90000148,乐天,8,721,0,0,0,2,-2,0,0
90000149,胆小,8,650,0,-2,2,0,0,0,0
90000150,急躁,8,388,0,0,2,-2,0,0,0
90000151,爽朗,8,334,-2,0,2,0,0,0,0
90000152,天真,8,568,0,0,2,0,-2,0,0
90000153,内敛,8,421,2,-2,0,0,0,0,0
90000154,慢吞吞,8,571,2,0,0,-2,0,0,0
90000155,冷静,8,529,2,0,-2,0,0,0,0
90000156,马虎,8,648,2,0,0,0,-2,0,0
90000157,温和,8,463,0,-2,0,0,2,0,0
90000158,温顺,8,548,0,0,0,-2,2,0,0
90000159,自大,8,473,0,0,-2,0,2,0,0
90000160,慎重,8,509,-2,0,0,0,2,0,0
90000161,怕寂寞,9,447,0,2,0,-2,0,0,0
90000162,勇敢,9,438,0,2,-2,0,0,0,0
90000163,固执,9,523,-2,2,0,0,0,0,0
90000164,顽皮,9,609,0,2,0,0,-2,0,0
90000165,大胆,9,353,0,-2,0,2,0,0,0
90000166,悠闲,9,421,0,0,-2,2,0,0,0
90000167,淘气,9,557,-2,0,0,2,0,0,0
90000168,乐天,9,455,0,0,0,2,-2,0,0
90000169,胆小,9,724,0,-2,2,0,0,0,0
90000170,急躁,9,325,0,0,2,-2,0,0,0
90000171,爽朗,9,344,-2,0,2,0,0,0,0
90000172,天真,9,342,0,0,2,0,-2,0,0
90000173,内敛,9,307,2,-2,0,0,0,0,0
90000174,慢吞吞,9,622,2,0,0,-2,0,0,0
90000175,冷静,9,776,2,0,-2,0,0,0,0
90000176,马虎,9,529,2,0,0,0,-2,0,0
90000177,温和,9,680,0,-2,0,0,2,0,0
90000178,温顺,9,496,0,0,0,-2,2,0,0
90000179,自大,9,607,0,0,-2,0,2,0,0
90000180,慎重,9,445,-2,0,0,0,2,0,0
90000181,怕寂寞,10,684,0,2,0,-2,0,0,0
90000182,勇敢,10,594,0,2,-2,0,0,0,0
90000183,固执,10,668,-2,2,0,0,0,0,0
90000184,顽皮,10,415,0,2,0,0,-2,0,0
90000185,大胆,10,312,0,-2,0,2,0,0,0
90000186,悠闲,10,423,0,0,-2,2,0,0,0
90000187,淘气,10,427,-2,0,0,2,0,0,0
90000188,乐天,10,540,0,0,0,2,-2,0,0
90000189,胆小,10,481,0,-2,2,0,0,0,0
90000190,急躁,10,720,0,0,2,-2,0,0,0
90000191,爽朗,10,435,-2,0,2,0,0,0,0
90000192,天真,10,716,0,0,2,0,-2,0,0
90000193,内敛,10,428,2,-2,0,0,0,0,0
90000194,慢吞吞,10,746,2,0,0,-2,0,0,0
90000195,冷静,10,354,2,0,-2,0,0,0,0
90000196,马虎,10,678,2,0,0,0,-2,0,0
90000197,温和,10,314,0,-2,0,0,2,0,0
90000198,温顺,10,320,0,0,0,-2,2,0,0
90000199,自大,10,350,0,0,-2,0,2,0,0
90000200,慎重,10,395,-2,0,0,0,2,0,0
