"编号(idx){id,int}","章节编号{charpterId,int}(num,charpterId)","关卡名称(str,subcharpterId)","关卡坐标(fun,pos)","策划自己看的副本名称","副本类型(num,fbLx)","前置编号{parentId,int}(num,parentId)","怪物编号{monsterId,int}(num,monsterId)","开启等级{openLv,int}(num,openLv)","每日挑战次数{dayFightCount,int}(num,dayFightCount)","需求体力{reqAp,int}(num,reqAp)","扫荡所需道具{sweepReqGid,int}(num,sweepReqGid)","扫荡所需道具数量{sweepReqGidNum,int}(num,sweepReqGidNum)","首次通关奖励id{firstPrizeId,int}(num,firstPrizeId)","通关奖励{prizeId,int}(num,prizeId)","奖励内容|自己看的","游戏币奖励(num,bounsRev)","主角经验奖励{leaderExp,int}(num,mainRoleExp)","角色经验奖励","道具奖励(fun,propsReward)","推荐战力(num,powerRec)",
50010019,50100004,10049001,"{124.92,25.47}",4章_3关,1,50010018,25000001,15,99,5,0,0,70101001,70101019,111,110,5,50,"{56000009,56000001}",4800,
50010020,50100004,10049002,"{357.78,88.54}",4章_4关,1,50010019,25000002,15,99,5,0,0,70101001,70101020,111,110,5,50,"{56000010,56000001}",4900,
50010021,50100004,10049001,"{432.98,342.02}",4章_5关,1,50010020,25000003,16,99,5,0,0,70101001,70101021,111,120,5,50,"{56000007,56000001}",5000,
50010022,50100004,10049002,"{613.69,356.57}",4章_6关,1,50010021,25000001,17,99,5,0,0,70101001,70101022,111,120,5,50,"{56000008,56000001}",5100,
50010023,50100004,10049001,"{714.36,202.54}",4章_7关,1,50010022,25000002,17,99,5,0,0,70101001,70101023,111,120,5,50,"{56000009,56000001}",5200,
50010024,50100004,10049002,"{499.69,9.7}",4章_8关,3,50010023,25000003,18,99,5,0,0,70101001,70101024,111,120,5,50,"{56000010,56000001}",5300,
50010025,50100005,10049001,"{166.16,355.36}",5章_1关,1,50010024,25000001,18,99,5,0,0,70101001,70101025,111,120,5,50,"{56000007,56000001}",5400,
50010026,50100005,10049002,"{31.54,211.03}",5章_2关,1,50010025,25000002,19,99,5,0,0,70101001,70101026,111,120,5,50,"{56000008,56000001}",5500,
50010027,50100005,10049001,"{124.92,25.47}",5章_3关,1,50010026,25000003,19,99,5,0,0,70101001,70101027,111,130,5,50,"{56000009,56000001}",5600,
50010028,50100005,10049002,"{357.78,88.54}",5章_4关,1,50010027,25000001,20,99,5,0,0,70101001,70101028,111,130,5,50,"{56000010,56000001}",5700,
50010029,50100005,10049001,"{432.98,342.02}",5章_5关,1,50010028,25000002,21,99,5,0,0,70101001,70101029,111,130,5,50,"{56000007,56000001}",5800,
50010030,50100005,10049002,"{613.69,356.57}",5章_6关,1,50010029,25000003,21,99,5,0,0,70101001,70101030,111,130,5,50,"{56000008,56000001}",5900,
50010031,50100005,10049001,"{714.36,202.54}",5章_7关,1,50010030,25000001,22,99,5,0,0,70101001,70101031,111,130,5,50,"{56000009,56000001}",6000,
50010032,50100005,10049002,"{499.69,9.7}",5章_8关,3,50010031,25000002,22,99,5,0,0,70101001,70101032,111,140,5,50,"{56000010,56000001}",6100,
50010033,50100006,10049001,"{166.16,355.36}",6章_1关,1,50010032,25000003,23,99,5,0,0,70101001,70101033,111,140,5,50,"{56000007,56000001}",6200,
50010034,50100006,10049002,"{31.54,211.03}",6章_2关,1,50010033,25000001,23,99,5,0,0,70101001,70101034,111,140,5,50,"{56000008,56000001}",6300,
50010035,50100006,10049001,"{124.92,25.47}",6章_3关,1,50010034,25000002,24,99,5,0,0,70101001,70101035,111,140,5,50,"{56000009,56000001}",6400,
50010036,50100006,10049002,"{357.78,88.54}",6章_4关,1,50010035,25000003,24,99,5,0,0,70101001,70101036,111,140,5,50,"{56000010,56000001}",6500,
50010037,50100006,10049001,"{432.98,342.02}",6章_5关,1,50010036,25000001,25,99,5,0,0,70101001,70101037,111,140,5,50,"{56000007,56000001}",6600,
50010038,50100006,10049002,"{613.69,356.57}",6章_6关,1,50010037,25000002,25,99,5,0,0,70101001,70101038,111,150,5,50,"{56000008,56000001}",6700,
50010039,50100006,10049001,"{714.36,202.54}",6章_7关,1,50010038,25000003,26,99,5,0,0,70101001,70101039,111,150,5,50,"{56000009,56000001}",6800,
50010040,50100006,10049002,"{499.69,9.7}",6章_8关,3,50010039,25000001,26,99,5,0,0,70101001,70101040,111,150,5,50,"{56000010,56000001}",6900,
50010041,50100007,10049001,"{166.16,355.36}",7章_1关,1,50010040,25000002,27,99,5,0,0,70101001,70101041,111,150,5,50,"{56000007,56000001}",7000,
50010042,50100007,10049002,"{31.54,211.03}",7章_2关,1,50010041,25000003,27,99,5,0,0,70101001,70101042,111,150,5,50,"{56000008,56000001}",7100,
50010043,50100007,10049001,"{124.92,25.47}",7章_3关,1,50010042,25000001,28,99,5,0,0,70101001,70101043,111,150,5,50,"{56000009,56000001}",7200,
50010044,50100007,10049002,"{357.78,88.54}",7章_4关,1,50010043,25000002,28,99,5,0,0,70101001,70101044,111,160,5,50,"{56000010,56000001}",7300,
50010045,50100007,10049001,"{432.98,342.02}",7章_5关,1,50010044,25000003,29,99,5,0,0,70101001,70101045,111,160,5,50,"{56000007,56000001}",7400,
50010046,50100007,10049002,"{613.69,356.57}",7章_6关,1,50010045,25000001,29,99,5,0,0,70101001,70101046,111,160,5,50,"{56000008,56000001}",7500,
50010047,50100007,10049001,"{714.36,202.54}",7章_7关,1,50010046,25000002,30,99,5,0,0,70101001,70101047,111,160,5,50,"{56000009,56000001}",7600,
50010048,50100007,10049002,"{499.69,9.7}",7章_8关,3,50010047,25000003,30,99,5,0,0,70101001,70101048,111,160,5,50,"{56000010,56000001}",7700,
50010049,50100008,10049001,"{166.16,355.36}",8章_1关,1,50010048,25000001,31,99,5,0,0,70101001,70101049,111,170,5,50,"{56000007,56000001}",7800,
50010050,50100008,10049002,"{31.54,211.03}",8章_2关,1,50010049,25000002,31,99,5,0,0,70101001,70101050,111,170,5,50,"{56000008,56000001}",7900,
50010051,50100008,10049001,"{124.92,25.47}",8章_3关,1,50010050,25000003,31,99,5,0,0,70101001,70101051,111,170,5,50,"{56000009,56000001}",8000,
50010052,50100008,10049002,"{357.78,88.54}",8章_4关,1,50010051,25000001,32,99,5,0,0,70101001,70101052,111,170,5,50,"{56000010,56000001}",8100,
50010053,50100008,10049001,"{432.98,342.02}",8章_5关,1,50010052,25000002,32,99,5,0,0,70101001,70101053,111,170,5,50,"{56000007,56000001}",8200,
50010054,50100008,10049002,"{613.69,356.57}",8章_6关,1,50010053,25000003,33,99,5,0,0,70101001,70101054,111,170,5,50,"{56000008,56000001}",8300,
50010055,50100008,10049001,"{714.36,202.54}",8章_7关,1,50010054,25000001,33,99,5,0,0,70101001,70101055,111,180,5,50,"{56000009,56000001}",8400,
50010056,50100008,10049002,"{499.69,9.7}",8章_8关,3,50010055,25000002,34,99,5,0,0,70101001,70101056,111,180,5,50,"{56000010,56000001}",8500,
50010057,50100009,10049001,"{166.16,355.36}",9章_1关,1,50010056,25000003,34,99,5,0,0,70101001,70101057,111,180,5,50,"{56000007,56000001}",8600,
50010058,50100009,10049002,"{31.54,211.03}",9章_2关,1,50010057,25000001,35,99,5,0,0,70101001,70101058,111,180,5,50,"{56000008,56000001}",8700,
50010059,50100009,10049001,"{124.92,25.47}",9章_3关,1,50010058,25000002,35,99,5,0,0,70101001,70101059,111,180,5,50,"{56000009,56000001}",8800,
50010060,50100009,10049002,"{357.78,88.54}",9章_4关,1,50010059,25000003,36,99,5,0,0,70101001,70101060,111,180,5,50,"{56000010,56000001}",8900,
50010061,50100009,10049001,"{432.98,342.02}",9章_5关,1,50010060,25000001,36,99,5,0,0,70101001,70101061,111,190,5,50,"{56000007,56000001}",9000,
50010062,50100009,10049002,"{613.69,356.57}",9章_6关,1,50010061,25000002,37,99,5,0,0,70101001,70101062,111,190,5,50,"{56000008,56000001}",9100,
50010063,50100009,10049001,"{714.36,202.54}",9章_7关,1,50010062,25000003,37,99,5,0,0,70101001,70101063,111,190,5,50,"{56000009,56000001}",9200,
50010064,50100009,10049002,"{499.69,9.7}",9章_8关,3,50010063,25000001,37,99,5,0,0,70101001,70101064,111,190,5,50,"{56000010,56000001}",9300,
50010065,50100010,10049001,"{166.16,355.36}",10章_1关,1,50010064,25000002,38,99,5,0,0,70101001,70101065,111,190,5,50,"{56000007,56000001}",9400,
50010066,50100010,10049002,"{31.54,211.03}",10章_2关,1,50010065,25000003,38,99,5,0,0,70101001,70101066,111,200,5,50,"{56000008,56000001}",9500,
50010067,50100010,10049001,"{124.92,25.47}",10章_3关,1,50010066,25000001,39,99,5,0,0,70101001,70101067,111,200,5,50,"{56000009,56000001}",9600,
50010068,50100010,10049002,"{357.78,88.54}",10章_4关,1,50010067,25000002,39,99,5,0,0,70101001,70101068,111,200,5,50,"{56000010,56000001}",9700,
50010069,50100010,10049001,"{432.98,342.02}",10章_5关,1,50010068,25000003,40,99,5,0,0,70101001,70101069,111,200,5,50,"{56000007,56000001}",9800,
50010070,50100010,10049002,"{613.69,356.57}",10章_6关,1,50010069,25000001,40,99,5,0,0,70101001,70101070,111,200,5,50,"{56000008,56000001}",9900,
50010071,50100010,10049001,"{714.36,202.54}",10章_7关,1,50010070,25000002,41,99,5,0,0,70101001,70101071,111,200,5,50,"{56000009,56000001}",10000,
50010072,50100010,10049002,"{499.69,9.7}",10章_8关,3,50010071,25000003,41,99,5,0,0,70101001,70101072,111,210,5,50,"{56000010,56000001}",10100,
50010073,50100011,10049001,"{166.16,355.36}",11章_1关,1,50010072,25000001,41,99,5,0,0,70101001,70101073,111,210,5,50,"{56000007,56000001}",10200,
50010074,50100011,10049002,"{31.54,211.03}",11章_2关,1,50010073,25000002,42,99,5,0,0,70101001,70101074,111,210,5,50,"{56000008,56000001}",10300,
50010075,50100011,10049001,"{124.92,25.47}",11章_3关,1,50010074,25000003,42,99,5,0,0,70101001,70101075,111,210,5,50,"{56000009,56000001}",10400,
50010076,50100011,10049002,"{357.78,88.54}",11章_4关,1,50010075,25000001,43,99,5,0,0,70101001,70101076,111,210,5,50,"{56000010,56000001}",10500,
50010077,50100011,10049001,"{432.98,342.02}",11章_5关,1,50010076,25000002,43,99,5,0,0,70101001,70101077,111,210,5,50,"{56000007,56000001}",10600,
50010078,50100011,10049002,"{613.69,356.57}",11章_6关,1,50010077,25000003,44,99,5,0,0,70101001,70101078,111,220,5,50,"{56000008,56000001}",10700,
50010079,50100011,10049001,"{714.36,202.54}",11章_7关,1,50010078,25000001,44,99,5,0,0,70101001,70101079,111,220,5,50,"{56000009,56000001}",10800,
50010080,50100011,10049002,"{499.69,9.7}",11章_8关,3,50010079,25000002,44,99,5,0,0,70101001,70101080,111,220,5,50,"{56000010,56000001}",10900,
50010081,50100012,10049001,"{166.16,355.36}",12章_1关,1,50010080,25000003,45,99,5,0,0,70101001,70101081,111,220,5,50,"{56000007,56000001}",11000,
50010082,50100012,10049002,"{31.54,211.03}",12章_2关,1,50010081,25000001,45,99,5,0,0,70101001,70101082,111,220,5,50,"{56000008,56000001}",11100,
50010083,50100012,10049001,"{124.92,25.47}",12章_3关,1,50010082,25000002,46,99,5,0,0,70101001,70101083,111,230,5,50,"{56000009,56000001}",11200,
50010084,50100012,10049002,"{357.78,88.54}",12章_4关,1,50010083,25000003,46,99,5,0,0,70101001,70101084,111,230,5,50,"{56000010,56000001}",11300,
50010085,50100012,10049001,"{432.98,342.02}",12章_5关,1,50010084,25000001,46,99,5,0,0,70101001,70101085,111,230,5,50,"{56000007,56000001}",11400,
50010086,50100012,10049002,"{613.69,356.57}",12章_6关,1,50010085,25000002,47,99,5,0,0,70101001,70101086,111,230,5,50,"{56000008,56000001}",11500,
50010087,50100012,10049001,"{714.36,202.54}",12章_7关,1,50010086,25000003,47,99,5,0,0,70101001,70101087,111,230,5,50,"{56000009,56000001}",11600,
50010088,50100012,10049002,"{499.69,9.7}",12章_8关,3,50010087,25000001,48,99,5,0,0,70101001,70101088,111,230,5,50,"{56000010,56000001}",11700,
50010089,50100013,10049001,"{166.16,355.36}",13章_1关,1,50010088,25000002,48,99,5,0,0,70101001,70101089,111,240,5,50,"{56000007,56000001}",11800,
50010090,50100013,10049002,"{31.54,211.03}",13章_2关,1,50010089,25000003,49,99,5,0,0,70101001,70101090,111,240,5,50,"{56000008,56000001}",11900,
50010091,50100013,10049001,"{124.92,25.47}",13章_3关,1,50010090,25000001,49,99,5,0,0,70101001,70101091,111,240,5,50,"{56000009,56000001}",12000,
50010092,50100013,10049002,"{357.78,88.54}",13章_4关,1,50010091,25000002,49,99,5,0,0,70101001,70101092,111,240,5,50,"{56000010,56000001}",12100,
50010093,50100013,10049001,"{432.98,342.02}",13章_5关,1,50010092,25000003,50,99,5,0,0,70101001,70101093,111,240,5,50,"{56000007,56000001}",12200,
50010094,50100013,10049002,"{613.69,356.57}",13章_6关,1,50010093,25000001,50,99,5,0,0,70101001,70101094,111,240,5,50,"{56000008,56000001}",12300,
50010095,50100013,10049001,"{714.36,202.54}",13章_7关,1,50010094,25000002,51,99,5,0,0,70101001,70101095,111,250,5,50,"{56000009,56000001}",12400,
50010096,50100013,10049002,"{499.69,9.7}",13章_8关,3,50010095,25000003,51,99,5,0,0,70101001,70101096,111,250,5,50,"{56000010,56000001}",12500,
50010097,50100014,10049001,"{166.16,355.36}",14章_1关,1,50010096,25000001,51,99,5,0,0,70101001,70101097,111,250,5,50,"{56000007,56000001}",12600,
50010098,50100014,10049002,"{31.54,211.03}",14章_2关,1,50010097,25000002,52,99,5,0,0,70101001,70101098,111,250,5,50,"{56000008,56000001}",12700,
50010099,50100014,10049001,"{124.92,25.47}",14章_3关,1,50010098,25000003,52,99,5,0,0,70101001,70101099,111,250,5,50,"{56000009,56000001}",12800,
50010100,50100014,10049002,"{357.78,88.54}",14章_4关,1,50010099,25000001,53,99,5,0,0,70101001,70101100,111,260,5,50,"{56000010,56000001}",12900,
50010101,50100014,10049001,"{432.98,342.02}",14章_5关,1,50010100,25000002,53,99,5,0,0,70101001,70101101,111,260,5,50,"{56000007,56000001}",13000,
50010102,50100014,10049002,"{613.69,356.57}",14章_6关,1,50010101,25000003,53,99,5,0,0,70101001,70101102,111,260,5,50,"{56000008,56000001}",13100,
50010103,50100014,10049001,"{714.36,202.54}",14章_7关,1,50010102,25000001,54,99,5,0,0,70101001,70101103,111,260,5,50,"{56000009,56000001}",13200,
50010104,50100014,10049002,"{499.69,9.7}",14章_8关,3,50010103,25000002,54,99,5,0,0,70101001,70101104,111,260,5,50,"{56000010,56000001}",13300,
50010105,50100015,10049001,"{166.16,355.36}",15章_1关,1,50010104,25000003,55,99,5,0,0,70101001,70101105,111,260,5,50,"{56000007,56000001}",13400,
50010106,50100015,10049002,"{31.54,211.03}",15章_2关,1,50010105,25000001,55,99,5,0,0,70101001,70101106,111,270,5,50,"{56000008,56000001}",13500,
50010107,50100015,10049001,"{124.92,25.47}",15章_3关,1,50010106,25000002,55,99,5,0,0,70101001,70101107,111,270,5,50,"{56000009,56000001}",13600,
50010108,50100015,10049002,"{357.78,88.54}",15章_4关,1,50010107,25000003,56,99,5,0,0,70101001,70101108,111,270,5,50,"{56000010,56000001}",13700,
50010109,50100015,10049001,"{432.98,342.02}",15章_5关,1,50010108,25000001,56,99,5,0,0,70101001,70101109,111,270,5,50,"{56000007,56000001}",13800,
50010110,50100015,10049002,"{613.69,356.57}",15章_6关,1,50010109,25000002,57,99,5,0,0,70101001,70101110,111,270,5,50,"{56000008,56000001}",13900,
50010111,50100015,10049001,"{714.36,202.54}",15章_7关,1,50010110,25000003,57,99,5,0,0,70101001,70101111,111,270,5,50,"{56000009,56000001}",14000,
50010112,50100015,10049002,"{499.69,9.7}",15章_8关,3,50010111,25000001,57,99,5,0,0,70101001,70101112,111,280,5,50,"{56000010,56000001}",14100,
50010113,50100016,10049001,"{166.16,355.36}",16章_1关,1,50010112,25000002,58,99,5,0,0,70101001,70101113,111,280,5,50,"{56000007,56000001}",14200,
50010114,50100016,10049002,"{31.54,211.03}",16章_2关,1,50010113,25000003,58,99,5,0,0,70101001,70101114,111,280,5,50,"{56000008,56000001}",14300,
50010115,50100016,10049001,"{124.92,25.47}",16章_3关,1,50010114,25000001,59,99,5,0,0,70101001,70101115,111,280,5,50,"{56000009,56000001}",14400,
50010116,50100016,10049002,"{357.78,88.54}",16章_4关,1,50010115,25000002,59,99,5,0,0,70101001,70101116,111,280,5,50,"{56000010,56000001}",14500,
50010117,50100016,10049001,"{432.98,342.02}",16章_5关,1,50010116,25000003,59,99,5,0,0,70101001,70101117,111,290,5,50,"{56000007,56000001}",14600,
50010118,50100016,10049002,"{613.69,356.57}",16章_6关,1,50010117,25000001,60,99,5,0,0,70101001,70101118,111,290,5,50,"{56000008,56000001}",14700,
50010119,50100016,10049001,"{714.36,202.54}",16章_7关,1,50010118,25000002,60,99,5,0,0,70101001,70101119,111,290,5,50,"{56000009,56000001}",14800,
50010120,50100016,10049002,"{499.69,9.7}",16章_8关,3,50010119,25000003,60,99,5,0,0,70101001,70101120,111,290,5,50,"{56000010,56000001}",14900,
50010121,50100017,10049001,"{166.16,355.36}",17章_1关,1,50010120,25000001,61,99,5,0,0,70101001,70101121,111,290,5,50,"{56000007,56000001}",15000,
50010122,50100017,10049002,"{31.54,211.03}",17章_2关,1,50010121,25000002,61,99,5,0,0,70101001,70101122,111,290,5,50,"{56000008,56000001}",15100,
50010123,50100017,10049001,"{124.92,25.47}",17章_3关,1,50010122,25000003,62,99,5,0,0,70101001,70101123,111,300,5,50,"{56000009,56000001}",15200,
50010124,50100017,10049002,"{357.78,88.54}",17章_4关,1,50010123,25000001,62,99,5,0,0,70101001,70101124,111,300,5,50,"{56000010,56000001}",15300,
50010125,50100017,10049001,"{432.98,342.02}",17章_5关,1,50010124,25000002,62,99,5,0,0,70101001,70101125,111,300,5,50,"{56000007,56000001}",15400,
50010126,50100017,10049002,"{613.69,356.57}",17章_6关,1,50010125,25000003,63,99,5,0,0,70101001,70101126,111,300,5,50,"{56000008,56000001}",15500,
50010127,50100017,10049001,"{714.36,202.54}",17章_7关,1,50010126,25000001,63,99,5,0,0,70101001,70101127,111,300,5,50,"{56000009,56000001}",15600,
50010128,50100017,10049002,"{499.69,9.7}",17章_8关,3,50010127,25000002,64,99,5,0,0,70101001,70101128,111,300,5,50,"{56000010,56000001}",15700,
50010129,50100018,10049001,"{166.16,355.36}",18章_1关,1,50010128,25000003,64,99,5,0,0,70101001,70101129,111,310,5,50,"{56000007,56000001}",15800,
50010130,50100018,10049002,"{31.54,211.03}",18章_2关,1,50010129,25000001,64,99,5,0,0,70101001,70101130,111,310,5,50,"{56000008,56000001}",15900,
50010131,50100018,10049001,"{124.92,25.47}",18章_3关,1,50010130,25000002,65,99,5,0,0,70101001,70101131,111,310,5,50,"{56000009,56000001}",16000,
50010132,50100018,10049002,"{357.78,88.54}",18章_4关,1,50010131,25000003,65,99,5,0,0,70101001,70101132,111,310,5,50,"{56000010,56000001}",16100,
50010133,50100018,10049001,"{432.98,342.02}",18章_5关,1,50010132,25000001,65,99,5,0,0,70101001,70101133,111,310,5,50,"{56000007,56000001}",16200,
50010134,50100018,10049002,"{613.69,356.57}",18章_6关,1,50010133,25000002,66,99,5,0,0,70101001,70101134,111,320,5,50,"{56000008,56000001}",16300,
50010135,50100018,10049001,"{714.36,202.54}",18章_7关,1,50010134,25000003,66,99,5,0,0,70101001,70101135,111,320,5,50,"{56000009,56000001}",16400,
50010136,50100018,10049002,"{499.69,9.7}",18章_8关,3,50010135,25000001,67,99,5,0,0,70101001,70101136,111,320,5,50,"{56000010,56000001}",16500,
50010137,50100019,10049001,"{166.16,355.36}",19章_1关,1,50010136,25000002,67,99,5,0,0,70101001,70101137,111,320,5,50,"{56000007,56000001}",16600,
50010138,50100019,10049002,"{31.54,211.03}",19章_2关,1,50010137,25000003,67,99,5,0,0,70101001,70101138,111,320,5,50,"{56000008,56000001}",16700,
50010139,50100019,10049001,"{124.92,25.47}",19章_3关,1,50010138,25000001,68,99,5,0,0,70101001,70101139,111,320,5,50,"{56000009,56000001}",16800,
50010140,50100019,10049002,"{357.78,88.54}",19章_4关,1,50010139,25000002,68,99,5,0,0,70101001,70101140,111,330,5,50,"{56000010,56000001}",16900,
50010141,50100019,10049001,"{432.98,342.02}",19章_5关,1,50010140,25000003,68,99,5,0,0,70101001,70101141,111,330,5,50,"{56000007,56000001}",17000,
50010142,50100019,10049002,"{613.69,356.57}",19章_6关,1,50010141,25000001,69,99,5,0,0,70101001,70101142,111,330,5,50,"{56000008,56000001}",17100,
50010143,50100019,10049001,"{714.36,202.54}",19章_7关,1,50010142,25000002,69,99,5,0,0,70101001,70101143,111,330,5,50,"{56000009,56000001}",17200,
50010144,50100019,10049002,"{499.69,9.7}",19章_8关,3,50010143,25000002,70,99,5,0,0,70101001,70101144,111,330,5,50,"{56000009,56000001}",17300,
50010145,50100020,10049001,"{166.16,355.36}",20章_1关,1,50010144,25000002,70,99,5,0,0,70101001,70101145,111,330,5,50,"{56000009,56000001}",17400,
50010146,50100020,10049002,"{31.54,211.03}",20章_2关,1,50010145,25000002,70,99,5,0,0,70101001,70101146,111,330,5,50,"{56000009,56000001}",17500,
50010147,50100020,10049001,"{124.92,25.47}",20章_3关,1,50010146,25000002,71,99,5,0,0,70101001,70101147,111,330,5,50,"{56000009,56000001}",17600,
50010148,50100020,10049002,"{357.78,88.54}",20章_4关,1,50010147,25000002,71,99,5,0,0,70101001,70101148,111,330,5,50,"{56000009,56000001}",17700,
50010149,50100020,10049001,"{432.98,342.02}",20章_5关,1,50010148,25000002,71,99,5,0,0,70101001,70101149,111,330,5,50,"{56000009,56000001}",17800,
50010150,50100020,10049002,"{613.69,356.57}",20章_6关,1,50010149,25000002,72,99,5,0,0,70101001,70101150,111,330,5,50,"{56000009,56000001}",17900,
50010151,50100020,10049001,"{714.36,202.54}",20章_7关,1,50010150,25000002,72,99,5,0,0,70101001,70101151,111,330,5,50,"{56000009,56000001}",18000,
50010152,50100020,10049002,"{499.69,9.7}",20章_8关,3,50010151,25000002,72,99,5,0,0,70101001,70101152,111,330,5,50,"{56000009,56000001}",18100,
50010153,50100021,10049001,"{166.16,355.36}",21章_1关,1,50010152,25000002,73,99,5,0,0,70101001,70101153,111,330,5,50,"{56000009,56000001}",18200,
50010154,50100021,10049002,"{31.54,211.03}",21章_2关,1,50010153,25000002,73,99,5,0,0,70101001,70101154,111,330,5,50,"{56000009,56000001}",18300,
50010155,50100021,10049001,"{124.92,25.47}",21章_3关,1,50010154,25000002,74,99,5,0,0,70101001,70101155,111,330,5,50,"{56000009,56000001}",18400,
50010156,50100021,10049002,"{357.78,88.54}",21章_4关,1,50010155,25000002,74,99,5,0,0,70101001,70101156,111,330,5,50,"{56000009,56000001}",18500,
50010157,50100021,10049001,"{432.98,342.02}",21章_5关,1,50010156,25000002,74,99,5,0,0,70101001,70101157,111,330,5,50,"{56000009,56000001}",18600,
50010158,50100021,10049002,"{613.69,356.57}",21章_6关,1,50010157,25000002,75,99,5,0,0,70101001,70101158,111,330,5,50,"{56000009,56000001}",18700,
50010159,50100021,10049001,"{714.36,202.54}",21章_7关,1,50010158,25000002,75,99,5,0,0,70101001,70101159,111,330,5,50,"{56000009,56000001}",18800,
50010160,50100021,10049002,"{499.69,9.7}",21章_8关,3,50010159,25000002,75,99,5,0,0,70101001,70101160,111,330,5,50,"{56000009,56000001}",18900,
50010161,50100022,10049001,"{166.16,355.36}",22章_1关,1,50010160,25000002,76,99,5,0,0,70101001,70101161,111,330,5,50,"{56000009,56000001}",19000,
50010162,50100022,10049002,"{31.54,211.03}",22章_2关,1,50010161,25000002,76,99,5,0,0,70101001,70101162,111,330,5,50,"{56000009,56000001}",19100,
50010163,50100022,10049001,"{124.92,25.47}",22章_3关,1,50010162,25000002,76,99,5,0,0,70101001,70101163,111,330,5,50,"{56000009,56000001}",19200,
50010164,50100022,10049002,"{357.78,88.54}",22章_4关,1,50010163,25000002,77,99,5,0,0,70101001,70101164,111,330,5,50,"{56000009,56000001}",19300,
