"(idx){id,int}",-,"(str,n)","(str,d)","(num, p2type)","(str, p2)","{goodsType,int}","{isAutoOpen,bool}","(num,qua)","{collectType,int}","{reqLv,int}(num,rlv)","VIP{reqVip,int}(num,vlv)","{funcs,strs}(str,funcs)","(num,tow)",1,2
30160009,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30041002$1;1$30200004$1;1$30030005$3;1$30200040$20;1$30200039$10;1$30200043$20;1$30200042$10},,130160009,230160009
30160010,,§³,§³,,,3,1,3,1,1,0,{all:1$30110013$1;1$30200003$1;1$30200040$10;1$30200043$10},,130160010,230160010
30160011,,,,,,3,1,4,1,1,0,{all:1$30110013$4;1$30200034$4;1$30110018$1;1$30030014$1;1$30200004$3;1$30200003$5;1$30110002$60;1$30110006$60},,130160011,230160011
30160012,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30030012$1;1$30041014$1;1$30041013$1},,130160012,230160012
30160013,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30030012$1;1$30200026$2;1$30200030$2;1$30200008$1;1$30200013$1;1$30200023$1;1$30200018$1},,130160013,230160013
30160014,,,,,,3,1,4,1,1,0,{all:1$30110013$5;1$30030012$2;1$30041015$1;1$30041014$1;1$30200035$5;1$30200004$5;1$30110002$60;1$30110006$60},,130160014,230160014
30160015,,,,,,3,1,4,1,1,0,{all:1$30110013$5;1$30030012$2;1$30200026$3;1$30200030$3;1$30200034$3;1$30200035$3;1$30200004$5;1$30200003$5},,130160015,230160015
30160016,,,,,,3,1,4,1,1,0,{all:1$30110013$5;1$30030012$2;1$30041015$3;1$30041014$3;1$30200034$5;1$30200035$5;1$30200004$5;1$30200003$5},,130160016,230160016
30160017,,,,,,3,1,4,1,1,0,{all:1$30010002$4;1$30010003$4;1$30010005$1;1$30010004$1;1$30110013$3;1$30200026$3;1$30200009$2;1$30200008$2},,130160017,230160017
30160018,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30200026$2;1$30200009$1;1$30200008$1},,130160018,230160018
30160019,,,,,,3,1,4,1,1,0,{all:1$30110013$1;1$30200026$1;1$30200009$1;1$30200008$1},,130160019,230160019
30160020,,,,,,3,1,4,1,1,0,{all:1$30110013$5;1$30030006$20;1$30200026$5;1$30200034$5;1$30110018$1;1$30200004$5;1$30200003$5;1$30200002$5},,130160020,230160020
30160021,,,,,,3,1,4,1,1,0,{all:1$30110013$5;1$30030006$20;1$30041007$1;1$30041006$1;1$30110018$1;1$30200004$5;1$30200003$5;1$30200002$5},,130160021,230160021
30160022,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30030006$8;1$30200026$2;1$30200034$2;1$30200008$1;1$30200023$1;1$30200018$1;1$30200013$1},,130160022,230160022
30160023,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30030006$8;1$30200026$2;1$30041006$1;1$30200008$1;1$30200023$1;1$30200018$1;1$30200013$1},,130160023,230160023
30160024,,§³,§³,,,3,1,3,1,1,0,{all:1$30110013$1;1$30030006$3;1$30200026$1;1$30200004$1},,130160024,230160024
30160025,,,,,,3,1,4,1,1,0,{all:1$30030024$1;1$30030001$1;1$30200035$5;1$30200034$5},,130160025,230160025
30160026,,,,,,3,1,4,1,1,0,{all:1$30110013$4;1$30110018$1;1$30041010$1;1$30041011$1;1$30200009$1;1$30200014$1;1$30200019$1;1$30200024$1},,130160026,230160026
30160027,,,*1*1üž*1*1,,,3,1,5,1,1,0,{one:1$30110013$1;1$30200003$1;1$30200026$1;1$30200030$1},,130160027,230160027
30160028,,,*1*1*1*1,,,3,1,5,1,1,0,{one:1$30200004$1;1$30030005$1;1$30030007$1;1$30200023$1},,130160028,230160028
