"ID{id,int}(idx)","装备类型{type,int}(num,type)","属性类型{attType,ints}(fun,attType)","属性值{value,ints}(fun,value)","计算类型{calType,ints}(fun,calType)","","",
56510049,1,"{1,5}","{40,85}","{1,1}",,,
56510050,1,"{3,5}","{67,71}","{1,1}",,,
56520001,2,"{5,2}","{165,10}","{1,1}",,,
56520002,2,"{5,2}","{166,10}","{1,1}",,,
56520003,2,"{5,2}","{166,10}","{1,1}",,,
56520004,2,"{5,2}","{168,10}","{1,1}",,,
56520005,2,"{5,2}","{171,8}","{1,1}",,,
56520006,2,"{5,2}","{170,8}","{1,1}",,,
56520007,2,"{5,2}","{249,15}","{1,1}",,,
56520008,2,"{5,2}","{252,15}","{1,1}",,,
56520009,2,"{5,2}","{208,10}","{1,1}",,,
56520010,2,"{5,2}","{212,10}","{1,1}",,,
56520011,2,"{5,2}","{163,9}","{1,1}",,,
56520012,2,"{5,2}","{160,9}","{1,1}",,,
56520013,2,"{5,2}","{161,10}","{1,1}",,,
56520014,2,"{5,2}","{161,10}","{1,1}",,,
56520015,2,"{5,2}","{161,8}","{1,1}",,,
56520016,2,"{5,2}","{161,8}","{1,1}",,,
56520017,2,"{5,2}","{237,14}","{1,1}",,,
56520018,2,"{5,2}","{235,14}","{1,1}",,,
56520019,2,"{5,2}","{198,9}","{1,1}",,,
56520020,2,"{5,2}","{202,9}","{1,1}",,,
56520021,2,"{5,2}","{151,9}","{1,1}",,,
56520022,2,"{5,2}","{148,9}","{1,1}",,,
56520023,2,"{5,2}","{154,9}","{1,1}",,,
56520024,2,"{5,2}","{153,9}","{1,1}",,,
56520025,2,"{5,2}","{148,7}","{1,1}",,,
56520026,2,"{5,2}","{150,7}","{1,1}",,,
56520027,2,"{5,2}","{224,14}","{1,1}",,,
56520028,2,"{5,2}","{229,14}","{1,1}",,,
56520029,2,"{5,2}","{189,9}","{1,1}",,,
56520030,2,"{5,2}","{187,9}","{1,1}",,,
56520031,2,"{5,2}","{147,9}","{1,1}",,,
56520032,2,"{5,2}","{148,9}","{1,1}",,,
56520033,2,"{5,2}","{147,9}","{1,1}",,,
56520034,2,"{5,2}","{152,9}","{1,1}",,,
56520035,2,"{5,2}","{148,7}","{1,1}",,,
56520036,2,"{5,2}","{148,7}","{1,1}",,,
56520037,2,"{5,2}","{227,13}","{1,1}",,,
56520038,2,"{5,2}","{220,13}","{1,1}",,,
56520039,2,"{5,2}","{191,9}","{1,1}",,,
56520040,2,"{5,2}","{185,9}","{1,1}",,,
56520041,2,"{5,2}","{149,9}","{1,1}",,,
56520042,2,"{5,2}","{148,9}","{1,1}",,,
56520043,2,"{5,2}","{149,7}","{1,1}",,,
56520044,2,"{5,2}","{219,13}","{1,1}",,,
56520045,2,"{5,2}","{183,9}","{1,1}",,,
56520046,2,"{5,2}","{148,9}","{1,1}",,,
56520047,2,"{5,2}","{145,9}","{1,1}",,,
56520048,2,"{5,2}","{143,7}","{1,1}",,,
56520049,2,"{5,2}","{224,13}","{1,1}",,,
56520050,2,"{5,2}","{186,9}","{1,1}",,,
56530001,3,"{1,2}","{43,18}","{1,1}",,,
56530002,3,"{1,2}","{42,18}","{1,1}",,,
56530003,3,"{1,2}","{42,18}","{1,1}",,,
56530004,3,"{1,2}","{42,18}","{1,1}",,,
56530005,3,"{3,2}","{42,15}","{1,1}",,,
56530006,3,"{3,2}","{41,14}","{1,1}",,,
56530007,3,"{1,2}","{18,28}","{1,1}",,,
56530008,3,"{1,2}","{18,28}","{1,1}",,,
56530009,3,"{3,2}","{30,18}","{1,1}",,,
56530010,3,"{3,2}","{29,19}","{1,1}",,,
56530011,3,"{1,2}","{40,17}","{1,1}",,,
56530012,3,"{1,2}","{40,17}","{1,1}",,,
56530013,3,"{1,2}","{40,17}","{1,1}",,,
56530014,3,"{1,2}","{40,18}","{1,1}",,,
56530015,3,"{3,2}","{40,14}","{1,1}",,,
56530016,3,"{3,2}","{40,14}","{1,1}",,,
56530017,3,"{1,2}","{17,26}","{1,1}",,,
56530018,3,"{1,2}","{17,26}","{1,1}",,,
56530019,3,"{3,2}","{29,17}","{1,1}",,,
56530020,3,"{3,2}","{29,17}","{1,1}",,,
56530021,3,"{1,2}","{38,17}","{1,1}",,,
56530022,3,"{1,2}","{39,17}","{1,1}",,,
56530023,3,"{1,2}","{39,17}","{1,1}",,,
56530024,3,"{1,2}","{37,17}","{1,1}",,,
56530025,3,"{3,2}","{38,13}","{1,1}",,,
56530026,3,"{3,2}","{37,13}","{1,1}",,,
56530027,3,"{1,2}","{16,25}","{1,1}",,,
56530028,3,"{1,2}","{17,25}","{1,1}",,,
56530029,3,"{3,2}","{27,16}","{1,1}",,,
56530030,3,"{3,2}","{27,17}","{1,1}",,,
56530031,3,"{1,2}","{38,17}","{1,1}",,,
56530032,3,"{1,2}","{37,17}","{1,1}",,,
56530033,3,"{1,2}","{38,16}","{1,1}",,,
56530034,3,"{1,2}","{37,16}","{1,1}",,,
56530035,3,"{3,2}","{37,13}","{1,1}",,,
56530036,3,"{3,2}","{37,13}","{1,1}",,,
56530037,3,"{1,2}","{16,25}","{1,1}",,,
56530038,3,"{1,2}","{16,25}","{1,1}",,,
56530039,3,"{3,2}","{26,17}","{1,1}",,,
56530040,3,"{3,2}","{27,16}","{1,1}",,,
56530041,3,"{1,2}","{38,17}","{1,1}",,,
56530042,3,"{1,2}","{37,16}","{1,1}",,,
56530043,3,"{3,2}","{36,13}","{1,1}",,,
56530044,3,"{1,2}","{16,24}","{1,1}",,,
56530045,3,"{3,2}","{27,16}","{1,1}",,,
56530046,3,"{1,2}","{37,16}","{1,1}",,,
56530047,3,"{1,2}","{36,16}","{1,1}",,,
56530048,3,"{3,2}","{36,13}","{1,1}",,,
56530049,3,"{1,2}","{16,24}","{1,1}",,,
56530050,3,"{3,2}","{26,16}","{1,1}",,,
56540001,4,"{2,4}","{11,12}","{1,1}",,,
56540002,4,"{2,4}","{11,12}","{1,1}",,,
56540003,4,"{2,4}","{11,12}","{1,1}",,,
56540004,4,"{2,4}","{12,12}","{1,1}",,,
56540005,4,"{2,4}","{9,15}","{1,1}",,,
56540006,4,"{2,4}","{9,15}","{1,1}",,,
56540007,4,"{2,4}","{17,18}","{1,1}",,,
56540008,4,"{2,4}","{17,18}","{1,1}",,,
56540009,4,"{2,4}","{12,19}","{1,1}",,,
56540010,4,"{2,4}","{12,18}","{1,1}",,,
56540011,4,"{2,4}","{11,11}","{1,1}",,,
56540012,4,"{2,4}","{11,11}","{1,1}",,,
56540013,4,"{2,4}","{11,11}","{1,1}",,,
56540014,4,"{2,4}","{11,11}","{1,1}",,,
56540015,4,"{2,4}","{9,14}","{1,1}",,,
56540016,4,"{2,4}","{9,14}","{1,1}",,,
56540017,4,"{2,4}","{17,17}","{1,1}",,,
56540018,4,"{2,4}","{17,16}","{1,1}",,,
56540019,4,"{2,4}","{11,17}","{1,1}",,,
56540020,4,"{2,4}","{11,18}","{1,1}",,,
56540021,4,"{2,4}","{11,11}","{1,1}",,,
56540022,4,"{2,4}","{11,11}","{1,1}",,,
56540023,4,"{2,4}","{11,11}","{1,1}",,,
56540024,4,"{2,4}","{11,11}","{1,1}",,,
56540025,4,"{2,4}","{8,14}","{1,1}",,,
56540026,4,"{2,4}","{8,14}","{1,1}",,,
56540027,4,"{2,4}","{16,16}","{1,1}",,,
56540028,4,"{2,4}","{16,16}","{1,1}",,,
56540029,4,"{2,4}","{10,17}","{1,1}",,,
56540030,4,"{2,4}","{10,17}","{1,1}",,,
56540031,4,"{2,4}","{10,11}","{1,1}",,,
56540032,4,"{2,4}","{10,10}","{1,1}",,,
56540033,4,"{2,4}","{10,10}","{1,1}",,,
56540034,4,"{2,4}","{10,10}","{1,1}",,,
56540035,4,"{2,4}","{8,14}","{1,1}",,,
56540036,4,"{2,4}","{8,13}","{1,1}",,,
56540037,4,"{2,4}","{16,16}","{1,1}",,,
56540038,4,"{2,4}","{16,16}","{1,1}",,,
56540039,4,"{2,4}","{10,16}","{1,1}",,,
56540040,4,"{2,4}","{10,17}","{1,1}",,,
56540041,4,"{2,4}","{10,10}","{1,1}",,,
56540042,4,"{2,4}","{10,11}","{1,1}",,,
56540043,4,"{2,4}","{8,13}","{1,1}",,,
56540044,4,"{2,4}","{15,16}","{1,1}",,,
56540045,4,"{2,4}","{10,16}","{1,1}",,,
56540046,4,"{2,4}","{10,10}","{1,1}",,,
56540047,4,"{2,4}","{10,10}","{1,1}",,,
56540048,4,"{2,4}","{8,13}","{1,1}",,,
56540049,4,"{2,4}","{15,16}","{1,1}",,,
56540050,4,"{2,4}","{10,16}","{1,1}",,,
56550001,5,"{1,4}","{62,12}","{1,1}",,,
56550002,5,"{1,4}","{61,12}","{1,1}",,,
56550003,5,"{1,4}","{61,12}","{1,1}",,,
56550004,5,"{1,4}","{61,12}","{1,1}",,,
56550005,5,"{3,4}","{60,15}","{1,1}",,,
56550006,5,"{3,4}","{60,15}","{1,1}",,,
56550007,5,"{1,4}","{26,18}","{1,1}",,,
56550008,5,"{1,4}","{26,18}","{1,1}",,,
56550009,5,"{3,4}","{44,19}","{1,1}",,,
56550010,5,"{3,4}","{43,19}","{1,1}",,,
56550011,5,"{1,4}","{58,11}","{1,1}",,,
56550012,5,"{1,4}","{57,11}","{1,1}",,,
56550013,5,"{1,4}","{58,12}","{1,1}",,,
56550014,5,"{1,4}","{57,11}","{1,1}",,,
56550015,5,"{3,4}","{57,14}","{1,1}",,,
56550016,5,"{3,4}","{57,15}","{1,1}",,,
56550017,5,"{1,4}","{25,17}","{1,1}",,,
56550018,5,"{1,4}","{25,17}","{1,1}",,,
56550019,5,"{3,4}","{42,18}","{1,1}",,,
56550020,5,"{3,4}","{42,18}","{1,1}",,,
56550021,5,"{1,4}","{55,11}","{1,1}",,,
56550022,5,"{1,4}","{56,11}","{1,1}",,,
56550023,5,"{1,4}","{56,11}","{1,1}",,,
56550024,5,"{1,4}","{54,11}","{1,1}",,,
56550025,5,"{3,4}","{55,14}","{1,1}",,,
56550026,5,"{3,4}","{54,14}","{1,1}",,,
56550027,5,"{1,4}","{24,16}","{1,1}",,,
56550028,5,"{1,4}","{24,16}","{1,1}",,,
56550029,5,"{3,4}","{39,17}","{1,1}",,,
56550030,5,"{3,4}","{39,17}","{1,1}",,,
56550031,5,"{1,4}","{55,11}","{1,1}",,,
56550032,5,"{1,4}","{54,11}","{1,1}",,,
56550033,5,"{1,4}","{55,11}","{1,1}",,,
56550034,5,"{1,4}","{54,11}","{1,1}",,,
56550035,5,"{3,4}","{54,14}","{1,1}",,,
56550036,5,"{3,4}","{54,13}","{1,1}",,,
56550037,5,"{1,4}","{24,16}","{1,1}",,,
56550038,5,"{1,4}","{23,16}","{1,1}",,,
56550039,5,"{3,4}","{38,17}","{1,1}",,,
56550040,5,"{3,4}","{39,17}","{1,1}",,,
56550041,5,"{1,4}","{55,10}","{1,1}",,,
56550042,5,"{1,4}","{54,11}","{1,1}",,,
56550043,5,"{3,4}","{52,13}","{1,1}",,,
56550044,5,"{1,4}","{23,16}","{1,1}",,,
56550045,5,"{3,4}","{39,16}","{1,1}",,,
56550046,5,"{1,4}","{53,11}","{1,1}",,,
56550047,5,"{1,4}","{52,10}","{1,1}",,,
56550048,5,"{3,4}","{52,13}","{1,1}",,,
56550049,5,"{1,4}","{23,16}","{1,1}",,,
56550050,5,"{3,4}","{38,17}","{1,1}",,,
56560001,6,"{5,4}","{165,8}","{1,1}",,,
56560002,6,"{5,4}","{166,8}","{1,1}",,,
56560003,6,"{5,4}","{166,8}","{1,1}",,,
56560004,6,"{5,4}","{168,8}","{1,1}",,,
56560005,6,"{5,4}","{171,10}","{1,1}",,,
56560006,6,"{5,4}","{170,10}","{1,1}",,,
56560007,6,"{5,4}","{249,12}","{1,1}",,,
56560008,6,"{5,4}","{252,12}","{1,1}",,,
56560009,6,"{5,4}","{208,13}","{1,1}",,,
56560010,6,"{5,4}","{212,12}","{1,1}",,,
56560011,6,"{5,4}","{163,8}","{1,1}",,,
56560012,6,"{5,4}","{160,8}","{1,1}",,,
56560013,6,"{5,4}","{161,8}","{1,1}",,,
56560014,6,"{5,4}","{161,8}","{1,1}",,,
56560015,6,"{5,4}","{161,9}","{1,1}",,,
56560016,6,"{5,4}","{161,10}","{1,1}",,,
56560017,6,"{5,4}","{237,11}","{1,1}",,,
56560018,6,"{5,4}","{235,11}","{1,1}",,,
56560019,6,"{5,4}","{198,12}","{1,1}",,,
56560020,6,"{5,4}","{202,12}","{1,1}",,,
56560021,6,"{5,4}","{151,7}","{1,1}",,,
56560022,6,"{5,4}","{148,7}","{1,1}",,,
56560023,6,"{5,4}","{154,7}","{1,1}",,,
56560024,6,"{5,4}","{153,7}","{1,1}",,,
56560025,6,"{5,4}","{148,9}","{1,1}",,,
56560026,6,"{5,4}","{150,9}","{1,1}",,,
56560027,6,"{5,4}","{224,11}","{1,1}",,,
56560028,6,"{5,4}","{229,11}","{1,1}",,,
56560029,6,"{5,4}","{189,12}","{1,1}",,,
56560030,6,"{5,4}","{187,11}","{1,1}",,,
56560031,6,"{5,4}","{147,7}","{1,1}",,,
56560032,6,"{5,4}","{148,7}","{1,1}",,,
56560033,6,"{5,4}","{147,7}","{1,1}",,,
56560034,6,"{5,4}","{152,7}","{1,1}",,,
56560035,6,"{5,4}","{148,9}","{1,1}",,,
56560036,6,"{5,4}","{148,9}","{1,1}",,,
56560037,6,"{5,4}","{227,11}","{1,1}",,,
56560038,6,"{5,4}","{220,11}","{1,1}",,,
56560039,6,"{5,4}","{191,11}","{1,1}",,,
56560040,6,"{5,4}","{185,11}","{1,1}",,,
56560041,6,"{5,4}","{149,7}","{1,1}",,,
56560042,6,"{5,4}","{148,7}","{1,1}",,,
56560043,6,"{5,4}","{149,9}","{1,1}",,,
56560044,6,"{5,4}","{219,11}","{1,1}",,,
56560045,6,"{5,4}","{183,11}","{1,1}",,,
56560046,6,"{5,4}","{148,7}","{1,1}",,,
56560047,6,"{5,4}","{145,7}","{1,1}",,,
56560048,6,"{5,4}","{143,9}","{1,1}",,,
56560049,6,"{5,4}","{224,11}","{1,1}",,,
56560050,6,"{5,4}","{186,11}","{1,1}",,,
