"编码id{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","限制等级{need_level,int}(need_level,number)","转职前称号(pre_nickname,string)","转职后称号(post_nickname,string)","消耗道具数量{cost_items,json_funcs}(cost_items,json)","HP{max_hp,int}(max_hp,number)","攻击{max_attack,int}(max_attack,number)","速度{max_speed,int}(max_speed,number)","防守{max_defense,int}(max_defense,number)","魔防{max_magic_defense,int}(max_magic_defense,number)","技巧{max_technique,int}(max_technique,number)","幸运{max_luck,int}(max_luck,number)","武器技能{weapon_skills,json_funcs}(weapon_skills,json)","辅助技能{support_skills,json_funcs}(support_skills,json)","奥义技能{aoyi_skills,json_funcs}(aoyi_skills,json)","被动技能A{a_skills,json_funcs}(a_skills,json)","被动技能B{b_skills,json_funcs}(b_skills,json)","被动技能C{c_skills,json_funcs}(c_skills,json)"
20523201,20123201,40,轻骑士,圣骑士,"[{type:2,param:41080007,value:-1}]",44,36,44,32,38,35,34,[],[],[],[],[],[]
20541501,20141501,40,女仆,刺客(待定),"[{type:2,param:41080007,value:-1}]",41,30,47,23,45,39,35,[],[],[],[],[],[]
20511112,20111112,40,领主,大领主,"[{type:2,param:41080002,value:-1}]",49,41,44,37,30,39,35,[],[],[],[],[],[]
20534307,20134307,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",47,38,45,32,37,34,30,[],[],[],[],[],[]
20523202,20123202,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",53,45,32,48,18,45,30,[],[],[],[],[],[]
20541502,20141502,40,盗贼,刺客,"[{type:2,param:41080007,value:-1}]",51,32,44,40,21,31,33,[],[],[],[],[],[]
20532301,20132301,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",62,52,29,41,30,42,32,[],[],[],[],[],[]
20511113,20111113,40,战士,神将,"[{type:2,param:41080002,value:-1}]",49,46,40,45,28,45,31,[],[],[],[],[],[]
20541503,20141503,40,盗贼,刺客,"[{type:2,param:41080007,value:-1}]",47,41,50,31,24,25,33,[],[],[],[],[],[]
20523203,20123203,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",51,40,31,41,21,45,34,[],[],[],[],[],[]
20532302,20132302,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",59,38,31,48,36,38,30,[],[],[],[],[],[]
20521201,20121201,40,战士,勇士(待定),"[{type:2,param:41080002,value:-1}]",49,37,50,29,36,45,34,[],[],[],[],[],[]
20513101,20113101,40,轻骑士,圣骑士,"[{type:2,param:41080002,value:-1}]",48,48,38,43,21,45,35,[],[],[],[],[],[]
20541504,20141504,40,盗贼,刺客,"[{type:2,param:41080007,value:-1}]",51,33,43,32,29,35,35,[],[],[],[],[],[]
20521202,20121202,40,佣兵,勇者,"[{type:2,param:41080002,value:-1}]",53,46,36,45,25,45,30,[],[],[],[],[],[]
20533301,20133301,40,轻骑士,圣骑士,"[{type:2,param:41080007,value:-1}]",48,44,43,42,23,44,26,[],[],[],[],[],[]
20513102,20113102,40,轻骑士,圣骑士,"[{type:2,param:41080002,value:-1}]",52,42,42,34,26,45,35,[],[],[],[],[],[]
20541505,20141505,40,管家,刺客(待定),"[{type:2,param:41080007,value:-1}]",47,37,39,32,31,31,43,[],[],[],[],[],[]
20513103,20113103,40,轻骑士,圣骑士,"[{type:2,param:41080002,value:-1}]",49,45,42,46,20,43,31,[],[],[],[],[],[]
20533302,20133302,40,轻骑士,重骑士,"[{type:2,param:41080007,value:-1}]",53,44,29,41,31,38,30,[],[],[],[],[],[]
20521203,20121203,40,舞娘,歌姬,"[{type:2,param:41080002,value:-1}]",42,42,44,27,36,45,34,[],[],[],[],[],[]
20541506,20141506,40,忍者,上忍,"[{type:2,param:41080007,value:-1}]",36,45,42,29,36,25,39,[],[],[],[],[],[]
20521204,20121204,40,战士,狂战士,"[{type:2,param:41080002,value:-1}]",56,43,42,40,20,43,30,[],[],[],[],[],[]
20533303,20133303,40,轻骑士,圣骑士,"[{type:2,param:41080007,value:-1}]",52,42,43,41,20,48,36,[],[],[],[],[],[]
20513104,20113104,40,轻骑士,圣骑士,"[{type:2,param:41080002,value:-1}]",55,42,31,44,22,43,35,[],[],[],[],[],[]
20541507,20141507,40,忍者,上忍,"[{type:2,param:41080007,value:-1}]",41,40,46,20,44,31,39,[],[],[],[],[],[]
20521205,20121205,40,战士,狂战士,"[{type:2,param:41080005,value:-1}]",55,43,29,36,40,39,34,[],[],[],[],[],[]
20513105,20113105,40,领主,领主骑士,"[{type:2,param:41080002,value:-1}]",47,41,38,30,42,39,39,[],[],[],[],[],[]
20533304,20133304,40,轻骑士,圣骑士,"[{type:2,param:41080007,value:-1}]",55,43,32,42,24,44,32,[],[],[],[],[],[]
20541801,20141801,40,巫女,战巫女,"[{type:2,param:41080007,value:-1}]",43,36,38,31,38,39,46,[],[],[],[],[],[]
20531701,20131701,40,龙人,神龙,"[{type:2,param:41080007,value:-1}]",57,46,35,40,35,33,31,[],[],[],[],[],[]
20521206,20121206,40,战士,勇士,"[{type:2,param:41080007,value:-1}]",55,45,30,45,31,39,30,[],[],[],[],[],[]
20513106,20113106,40,轻骑士,圣骑士,"[{type:2,param:41080002,value:-1}]",44,42,41,42,29,35,29,[],[],[],[],[],[]
20541802,20141802,40,修女,司祭,"[{type:2,param:41080007,value:-1}]",40,40,39,28,43,37,38,[],[],[],[],[],[]
20512101,20112101,40,重甲剑兵,将军,"[{type:2,param:41080002,value:-1}]",77,46,19,53,19,43,31,[],[],[],[],[],[]
20521701,20121701,40,龙人,神龙,"[{type:2,param:41080007,value:-1}]",60,45,38,32,38,23,33,[],[],[],[],[],[]
20531702,20131702,40,龙人,神龙,"[{type:2,param:41080007,value:-1}]",52,31,43,30,35,43,33,[],[],[],[],[],[]
20541803,20141803,40,公主,统帅骑士,"[{type:2,param:41080007,value:-1}]",47,42,32,29,38,29,42,[],[],[],[],[],[]
20512102,20112102,40,重甲剑兵,将军,"[{type:2,param:41080002,value:-1}]",58,44,44,45,21,39,21,[],[],[],[],[],[]
20524701,20124701,40,龙人,龙裔,"[{type:2,param:41080007,value:-1}]",52,43,32,49,41,37,33,[],[],[],[],[],[]
20541804,20141804,40,修女,战斗修女,"[{type:2,param:41080007,value:-1}]",47,33,32,36,38,33,38,[],[],[],[],[],[]
20533601,20133601,40,魔法师,贤者,"[{type:2,param:41080007,value:-1}]",46,42,30,35,32,30,41,[],[],[],[],[],[]
20512103,20112103,40,重甲剑兵,将军,"[{type:2,param:41080002,value:-1}]",60,38,42,49,23,43,35,[],[],[],[],[],[]
20541805,20141805,40,修女,战斗修女,"[{type:2,param:41080007,value:-1}]",44,42,38,17,45,27,38,[],[],[],[],[],[]
20533602,20133602,40,魔法师,魔法骑士,"[{type:2,param:41080007,value:-1}]",41,33,44,25,40,34,41,[],[],[],[],[],[]
20523601,20123601,40,神官骑士,女武神,"[{type:2,param:41080007,value:-1}]",43,42,32,29,37,28,47,[],[],[],[],[],[]
20512104,20112104,40,重甲剑兵,将军,"[{type:2,param:41080002,value:-1}]",56,46,43,50,26,43,35,[],[],[],[],[],[]
20533603,20133603,40,神官骑士,女武神,"[{type:2,param:41080007,value:-1}]",40,43,41,20,41,30,41,[],[],[],[],[],[]
20523602,20123602,40,神官骑士,女武神,"[{type:2,param:41080007,value:-1}]",45,41,43,22,32,34,51,[],[],[],[],[],[]
20543801,20143801,40,神官骑士,女武神,"[{type:2,param:41080007,value:-1}]",42,32,43,29,37,17,46,[],[],[],[],[],[]
20512105,20112105,40,战士,国王,"[{type:2,param:41080002,value:-1}]",69,45,19,48,31,45,31,[],[],[],[],[],[]
20531601,20131601,40,战术师,神军师,"[{type:2,param:41080007,value:-1}]",48,37,37,37,29,34,37,[],[],[],[],[],[]
20521601,20121601,40,战术师,神军师,"[{type:2,param:41080007,value:-1}]",48,37,37,37,29,34,45,[],[],[],[],[],[]
20543802,20143802,40,神官骑士,女武神,"[{type:2,param:41080007,value:-1}]",43,37,37,24,42,37,42,[],[],[],[],[],[]
20514101,20114101,40,天马骑士,隼骑士,"[{type:2,param:41080002,value:-1}]",43,32,49,31,44,39,25,[],[],[],[],[],[]
20521602,20121602,40,魔法师,贤者,"[{type:2,param:41080007,value:-1}]",43,43,36,19,45,30,47,[],[],[],[],[],[]
20531602,20131602,40,魔法师,神官,"[{type:2,param:41080007,value:-1}]",40,46,44,17,41,30,45,[],[],[],[],[],[]
20514102,20114102,40,天马骑士,隼骑士,"[{type:2,param:41080002,value:-1}]",52,41,39,36,33,33,31,[],[],[],[],[],[]
20531603,20131603,40,魔法师,雷魔道士,"[{type:2,param:41080007,value:-1}]",46,44,46,20,33,30,47,[],[],[],[],[],[]
20521603,20121603,40,魔法师,贤者,"[{type:2,param:41080007,value:-1}]",40,43,46,24,33,30,41,[],[],[],[],[],[]
20514103,20114103,40,天马骑士,克里米亚公主,"[{type:2,param:41080002,value:-1}]",42,44,46,31,34,33,29,[],[],[],[],[],[]
20521604,20121604,40,魔法师,贤者,"[{type:2,param:41080007,value:-1}]",46,45,33,20,42,34,41,[],[],[],[],[],[]
20531604,20131604,40,魔法师,司祭,"[{type:2,param:41080007,value:-1}]",42,45,46,18,35,28,51,[],[],[],[],[],[]
20511701,20111701,40,龙人,神龙,"[{type:2,param:41080002,value:-1}]",48,47,30,45,31,33,37,[],[],[],[],[],[]
20531605,20131605,40,暗魔法师,咒术师,"[{type:2,param:41080007,value:-1}]",53,29,42,32,32,28,41,[],[],[],[],[],[]
20531606,20131606,40,魔法师,贤者,"[{type:2,param:41080007,value:-1}]",40,46,42,19,44,34,45,[],[],[],[],[],[]
20511601,20111601,40,贤者,皇帝,"[{type:2,param:41080002,value:-1}]",38,44,41,20,43,28,41,[],[],[],[],[],[]
20511602,20111602,40,巫师,暗祭司,"[{type:2,param:41080002,value:-1}]",43,40,39,28,43,20,45,[],[],[],[],[],[]
20531607,20131607,40,魔法师,神官,"[{type:2,param:41080007,value:-1}]",42,46,41,19,38,28,37,[],[],[],[],[],[]
20531608,20131608,40,魔法师,光之贤者,"[{type:2,param:41080007,value:-1}]",42,45,36,21,45,30,37,[],[],[],[],[],[]
20511603,20111603,40,神官,公主,"[{type:2,param:41080002,value:-1}]",47,42,43,29,27,28,41,[],[],[],[],[],[]
20511604,20111604,40,巫师,暗祭司,"[{type:2,param:41080002,value:-1}]",48,43,24,36,37,28,45,[],[],[],[],[],[]
20511605,20111605,40,暗魔法师,暗魔道士,"[{type:2,param:41080002,value:-1}]",47,42,44,30,25,34,37,[],[],[],[],[],[]
20511606,20111606,40,魔法师,贤者,"[{type:2,param:41080002,value:-1}]",41,42,44,19,42,30,41,[],[],[],[],[],[]
20511607,20111607,40,巫师,暗祭司,"[{type:2,param:41080002,value:-1}]",43,42,37,29,37,34,45,[],[],[],[],[],[]
20511608,20111608,40,魔法师,贤者,"[{type:2,param:41080002,value:-1}]",42,49,32,24,39,30,37,[],[],[],[],[],[]
20511609,20111609,40,暗魔法师,暗魔道士,"[{type:2,param:41080002,value:-1}]",55,30,29,42,32,34,47,[],[],[],[],[],[]
20513601,20113601,40,暗魔法师,暗魔道士,"[{type:2,param:41080002,value:-1}]",47,37,29,32,38,30,45,[],[],[],[],[],[]
