"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","射程{range,int}(range,number)","辅助类型{aid_type,int}(aid_type,number)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21409010,魔防支援,指定目标的魔防+4,0,0,0,1,9,2,150,1,{},{22201622},{26},{26},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21410001,相互援助,替换自身和指定目标的HP,0,0,0,1,10,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",
21410002,献身,回复指定目标10HP，减少自身10HP,0,0,0,1,10,2,150,1,{},{22201210},{26},{26},{1},2,{},{22220010},{26},{26},{1},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21411001,大喝,抵消指定目标的弱化状态，并转为强化,0,0,0,1,11,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21410003,治愈之手,抵消指定目标的弱化状态，并转为强化。回复指定目标的HP，减少自身HP(最高可回复至自身现在的HP-1),0,0,0,1,10,2,400,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21403001,冲撞,让指定目标朝自身的反方向移动一格,0,0,0,1,3,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21406001,重击,让指定目标朝自身反方向移动2格,0,0,0,1,6,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21407001,拉近,让指定目标移动至自身的所在位置，自身后退1格,0,0,0,1,7,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21405001,迂回,自身移动至指定角色目标的另一侧,0,0,0,1,5,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21404001,替换,替换自身和指定目标的位置,0,0,0,1,4,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21402001,带回,让指定目标移动至自身的另一侧,0,0,0,1,2,2,150,1,{},{},{26},{26},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21401001,圣疗,回复5HP,0,0,0,1,1,2,50,1,{},{22201205},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401002,大圣疗,回复10HP,21401001,0,0,1,1,2,100,1,{},{22201210},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401003,治疗,自身和指定目标回复7HP,21401001,0,0,1,1,2,100,2,{},{22201207},{26},{26},{1},1,{},{22201207},{26},{26},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401004,休息,回复8HP 解除不利的异常状态,21401003,0,0,1,1,2,200,1,{},{22201208},{26},{26},{1},1,{},{22224201},{26},{26},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401005,休息+,回复攻击的50%(最低8HP) 解除不利的异常状态,21401004,0,0,1,1,2,300,1,{},{22201218},{26},{26},{1},1,{},{22224201},{26},{26},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401006,圣愈,回复15HP 不容易发动奥义,21401002,0,0,1,1,2,200,1,{},{22201211},{26},{26},{1},2,{},{22202002},{1},{1},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401007,圣愈+,恢复攻击的50%+10(最低15),21401006,0,0,1,1,2,300,1,{},{22201219},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401008,远程圣疗,回复8HP 射程2,21401002,0,0,2,1,2,200,1,{},{22201208},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401009,远程圣疗+,恢复攻击的50%(最低8HP) 射程2,21401008,0,0,2,1,2,300,1,{},{22201218},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401010,重生,回复指定目标至少7HP 若目标的HP低于一半，每减少1HP则多回复2HP，不容易发动奥义,21401003,0,0,1,1,2,200,1,{},{22201220},{26},{26},{1},2,{},{22202002},{1},{1},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401011,重生+,回复指定目标(攻击的50%-10)HP(最低7HP)且当目标的HP低于50%时，每减少1HP则多回复2HP,21401010,0,0,1,1,2,300,1,{},{22201221},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401012,殉教,回复指定目标(自身所受伤害+7)HP 自身也回复所受伤害的一半HP 不容易发动奥义,21401003,0,0,1,1,2,200,1,{},{22201222},{26},{26},{1},2,{},{22202002},{1},{1},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
21401013,殉教+,回复指定目标(自身所受伤害+攻击的50%)HP(最低7HP)自身也回复所受伤害的一半HP,21401012,0,0,1,1,2,300,1,{},{22201223},{26},{26},{1},2,{},{22201224},{26},{26},{1},0,{},{},{},{},{},"{29,30,31,32}","{1,2,3,4}",
