"升星id{id,int}(idx)","角色id{hcid,int}(num,hcid)","星级{star,int}(num,lv)","大星(int,bigstar)","头像","形象","生命(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","升星的所有消耗{costList,json_funcs}(json,costList)","角色折算后的碎片数量{prizeList,json_funcs}(json,prizeList)","开启被动技能id",
21200022,21000001,22,5,,,11200,6114,0,1129,900,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200023,21000001,23,5,,,12062,6585,0,1215,969,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200024,21000001,24,6,,,13138,7173,0,1324,1056,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200025,21000001,25,6,,,14215,7760,0,1432,1142,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200026,21000001,26,6,,,15292,8348,0,1541,1229,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200027,21000001,27,6,,,16369,8936,0,1649,1315,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200028,21000001,28,6,,,17446,9524,0,1758,1402,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200029,21000001,29,6,,,18523,10112,0,1866,1488,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200030,21000001,30,7,,,19600,10700,0,1975,1575,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200031,21000002,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200032,21000002,2,1,,,218,116,0,21,17,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200033,21000002,3,1,,,435,233,0,43,35,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200034,21000002,4,1,,,653,349,0,64,52,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200035,21000002,5,2,,,979,524,0,96,78,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200036,21000002,6,2,,,1306,699,0,129,104,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200037,21000002,7,2,,,1632,874,0,161,130,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200038,21000002,8,2,,,1958,1048,0,193,156,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200039,21000002,9,3,,,2393,1281,0,236,190,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200040,21000002,10,3,,,2829,1514,0,279,225,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200041,21000002,11,3,,,3264,1747,0,321,260,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200042,21000002,12,3,,,3699,1980,0,364,294,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200043,21000002,13,4,,,4352,2330,0,429,346,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200044,21000002,14,4,,,5004,2679,0,493,398,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200045,21000002,15,4,,,5657,3029,0,557,450,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200046,21000002,16,4,,,6310,3378,0,621,502,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200047,21000002,17,4,,,6963,3727,0,686,554,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200048,21000002,18,5,,,7833,4193,0,771,623,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200049,21000002,19,5,,,8703,4659,0,857,692,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200050,21000002,20,5,,,9574,5125,0,943,762,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200051,21000002,21,5,,,10444,5591,0,1029,831,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200052,21000002,22,5,,,11314,6057,0,1114,900,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200053,21000002,23,5,,,12185,6523,0,1200,969,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200054,21000002,24,6,,,13272,7105,0,1307,1056,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200055,21000002,25,6,,,14360,7688,0,1414,1142,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200056,21000002,26,6,,,15448,8270,0,1521,1229,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200057,21000002,27,6,,,16536,8853,0,1629,1315,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200058,21000002,28,6,,,17624,9435,0,1736,1402,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200059,21000002,29,6,,,18712,10018,0,1843,1488,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200060,21000002,30,7,,,19800,10600,0,1950,1575,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200061,21000003,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200062,21000003,2,1,,,218,115,0,22,18,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200063,21000003,3,1,,,435,231,0,43,35,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200064,21000003,4,1,,,653,346,0,65,53,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200065,21000003,5,2,,,979,519,0,98,79,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200066,21000003,6,2,,,1306,692,0,130,105,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200067,21000003,7,2,,,1632,865,0,163,132,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200068,21000003,8,2,,,1958,1038,0,195,158,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200069,21000003,9,3,,,2393,1269,0,239,193,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200070,21000003,10,3,,,2829,1500,0,282,229,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200071,21000003,11,3,,,3264,1731,0,326,264,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200072,21000003,12,3,,,3699,1962,0,369,299,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200073,21000003,13,4,,,4352,2308,0,434,352,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200074,21000003,14,4,,,5004,2654,0,499,404,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200075,21000003,15,4,,,5657,3000,0,564,457,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200076,21000003,16,4,,,6310,3346,0,629,510,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200077,21000003,17,4,,,6963,3692,0,695,563,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200078,21000003,18,5,,,7833,4154,0,781,633,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200079,21000003,19,5,,,8703,4615,0,868,703,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200080,21000003,20,5,,,9574,5077,0,955,774,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200081,21000003,21,5,,,10444,5538,0,1042,844,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200082,21000003,22,5,,,11314,6000,0,1129,914,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200083,21000003,23,5,,,12185,6462,0,1215,985,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200084,21000003,24,6,,,13272,7038,0,1324,1073,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200085,21000003,25,6,,,14360,7615,0,1432,1160,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200086,21000003,26,6,,,15448,8192,0,1541,1248,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200087,21000003,27,6,,,16536,8769,0,1649,1336,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200088,21000003,28,6,,,17624,9346,0,1758,1424,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200089,21000003,29,6,,,18712,9923,0,1866,1512,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200090,21000003,30,7,,,19800,10500,0,1975,1600,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200091,21000004,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200092,21000004,2,1,,,220,115,0,22,17,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200093,21000004,3,1,,,440,231,0,44,35,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200094,21000004,4,1,,,659,346,0,66,52,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200095,21000004,5,2,,,989,519,0,99,78,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200096,21000004,6,2,,,1319,692,0,132,104,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200097,21000004,7,2,,,1648,865,0,165,130,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200098,21000004,8,2,,,1978,1038,0,198,156,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200099,21000004,9,3,,,2418,1269,0,242,190,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200100,21000004,10,3,,,2857,1500,0,286,225,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200101,21000004,11,3,,,3297,1731,0,330,260,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200102,21000004,12,3,,,3736,1962,0,374,294,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200103,21000004,13,4,,,4396,2308,0,440,346,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200104,21000004,14,4,,,5055,2654,0,505,398,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200105,21000004,15,4,,,5714,3000,0,571,450,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200106,21000004,16,4,,,6374,3346,0,637,502,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200107,21000004,17,4,,,7033,3692,0,703,554,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200108,21000004,18,5,,,7912,4154,0,791,623,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200109,21000004,19,5,,,8791,4615,0,879,692,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200110,21000004,20,5,,,9670,5077,0,967,762,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200111,21000004,21,5,,,10549,5538,0,1055,831,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200112,21000004,22,5,,,11429,6000,0,1143,900,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200113,21000004,23,5,,,12308,6462,0,1231,969,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200114,21000004,24,6,,,13407,7038,0,1341,1056,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200115,21000004,25,6,,,14506,7615,0,1451,1142,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200116,21000004,26,6,,,15604,8192,0,1560,1229,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200117,21000004,27,6,,,16703,8769,0,1670,1315,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200118,21000004,28,6,,,17802,9346,0,1780,1402,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200119,21000004,29,6,,,18901,9923,0,1890,1488,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200120,21000004,30,7,,,20000,10500,0,2000,1575,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200121,21000005,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200122,21000005,2,1,,,224,0,114,18,22,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200123,21000005,3,1,,,448,0,229,36,43,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200124,21000005,4,1,,,673,0,343,54,65,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200125,21000005,5,2,,,1009,0,514,80,98,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200126,21000005,6,2,,,1345,0,686,107,130,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200127,21000005,7,2,,,1681,0,857,134,163,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200128,21000005,8,2,,,2018,0,1029,161,195,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200129,21000005,9,3,,,2466,0,1257,196,239,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200130,21000005,10,3,,,2914,0,1486,232,282,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200131,21000005,11,3,,,3363,0,1714,268,326,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200132,21000005,12,3,,,3811,0,1943,304,369,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200133,21000005,13,4,,,4484,0,2286,357,434,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200134,21000005,14,4,,,5156,0,2629,411,499,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200135,21000005,15,4,,,5829,0,2971,464,564,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200136,21000005,16,4,,,6501,0,3314,518,629,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200137,21000005,17,4,,,7174,0,3657,571,695,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200138,21000005,18,5,,,8070,0,4114,643,781,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200139,21000005,19,5,,,8967,0,4571,714,868,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200140,21000005,20,5,,,9864,0,5029,786,955,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200141,21000005,21,5,,,10760,0,5486,857,1042,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200142,21000005,22,5,,,11657,0,5943,929,1129,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200143,21000005,23,5,,,12554,0,6400,1000,1215,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200144,21000005,24,6,,,13675,0,6971,1089,1324,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200145,21000005,25,6,,,14796,0,7543,1179,1432,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200146,21000005,26,6,,,15916,0,8114,1268,1541,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200147,21000005,27,6,,,17037,0,8686,1357,1649,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200148,21000005,28,6,,,18158,0,9257,1446,1758,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200149,21000005,29,6,,,19279,0,9829,1536,1866,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200150,21000005,30,7,,,20400,0,10400,1625,1975,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200151,21000006,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200152,21000006,2,1,,,222,0,113,17,22,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200153,21000006,3,1,,,444,0,226,35,45,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200154,21000006,4,1,,,666,0,340,52,67,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200155,21000006,5,2,,,999,0,509,78,100,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200156,21000006,6,2,,,1332,0,679,104,134,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200157,21000006,7,2,,,1665,0,849,130,167,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200158,21000006,8,2,,,1998,0,1019,156,200,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200159,21000006,9,3,,,2442,0,1245,190,245,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200160,21000006,10,3,,,2886,0,1471,225,289,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200161,21000006,11,3,,,3330,0,1698,260,334,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200162,21000006,12,3,,,3774,0,1924,294,378,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200163,21000006,13,4,,,4440,0,2264,346,445,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200164,21000006,14,4,,,5106,0,2603,398,512,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200165,21000006,15,4,,,5771,0,2943,450,579,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200166,21000006,16,4,,,6437,0,3282,502,645,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200167,21000006,17,4,,,7103,0,3622,554,712,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200168,21000006,18,5,,,7991,0,4075,623,801,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200169,21000006,19,5,,,8879,0,4527,692,890,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200170,21000006,20,5,,,9767,0,4980,762,979,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200171,21000006,21,5,,,10655,0,5433,831,1068,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200172,21000006,22,5,,,11543,0,5886,900,1157,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200173,21000006,23,5,,,12431,0,6338,969,1246,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200174,21000006,24,6,,,13541,0,6904,1056,1357,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200175,21000006,25,6,,,14651,0,7470,1142,1469,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
21200176,21000006,26,6,,,15760,0,8036,1229,1580,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:352}]",,
21200177,21000006,27,6,,,16870,0,8602,1315,1691,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:376}]",,
21200178,21000006,28,6,,,17980,0,9168,1402,1802,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:400}]",,
21200179,21000006,29,6,,,19090,0,9734,1488,1914,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:424}]",,
21200180,21000006,30,7,,,20200,0,10300,1575,2025,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:448}]",,
21200181,21000007,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200182,21000007,2,1,,,326,50,0,33,26,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200183,21000007,3,1,,,653,100,0,66,53,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200184,21000007,4,1,,,979,150,0,99,79,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200185,21000007,5,2,,,1469,225,0,148,119,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200186,21000007,6,2,,,1958,300,0,198,158,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200187,21000007,7,2,,,2448,375,0,247,198,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200188,21000007,8,2,,,2937,450,0,297,237,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200189,21000007,9,3,,,3590,550,0,363,290,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200190,21000007,10,3,,,4243,650,0,429,343,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200191,21000007,11,3,,,4896,750,0,495,396,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200192,21000007,12,3,,,5548,850,0,560,448,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200193,21000007,13,4,,,6527,1000,0,659,527,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200194,21000007,14,4,,,7507,1150,0,758,607,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200195,21000007,15,4,,,8486,1300,0,857,686,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200196,21000007,16,4,,,9465,1450,0,956,765,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200197,21000007,17,4,,,10444,1600,0,1055,844,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200198,21000007,18,5,,,11749,1800,0,1187,949,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200199,21000007,19,5,,,13055,2000,0,1319,1055,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200200,21000007,20,5,,,14360,2200,0,1451,1160,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200201,21000007,21,5,,,15666,2400,0,1582,1266,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
21200202,21000007,22,5,,,16971,2600,0,1714,1371,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:264}]",,
21200203,21000007,23,5,,,18277,2800,0,1846,1477,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:284}]",,
21200204,21000007,24,6,,,19909,3050,0,2011,1609,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:304}]",,
21200205,21000007,25,6,,,21541,3300,0,2176,1741,"[{type:1,param:56010001,value:-30}]","[{type:1,param:56010001,value:328}]",,
