"ID{id,int}(idx)","红颜名字(str,name)","美女介绍(str,desc)","弹窗小介绍(str,d1)","红颜头像(num,tx)","方头像背景框(str,wxtxk)","圆头像(num,ctx)","半身像(num,bsx)","换装形象(num,xx)","全身像(num,qsx)","约会背景(num,yhg)","微信聊天背景(str,vbg)","昵称(str,nc)","年龄(num,ag)","职业(str,p)","兴趣(str,xq)","分类(num,type)","三维(str,sw)","寻访出现地点(num,pid)","羁绊员工{workerCid,int}(num,workerCid)","初始亲密{initIntimacy,int}(num,initIntimacy)","初始魅力{initCharm,int}(num,initCharm)","激活技能需要的亲密度{activateSkillReqIntm,ints}(fun,activateSkillReqIntm)","对应的激活的技能{activateSkillIds,ints}(fun,activateSkillIds)","初始技能{skills,ints}(fun,skills)","需求美女好感度{reqFeelling,int}(num,sn)","招募几率{recruitRate,int}(num,rr)
","需求势力{reqFightForce,long}","解锁描述(str,sd)","寻访描述(str,xfms)","音效(num,mc)","微信对话触发配置{dialogTrgs,json_triggerCfgs}","随机聊天{randomDialogs,ints}","表白成功剧情(num,bbcg)","表白失败剧情(num,bbsb)","未获取联系方式剧情(num,hqsb)","微信撩妹(funcs,weChat)","约会剧情配置(funcs,beautyStartDate)","美女约会(funcs,beautyDate)","文字描述1","文字描述2","文字描述3","文字描述4","文字描述5","文字描述6","文字描述7",
20200011,山崎樱,父母早逝的她一直由姨母姨丈生活，从小被姨丈打压的她一直梦想着能够逃出她姨丈的魔爪。,初始魅力：60,10031127,wx_07,10034127,10032127,10032627,10033127,10011015,wx_bg2,山崎樱,29,温泉店老板娘,泡澡,4,88：60：93,50600005,20100011,1,60,"{10,20,50,100,150,200}","{21020111,21020112,21020113,21020114,21020115,21020116}",,150,4000,0,去散心,你来啦！累不累？要不要我给你捶捶背。,89340111,[],"{57025016,57053101,57053201}",53211007,53211008,53204009,"{{57013001,57013101,57013201,57021101,57021102,57021103},{57013001,57013101,57013201,57021104,57021105,57021106,57021107},{57013001,57013101,57013201,57021108,57021109,57021110,57021111,57021112}}","{{0,1,0,1,0},{""哈咯，山崎樱，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031101,57031102,57031103,57031104,57031105}",120200011,220200011,320200011,420200011,520200011,620200011,720200011,
20200012,牧云,母亲爱她，可过分的爱却织成一张大网，束缚着她。多次想要逃离，却依旧舍不下母亲。,初始魅力：60,10031123,wx_21,10034123,10032123,10032623,10033123,10011016,wx_bg3,牧云,27,导游,摄影,1,89：61：94,50600006,20100012,1,60,"{10,20,50,100,150,200}","{21020121,21020122,21020123,21020124,21020125,21020126}",,150,4000,0,去散心,以前我老领着别人看风景，以后换你带我，怎么样？,89340112,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53212007,53212008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57021201,57021202,57021203},{57020001,57020101,57020201,57020301,57020401,57021204,57021205,57021206,57021207},{57020001,57020101,57020201,57020301,57020401,57021208,57021209,57021210,57021211,57021212}}","{{0,1,0,1,0},{""哈咯，牧云，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031201,57031202,57031203,57031204,57031205}",120200012,220200012,320200012,420200012,520200012,620200012,720200012,
20200013,瑟薇拉,生活在温室中的小公主，虽然有些娇蛮，却十分可爱。,初始魅力：60,10031125,wx_80,10034125,10032125,10032625,10033125,10011017,wx_bg4,瑟薇拉,27,白富美,聚会,3,87：60：92,50600008,20100013,1,60,"{10,20,50,100,150,200}","{21020131,21020132,21020133,21020134,21020135,21020136}",,150,4000,0,去散心,我不管，反正你得宠着我。,89340113,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53213007,53213008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57021301,57021302,57021303},{57012001,57012101,57012201,57012301,57012401,57021304,57021305,57021306,57021307},{57012001,57012101,57012201,57012301,57012401,57021308,57021309,57021310,57021311,57021312}}","{{0,1,0,1,0},{""哈咯，瑟薇拉，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031301,57031302,57031303,57031304,57031305}",120200013,220200013,320200013,420200013,520200013,620200013,720200013,
20200014,方岚,父母破产以后，独自照顾瘫痪的弟弟。不惧生活的困难，坚强并且快乐的活着。,初始魅力：60,10031121,wx_07,10034121,10032121,10032621,10033121,10011018,wx_bg1,方岚,24,花店老板娘,花艺,4,88：60：93,50600009,20100014,1,60,"{10,20,50,100,150,200}","{21020141,21020142,21020143,21020144,21020145,21020146}",,150,4000,0,去散心,山野间的花开了，你要和我去采一把吗？,89340114,[],"{57025016,57053101,57053201}",53214007,53214008,53204009,"{{57013001,57013101,57013201,57021401,57021402,57021403},{57013001,57013101,57013201,57021404,57021405,57021406,57021407},{57013001,57013101,57013201,57021408,57021409,57021410,57021411,57021412}}","{{0,1,0,1,0},{""哈咯，方岚，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031401,57031402,57031403,57031404,57031405}",120200014,220200014,320200014,420200014,520200014,620200014,720200014,
20200015,尹珍熙,十分高傲的一个模特，在繁杂的娱乐圈活出了自己的性格与特色。,初始魅力：60,10031112,wx_21,10034112,10032112,10032612,10033112,10011012,wx_bg2,尹珍熙,25,车模,跑车,3,87：59：91,50600013,20100015,1,60,"{10,20,50,100,150,200}","{21020151,21020152,21020153,21020154,21020155,21020156}",,150,4000,0,去散心,今晚月色真是撩人啊！我都没想到你会来。,89340115,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53215007,53215008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57021501,57021502,57021503},{57012001,57012101,57012201,57012301,57012401,57021504,57021505,57021506,57021507},{57012001,57012101,57012201,57012301,57012401,57021508,57021509,57021510,57021511,57021512}}","{{0,1,0,1,0},{""哈咯，尹珍熙，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031501,57031502,57031503,57031504,57031505}",120200015,220200015,320200015,420200015,520200015,620200015,720200015,
20200016,苏娅,身为孤儿的她，对抚养她长大的孤儿院充满了感情。不管孤儿院有任何困难，她都会竭尽全力的帮助孤儿院渡过难关。,初始魅力：60,10031117,wx_80,10034117,10032117,10032617,10033117,10011013,wx_bg3,苏娅,22,赛车手,改装车,3,90：62：95,50600002,20100016,1,60,"{10,20,50,100,150,200}","{21020161,21020162,21020163,21020164,21020165,21020166}",,-1,0,50000,势力达到5万,哎哟！难得见你一次啊，这次会待久点吗？,89340116,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53216007,53216008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57021601,57021602,57021603},{57012001,57012101,57012201,57012301,57012401,57021604,57021605,57021606,57021607},{57012001,57012101,57012201,57012301,57012401,57021608,57021609,57021610,57021611,57021612}}","{{0,1,0,1,0},{""哈咯，苏娅，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031601,57031602,57031603,57031604,57031605}",120200016,220200016,320200016,420200016,520200016,620200016,720200016,
20200017,赵馨,独自照顾失意、下身瘫痪的父亲，多幸苦也不忘带给他人积极向上的正能量。,初始魅力：70,10031110,wx_07,10034110,10032110,10032610,10033110,10011014,wx_bg4,赵馨,22,沙滩排球宝贝,游泳,2,89：61：94,50600011,20100017,1,70,"{10,20,50,100,150,200}","{21020171,21020172,21020173,21020174,21020175,21020176}",,-1,0,200000,势力达到20万,没错，阳光排球美少女就是我啦！,89340117,[],"{57051101,57051201,57051301}",53217007,53217008,53204009,"{{57011001,57011101,57021701,57021702,57021703},{57011001,57011101,57021704,57021705,57021706,57021707},{57011001,57011101,57021708,57021709,57021710,57021711,57021712}}","{{0,1,0,1,0},{""哈咯，赵馨，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031701,57031702,57031703,57031704,57031705}",120200017,220200017,320200017,420200017,520200017,620200017,720200017,
20200018,宋慧伊,作为电影明星的她，经常生不由己。让她十分厌恶自己现在的生活，无时无刻不想逃离这个牢笼。,初始魅力：90,10031114,wx_21,10034114,10032114,10032614,10033114,10011015,wx_bg1,宋慧伊,28,偶像明星,美食,3,91：63：97,50600003,20100018,1,90,"{10,20,50,100,150,200}","{21020181,21020182,21020183,21020184,21020185,21020186}",,-1,0,500000,势力达到50万,我时常觉得寂寞，不过还好有你陪我。,89340118,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53218007,53218008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57021801,57021802,57021803},{57012001,57012101,57012201,57012301,57012401,57021804,57021805,57021806,57021807},{57012001,57012101,57012201,57012301,57012401,57021808,57021809,57021810,57021811,57021812}}","{{0,1,0,1,0},{""哈咯，宋慧伊，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031801,57031802,57031803,57031804,57031805}",120200018,220200018,320200018,420200018,520200018,620200018,720200018,
20200019,莫可维,执着寻找世间最美的音乐，最后才发现，最美的音乐就是最自然的声音。,初始魅力：90,10031101,wx_80,10034101,10032101,10032601,10033101,10011016,wx_bg2,莫可维,23,夜店驻唱,乐器,3,91：62：96,50600013,20100019,1,90,"{10,20,50,100,150,200}","{21020191,21020192,21020193,21020194,21020195,21020196}",,-1,0,1000000,势力达到100万,对你唱情歌时，有一股破土而出的爱意。,89340119,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53219007,53219008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57021901,57021902,57021903},{57012001,57012101,57012201,57012301,57012401,57021904,57021905,57021906,57021907},{57012001,57012101,57012201,57012301,57012401,57021908,57021909,57021910,57021911,57021912}}","{{0,1,0,1,0},{""哈咯，莫可维，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031901,57031902,57031903,57031904,57031905}",120200019,220200019,320200019,420200019,520200019,620200019,720200019,
20200020,曲烟,比较内向的她，心中只有茶道。生活在红尘之中，却有依可晶莹剔透的纯洁之心。,初始魅力：200,10031109,wx_07,10034109,10032109,10032609,10033109,10011017,wx_bg3,曲烟,23,茶道师,茶艺,4,88：60：93,50600012,20100020,1,200,"{10,20,50,100,150,200}","{21020201,21020202,21020203,21020204,21020205,21020206}",,150,4000,0,去散心,我的茶烟落入你的眉间，你，肯入画吗？,89340120,[],"{57025016,57053101,57053201}",53220007,53220008,53204009,"{{57013001,57013101,57013201,57022001,57022002},{57013001,57013101,57013201,57022004,57022005},{57013001,57013101,57013201,57022008,57022009}}","{{1,0,1,0,1,0,1},{""喂，是我亲爱的曲烟小可爱吗？"",""好像是哦。"",""在做什么呢，有没有每天花24小时想我？"",""你想得美。"",""那我要验证一下了。"",""想怎么验证啊？"",""见一面就知道啦，如果脸红心跳的，那就是想我了。""}}","{57032001,57032002,57032003,57032004,57032005}",120200020,220200020,320200020,420200020,520200020,620200020,720200020,
20200021,罗薇薇,"从小被人拐骗,困在一个小赌场中为一个老板卖命。她渴望自由，渴望拥有常人的幸福。",初始魅力：300,10031115,wx_21,10034115,10032115,10032615,10033115,10011018,wx_bg4,罗薇薇,28,荷官,桥牌,3,87：59：91,50600004,20100021,1,300,"{10,20,50,100,150,200}","{21020211,21020212,21020213,21020214,21020215,21020216}",,150,4000,0,去散心,告诉你一个秘密，我在骰子里安了颗红豆。,89340121,[],"{57025011,57025012,57025013,57025014,57025015,57052101,57052201,57052301,57052401,57052501}",53221007,53221008,53204009,"{{57012001,57012101,57012201,57012301,57012401,57022101,57022102,57022103},{57012001,57012101,57012201,57012301,57012401,57022104,57022105,57022106,57022107},{57012001,57012101,57012201,57012301,57012401,57022108,57022109,57022110,57022111,57022112}}","{{0,1,0,1,0},{""哈咯，罗薇薇，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57032101,57032102,57032103,57032104,57032105}",120200021,220200021,320200021,420200021,520200021,620200021,720200021,
20200033,陆可可,阳光灿烂的她，能将所有不愉快都化作力量，不管生活多么艰难，她也能微笑面对。还能将这种快乐，带给身边的人。,初始魅力：100,10031118,wx_80,10034118,10032118,10032618,10033118,10011012,wx_bg1,陆可可,24,COS少女,二次元,2,89：61：94,50600006,20100033,1,100,"{10,20,50,100,150,200}","{21020331,21020332,21020333,21020334,21020335,21020336}",,-1,0,0,关注官方微博,你比我看过的漫画人物都帅！,89340133,[],"{57051101,57051201,57051301}",53222007,53222008,53204009,"{{57011001,57011101,57023301,57023302,57023303},{57011001,57011101,57023304,57023305,57023306,57023307},{57011001,57011101,57023308,57023309,57023310,57023311,57023312}}","{{0,1,0,1,0},{""哈咯，陆可可，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57033301,57033302,57033303,57033304,57033305}",120200033,220200033,320200033,420200033,520200033,620200033,720200033,
20200034,米朵儿,邻家小妹一样可爱的小女孩儿，渴望亲情，向往亲情。,初始魅力：100,10031105,wx_07,10034105,10032105,10032605,10033105,10011013,wx_bg2,米朵儿,24,咖啡店服务生,音乐,2,91：62：96,50600009,20100035,1,100,"{10,20,50,100,150,200}","{21020341,21020342,21020343,21020344,21020345,21020346}",,-1,0,0,V2获取,我知道你的口味，卡布奇洛不加糖。,89340134,[],"{57051101,57051201,57051301}",53223007,53223008,53204009,"{{57011001,57011101,57023401,57023402,57023403},{57011001,57011101,57023404,57023405,57023406,57023407},{57011001,57011101,57023408,57023409,57023410,57023411,57023412}}","{{0,1,0,1,0},{""哈咯，米朵儿，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57033401,57033402,57033403,57033404,57033405}",120200034,220200034,320200034,420200034,520200034,620200034,720200034,
20200035,菲比,为寻找失踪的父亲而成为空姐，誓要寻回父亲的踪迹。,初始魅力：100,10031120,wx_21,10034120,10032120,10032620,10033120,10011014,wx_bg3,菲比,22,空中小姐,收集手办,1,94：64：99,50600008,20100034,1,100,"{10,20,50,100,150,200}","{21020351,21020352,21020353,21020354,21020355,21020356}",,-1,0,0,V4获取,唷！大驾光临啊，我的荣幸。,89340135,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53224007,53224008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57023501,57023502,57023503},{57020001,57020101,57020201,57020301,57020401,57023504,57023505,57023506,57023507},{57020001,57020101,57020201,57020301,57020401,57023508,57023509,57023510,57023511,57023512}}","{{0,1,0,1,0},{""哈咯，菲比，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57033501,57033502,57033503,57033504,57033505}",120200035,220200035,320200035,420200035,520200035,620200035,720200035,
20200036,奥尔维拉,贵族小姐，看不惯家族中亲人之间争斗而逃了出来，十分倔强却坚定的一个女孩儿。,初始魅力：1000,10031126,wx_80,10034126,10032126,10032626,10033126,10011015,wx_bg4,奥尔维拉,27,贵族少女,马术,1,92：63：97,50600010,20100036,1,1000,"{10,20,50,100,150,200}","{21020361,21020362,21020363,21020364,21020365,21020366}",,-1,0,0,V8获取,我是带刺的冷玫瑰，但我愿意为你收敛一点。,89340136,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53225007,53225008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57023601,57023602,57023603},{57020001,57020101,57020201,57020301,57020401,57023604,57023605,57023606,57023607},{57020001,57020101,57020201,57020301,57020401,57023608,57023609,57023610,57023611,57023612}}","{{0,1,0,1,0},{""哈咯，奥尔维拉，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57033601,57033602,57033603,57033604,57033605}",120200036,220200036,320200036,420200036,520200036,620200036,720200036,
20200037,石原绫濑,从相爱多年的未婚夫遭遇意外，她就一直无法走出这段往事的阴影。她渴望新生活，却又不舍过往的美好。,初始魅力：500,10031106,wx_07,10034106,10032106,10032606,10033106,10011016,wx_bg1,石原绫濑,26,老师,看电影,1,87：59：91,50600005,20100037,1,500,"{10,20,50,100,150,200}","{21020371,21020372,21020373,21020374,21020375,21020376}",,-1,0,0,V6获取,我教学生怎么学习，而你教我怎么去爱。,89340137,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53226007,53226008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57023701,57023702,57023703},{57020001,57020101,57020201,57020301,57020401,57023704,57023705,57023706,57023707},{57020001,57020101,57020201,57020301,57020401,57023708,57023709,57023710,57023711,57023712}}","{{0,1,0,1,0},{""哈咯，石原绫濑，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57033701,57033702,57033703,57033704,57033705}",120200037,220200037,320200037,420200037,520200037,620200037,720200037,
