"英雄ID{id,int}(id,number)","英雄名称(chinese_hero_name,string)","中文称号(chinese_nickname,string)",英文名,英文称号,"英雄类型{hero_type,int}","颜色{color_type,int}(color_type,number)","移动方式{move_type,int}(move_type,number)","武器{weapon_type,int}(weapon_type,number)","性别{gender,int}(gender,number)","战斗时头像资源id(battle_head,string)","受伤时头像资源id(injured_head,string)","方头像资源id(quadrate_head,string)","站立立绘资源id(stand_drawing,string)","普通攻击立绘资源id(attack_drawing,string)","奥义攻击立绘资源id(aoyi_drawing,string)","受伤立绘资源id(injured_drawing,string)",音频id,"对话文本(dialog,string)","简介(profile,string)","初始武器技能{weapon_skills,json_funcs}(weapon_skill,json)","初始辅助技能{support_skills,json_funcs}(support_skills,json)","初始奥义技能{aoyi_skills,json_funcs}(aoyi_skills,json)","初始被动技能A{a_skills,json_funcs}(a_skills,json)","初始被动技能B{b_skills,json_funcs}(b_skills,json)","初始被动技能C{c_skills,json_funcs}(c_skills,json)","HP{hps,ints}(hps,array)","攻击{attacks,ints}(attacks,array)","速度{speeds,ints}(speeds,array)","防守{defenses,ints}(defenses,array)","魔防{magic_defenses,ints}(magic_defenses,array)","技巧{techniques,ints}(techniques,array)","幸运{lucks,ints}(lucks,array)","祝福类型{bless_type,int}(bless_type,number)","祝福属性类型1{bless_type_1,int}（bless_type_1,number)","祝福类型值1{bless_value_1,int}(bless_value_1,number)","祝福属性类型2{bless_type_2,int}(bless_type_2,number)","祝福类型值2{bless_value_2,int}(bless_value_2,number)"
20111103,琳,草原的女爵,Lyn,Lady of the Plains,1,1,1,1,0,bh20111103,bh20111103,bh20111103,bb20111103,bb20111103,bb20111103,bb20111103,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110048,value:5}]",[],"[{type:1,param:21310001,value:3},{type:1,param:21310003,value:4},{type:1,param:21340001,value:5}]","[{type:1,param:21510051,value:3},{type:1,param:21510052,value:4},{type:1,param:21510053,value:5}]",[],"[{type:1,param:21530087,value:1},{type:1,param:21530088,value:2},{type:1,param:21530089,value:4}]","{16,30}","{4,20}","{9,28}","{5,19}","{3,21}","{7,26}","{3,17}",0,0,0,0,0
20141403,零,虐待狂,Niles,Cruel to Be Kind,1,4,1,4,1,bh20141403,bh20141403,bh20141403,bb20141403,bb20141403,bb20141403,bb20141403,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140007,value:3},{type:1,param:21140008,value:5}]",[],"[{type:1,param:21310011,value:3},{type:1,param:21310012,value:4}]","[{type:1,param:21510117,value:1},{type:1,param:21510118,value:2},{type:1,param:21510119,value:4}]",[],"[{type:1,param:21530093,value:3},{type:1,param:21530094,value:4},{type:1,param:21530095,value:5}]","{16,30}","{4,18}","{6,25}","{2,11}","{6,25}","{4,20}","{6,22}",0,0,0,0,0
20124201,拿榭恩,三龙将,Narcian,Wyvern General,1,2,4,2,1,bh20124201,bh20124201,bh20124201,bb20124201,bb20124201,bb20124201,bb20124201,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120015,value:3},{type:1,param:21120016,value:5}]",[],"[{type:1,param:21310014,value:3},{type:1,param:21310016,value:4}]",[],"[{type:1,param:21520069,value:1},{type:1,param:21520070,value:2},{type:1,param:21520071,value:4}]","[{type:1,param:21530135,value:3},{type:1,param:21530136,value:4},{type:1,param:21530137,value:5}]","{16,34}","{5,21}","{5,21}","{6,24}","{5,19}","{7,25}","{2,18}",0,0,0,0,0
20111104,赛列斯,光之继承者,Seliph,Heir of Light,1,1,1,1,1,bh20111104,bh20111104,bh20111104,bb20111104,bb20111104,bb20111104,bb20111104,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110039,value:5}]","[{type:1,param:21409005,value:3}]",[],"[{type:1,param:21510013,value:1},{type:1,param:21510014,value:2},{type:1,param:21510015,value:4}]","[{type:1,param:21520094,value:3},{type:1,param:21520095,value:4},{type:1,param:21520096,value:5}]",[],"{17,38}","{6,25}","{5,18}","{6,22}","{3,16}","{7,23}","{3,19}",0,0,0,0,0
20131304,艾夫拉姆,碧空的勇猛王子,Ephraim,Restoration Lord,1,3,1,3,1,bh20131304,bh20131304,bh20131304,bb20131304,bb20131304,bb20131304,bb20131304,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130013,value:3},{type:1,param:21130038,value:5}]",[],"[{type:1,param:21310017,value:3},{type:1,param:21310018,value:4}]",[],"[{type:1,param:21520116,value:1},{type:1,param:21520117,value:2},{type:1,param:21520118,value:4}]","[{type:1,param:21530045,value:3},{type:1,param:21530046,value:4},{type:1,param:21530047,value:5}]","{17,36}","{7,26}","{4,18}","{6,24}","{3,14}","{6,20}","{4,20}",0,0,0,0,0
20141404,乔尔裘,陆地第一弓骑士,Jeorge,Perfect Shot,1,4,1,4,1,bh20141404,bh20141404,bh20141404,bb20141404,bb20141404,bb20141404,bb20141404,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140003,value:3},{type:1,param:21140039,value:5}]",[],"[{type:1,param:21320001,value:3},{type:1,param:21320003,value:4}]",[],"[{type:1,param:21520110,value:1},{type:1,param:21520111,value:2},{type:1,param:21520112,value:4}]","[{type:1,param:21530087,value:3},{type:1,param:21530088,value:4},{type:1,param:21530089,value:5}]","{16,30}","{6,24}","{6,24}","{3,17}","{3,16}","{4,22}","{6,20}",0,0,0,0,0
20131305,菲约尔姆（传承）,冰之公主,Fjorm,Princess of Ice,1,3,1,3,0,bh20131305,bh20131305,bh20131305,bb20131305,bb20131305,bb20131305,bb20131305,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130003,value:3},{type:1,param:21130046,value:5}]",[],"[{type:1,param:21350004,value:3},{type:1,param:21350005,value:4},{type:1,param:21350007,value:5}]","[{type:1,param:21510075,value:3},{type:1,param:21510076,value:4},{type:1,param:21510077,value:5}]","[{type:1,param:21520001,value:1},{type:1,param:21520002,value:2},{type:1,param:21520003,value:4}]","[{type:1,param:21530084,value:3},{type:1,param:21530104,value:4},{type:1,param:21530105,value:5}]","{15,31}","{6,22}","{5,23}","{6,22}","{6,25}","{6,20}","{4,17}",3,1,3,3,3
20111105,里弗,伦斯特的王子,Leif,Prince of Leonster,1,1,1,1,1,bh20111105,bh20111105,bh20111105,bb20111105,bb20111105,bb20111105,bb20111105,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110041,value:5}]",[],"[{type:1,param:21320004,value:3},{type:1,param:21320006,value:4}]","[{type:1,param:21510114,value:3},{type:1,param:21510122,value:4},{type:1,param:21510123,value:5}]","[{type:1,param:21520008,value:5}]","[{type:1,param:21530084,value:1},{type:1,param:21530104,value:2},{type:1,param:21530105,value:4}]","{16,32}","{4,23}","{8,29}","{6,22}","{4,17}","{7,21}","{3,14}",0,0,0,0,0
20124202,贝尔卡,杀手,Beruka,Quiet Assassin,1,2,4,2,1,bh20124202,bh20124202,bh20124202,bb20124202,bb20124202,bb20124202,bb20124202,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120007,value:3},{type:1,param:21120008,value:5}]",[],"[{type:1,param:21310001,value:3},{type:1,param:21310002,value:4}]","[{type:1,param:21510057,value:1},{type:1,param:21510058,value:2},{type:1,param:21510059,value:4}]","[{type:1,param:21520128,value:3}]",[],"{18,37}","{5,21}","{4,17}","{7,28}","{3,16}","{7,26}","{2,16}",0,0,0,0,0
20141405,哥顿,阿利提亚的弓兵,Gordin,Altean Archer,1,4,1,4,1,bh20141405,bh20141405,bh20141405,bb20141405,bb20141405,bb20141405,bb20141405,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140005,value:3},{type:1,param:21140006,value:5}]","[{type:1,param:21403001,value:3}]",[],"[{type:1,param:21510016,value:1},{type:1,param:21510017,value:2},{type:1,param:21510018,value:4}]","[{type:1,param:21520132,value:3},{type:1,param:21520133,value:4},{type:1,param:21520134,value:5}]",[],"{17,35}","{5,23}","{4,18}","{6,24}","{2,11}","{4,17}","{6,20}",0,0,0,0,0
20134301,卡秋雅,白骑的次女,Catria,Middle Whitewing,1,3,4,3,0,bh20134301,bh20134301,bh20134301,bb20134301,bb20134301,bb20134301,bb20134301,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130007,value:3},{type:1,param:21130008,value:5}]",[],"[{type:1,param:21310017,value:3},{type:1,param:21310019,value:4}]","[{type:1,param:21510114,value:1},{type:1,param:21510115,value:2},{type:1,param:21510116,value:4}]","[{type:1,param:21520110,value:3},{type:1,param:21520111,value:4},{type:1,param:21520112,value:5}]",[],"{15,31}","{5,23}","{8,26}","{5,21}","{4,18}","{6,22}","{4,20}",0,0,0,0,0
20124203,卡美拉,妖艳之花,Camilla,Bewitching Beauty,1,2,4,2,0,bh20124203,bh20124203,bh20124203,bb20124203,bb20124203,bb20124203,bb20124203,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120005,value:3},{type:1,param:21120006,value:5}]",[],"[{type:1,param:21310004,value:3},{type:1,param:21310005,value:4}]","[{type:1,param:21510111,value:3},{type:1,param:21510112,value:4},{type:1,param:21510113,value:5}]",[],"[{type:1,param:21530135,value:1},{type:1,param:21530136,value:2},{type:1,param:21530137,value:4}]","{16,30}","{6,22}","{6,24}","{4,20}","{5,23}","{7,25}","{2,20}",0,0,0,0,0
20111106,库洛武,新的圣王,Chrom,Exalted Prince,1,1,1,1,1,bh20111106,bh20111106,bh20111106,bb20111106,bb20111106,bb20111106,bb20111106,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110032,value:5}]",[],"[{type:1,param:21310021,value:3},{type:1,param:21310023,value:4},{type:1,param:21310024,value:5}]","[{type:1,param:21510057,value:1},{type:1,param:21510058,value:2},{type:1,param:21510059,value:4}]",[],"[{type:1,param:21530090,value:3},{type:1,param:21530091,value:4},{type:1,param:21530092,value:5}]","{19,38}","{7,28}","{4,18}","{5,23}","{2,11}","{7,26}","{3,16}",0,0,0,0,0
20141406,克莱因,银色贵公子,Klein,Silver Nobleman,1,4,1,4,1,bh20141406,bh20141406,bh20141406,bb20141406,bb20141406,bb20141406,bb20141406,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140005,value:3},{type:1,param:21140006,value:5}]",[],"[{type:1,param:21310011,value:3},{type:1,param:21310013,value:4}]","[{type:1,param:21510108,value:1},{type:1,param:21510109,value:2},{type:1,param:21510110,value:4}]","[{type:1,param:21520135,value:3},{type:1,param:21520136,value:4},{type:1,param:21520137,value:5}]",[],"{16,32}","{7,23}","{5,24}","{3,14}","{3,17}","{4,20}","{6,24}",0,0,0,0,0
20111107,神威,选择未来的王子,Corrin,Fateful Prince,1,1,1,1,1,bh20111107,bh20111107,bh20111107,bb20111107,bb20111107,bb20111107,bb20111107,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110047,value:5}]",[],"[{type:1,param:21310004,value:3},{type:1,param:21310006,value:4}]","[{type:1,param:21510022,value:1},{type:1,param:21510023,value:2},{type:1,param:21510024,value:4}]","[{type:1,param:21520026,value:3},{type:1,param:21520027,value:4},{type:1,param:21520028,value:5}]",[],"{18,34}","{6,24}","{6,24}","{4,20}","{3,17}","{7,21}","{3,14}",0,0,0,0,0
20124204,塞尔裘,喜欢龙的龙骑士,Cherche,Wyvern Friend,1,2,4,2,0,bh20124204,bh20124204,bh20124204,bb20124204,bb20124204,bb20124204,bb20124204,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120013,value:3},{type:1,param:21120014,value:5}]","[{type:1,param:21405001,value:3}]",[],"[{type:1,param:21510016,value:1},{type:1,param:21510017,value:2},{type:1,param:21510018,value:4}]",[],"[{type:1,param:21530013,value:3},{type:1,param:21530014,value:4},{type:1,param:21530015,value:5}]","{18,37}","{8,29}","{4,18}","{6,24}","{1,10}","{7,25}","{2,20}",0,0,0,0,0
20134302,克莱尔,高傲的大小姐,Clair,Highborn Flier,1,3,4,3,0,bh20134302,bh20134302,bh20134302,bb20134302,bb20134302,bb20134302,bb20134302,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130003,value:3},{type:1,param:21130004,value:5}]","[{type:1,param:21411001,value:3}]",[],[],"[{type:1,param:21520131,value:3}]","[{type:1,param:21530087,value:3},{type:1,param:21530088,value:4},{type:1,param:21530089,value:5}]","{16,30}","{5,19}","{6,27}","{3,17}","{7,25}","{6,24}","{4,22}",0,0,0,0,0
20141407,蕾贝卡,朴实的野花,Rebecca,Wildflower,1,4,1,4,0,bh20141407,bh20141407,bh20141407,bb20141407,bb20141407,bb20141407,bb20141407,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140003,value:3},{type:1,param:21140004,value:5}]","[{type:1,param:21410002,value:3}]",[],"[{type:1,param:21510111,value:1},{type:1,param:21510112,value:2},{type:1,param:21510113,value:4}]","[{type:1,param:21520110,value:3},{type:1,param:21520111,value:4},{type:1,param:21520112,value:5}]",[],"{16,30}","{5,21}","{6,25}","{4,15}","{3,19}","{4,20}","{6,24}",0,0,0,0,0
20124205,杰洛姆,界面的龙骑士,Gerome,Masked Rider,1,2,4,2,1,bh20124205,bh20124205,bh20124205,bb20124205,bb20124205,bb20124205,bb20124205,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120017,value:3},{type:1,param:21120018,value:5}]","[{type:1,param:21409008,value:3},{type:1,param:21409003,value:4}]",[],"[{type:1,param:21510007,value:1},{type:1,param:21510008,value:2},{type:1,param:21510009,value:4}]","[{type:1,param:21520131,value:3}]",[],"{17,36}","{8,29}","{4,18}","{6,25}","{2,13}","{7,21}","{2,16}",0,0,0,0,0
20111108,艾莉可,碧风的善良公主,Eirika,Restoration Lady,1,1,1,1,0,bh20111108,bh20111108,bh20111108,bb20111108,bb20111108,bb20111108,bb20111108,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110035,value:5}]",[],[],[],"[{type:1,param:21520129,value:3}]","[{type:1,param:21530010,value:1},{type:1,param:21530011,value:2},{type:1,param:21530012,value:4}]","{16,34}","{5,19}","{7,26}","{5,19}","{4,20}","{7,26}","{3,17}",0,0,0,0,0
20134303,蒂亚莫,年轻的天才骑士,Cordelia,Knight Paragon,1,3,4,3,0,bh20134303,bh20134303,bh20134303,bb20134303,bb20134303,bb20134303,bb20134303,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130005,value:3},{type:1,param:21130006,value:5}]",[],"[{type:1,param:21310001,value:3},{type:1,param:21310003,value:4},{type:1,param:21340001,value:5}]","[{type:1,param:21510087,value:3},{type:1,param:21510088,value:4},{type:1,param:21510089,value:5}]","[{type:1,param:21520023,value:1},{type:1,param:21520024,value:2},{type:1,param:21520025,value:4}]",[],"{16,32}","{7,26}","{7,26}","{3,16}","{4,18}","{6,22}","{4,13}",0,0,0,0,0
20141408,西尼亚斯,谋略的王子,Innes,Regal Strategician,1,4,1,4,1,bh20141408,bh20141408,bh20141408,bb20141408,bb20141408,bb20141408,bb20141408,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140003,value:3},{type:1,param:21140036,value:5}]",[],"[{type:1,param:21310011,value:3},{type:1,param:21310012,value:4}]","[{type:1,param:21510010,value:3},{type:1,param:21510011,value:4},{type:1,param:21510012,value:5}]","[{type:1,param:21520055,value:1},{type:1,param:21520056,value:2},{type:1,param:21520057,value:4}]",[],"{14,28}","{7,25}","{6,25}","{2,10}","{5,23}","{4,22}","{6,20}",0,0,0,0,0
20111109,格莱,可靠的大哥,Gray,Wry Comrade,1,1,1,1,1,bh20111109,bh20111109,bh20111109,bb20111109,bb20111109,bb20111109,bb20111109,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110019,value:3},{type:1,param:21110020,value:5}]","[{type:1,param:21404001,value:3}]",[],"[{type:1,param:21510093,value:3},{type:1,param:21510094,value:4},{type:1,param:21510095,value:5}]",[],"[{type:1,param:21530165,value:1},{type:1,param:21530166,value:2},{type:1,param:21530167,value:4}]","{15,34}","{5,26}","{4,23}","{4,22}","{1,15}","{7,21}","{3,14}",0,0,0,0,0
20134304,爱丝特,白骑的幺女,Est,Junior Whitewing,1,3,4,3,0,bh20134304,bh20134304,bh20134304,bb20134304,bb20134304,bb20134304,bb20134304,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130013,value:3},{type:1,param:21130014,value:5}]","[{type:1,param:21403001,value:3}]",[],"[{type:1,param:21510060,value:1},{type:1,param:21510061,value:2},{type:1,param:21510062,value:4}]","[{type:1,param:21520113,value:3},{type:1,param:21520114,value:4},{type:1,param:21520115,value:5}]",[],"{15,29}","{7,26}","{6,22}","{3,17}","{6,24}","{6,20}","{4,22}",0,0,0,0,0
20124206,米谢尔,野心之王,Michalis,Ambitious King,1,2,4,2,1,bh20124206,bh20124206,bh20124206,bb20124206,bb20124206,bb20124206,bb20124206,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120003,value:3},{type:1,param:21120039,value:5}]",[],"[{type:1,param:21320012,value:4}]","[{type:1,param:21510047,value:4}]",[],"[{type:1,param:21530045,value:1},{type:1,param:21530046,value:2},{type:1,param:21530047,value:4}]","{17,35}","{6,25}","{5,19}","{7,26}","{2,13}","{7,20}","{2,16}",0,0,0,0,0
20141409,拓海,神弓射手,Takumi,Wild Card,1,4,1,4,1,bh20141409,bh20141409,bh20141409,bb20141409,bb20141409,bb20141409,bb20141409,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140003,value:3},{type:1,param:21140035,value:5}]",[],"[{type:1,param:21310014,value:3},{type:1,param:21310016,value:4}]","[{type:1,param:21510050,value:5}]",[],"[{type:1,param:21530042,value:3},{type:1,param:21530043,value:4},{type:1,param:21530044,value:5}]","{16,32}","{6,24}","{5,24}","{4,18}","{3,12}","{4,20}","{6,25}",0,0,0,0,0
20111110,龙马,白夜武士,Ryoma,Peerless Samurai,1,1,1,1,1,bh20111110,bh20111110,bh20111110,bb20111110,bb20111110,bb20111110,bb20111110,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110051,value:5}]",[],"[{type:1,param:21310001,value:3},{type:1,param:21310003,value:4}]","[{type:1,param:21510051,value:3},{type:1,param:21510052,value:4},{type:1,param:21510053,value:5}]",[],"[{type:1,param:21530010,value:1},{type:1,param:21530011,value:2},{type:1,param:21530012,value:4}]","{17,33}","{6,25}","{9,27}","{3,19}","{2,15}","{7,21}","{3,14}",0,0,0,0,0
20124207,米奈娃,赤色龙骑士,Minerva,Red Dragoon,1,2,4,2,1,bh20124207,bh20124207,bh20124207,bb20124207,bb20124207,bb20124207,bb20124207,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120003,value:3},{type:1,param:21120039,value:5}]",[],"[{type:1,param:21350004,value:3},{type:1,param:21350005,value:4}]","[{type:1,param:21510001,value:3},{type:1,param:21510002,value:4},{type:1,param:21510003,value:5}]",[],"[{type:1,param:21530090,value:1},{type:1,param:21530091,value:2},{type:1,param:21530115,value:4}]","{16,32}","{5,23}","{7,25}","{6,24}","{3,16}","{7,23}","{2,18}",0,0,0,0,0
