"ID{id,int}(idx)","装备CID{equipCid,int}(num,equipCid)","装备星级{star,int}(num,star)","属性类型{attType,ints}(fun,attType)","属性值{value,ints}(fun,attVal)","计算类型{calType,ints}(fun,calType)","升级到下一星级消耗{costs,json_funcs}(json,costs)",
56700057,56510010,2,"{3,5}","{600,648}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700058,56510010,3,"{3,5}","{900,972}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700059,56510010,4,"{3,5}","{1200,1296}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700060,56510010,5,"{3,5}","{1500,1620}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700061,56510011,0,"{1,5}","{0,0}","{1,1}",,
56700062,56510011,1,"{1,5}","{412,248}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700063,56510011,2,"{1,5}","{824,496}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700064,56510011,3,"{1,5}","{1236,744}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700065,56510011,4,"{1,5}","{1648,992}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700066,56510011,5,"{1,5}","{2060,1240}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700067,56510012,0,"{1,5}","{0,0}","{1,1}",,
56700068,56510012,1,"{1,5}","{402,244}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700069,56510012,2,"{1,5}","{804,488}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700070,56510012,3,"{1,5}","{1206,732}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700071,56510012,4,"{1,5}","{1608,976}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700072,56510012,5,"{1,5}","{2010,1220}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700073,56510013,0,"{1,5}","{0,0}","{1,1}",,
56700074,56510013,1,"{1,5}","{406,246}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700075,56510013,2,"{1,5}","{812,492}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700076,56510013,3,"{1,5}","{1218,738}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700077,56510013,4,"{1,5}","{1624,984}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700078,56510013,5,"{1,5}","{2030,1230}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700079,56510014,0,"{1,5}","{0,0}","{1,1}",,
56700080,56510014,1,"{1,5}","{402,246}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700081,56510014,2,"{1,5}","{804,492}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700082,56510014,3,"{1,5}","{1206,738}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700083,56510014,4,"{1,5}","{1608,984}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700084,56510014,5,"{1,5}","{2010,1230}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700085,56510015,0,"{3,5}","{0,0}","{1,1}",,
56700086,56510015,1,"{3,5}","{402,246}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700087,56510015,2,"{3,5}","{804,492}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700088,56510015,3,"{3,5}","{1206,738}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700089,56510015,4,"{3,5}","{1608,984}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700090,56510015,5,"{3,5}","{2010,1230}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700091,56510016,0,"{3,5}","{0,0}","{1,1}",,
56700092,56510016,1,"{3,5}","{402,246}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700093,56510016,2,"{3,5}","{804,492}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700094,56510016,3,"{3,5}","{1206,738}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700095,56510016,4,"{3,5}","{1608,984}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700096,56510016,5,"{3,5}","{2010,1230}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700097,56510017,0,"{1,5}","{0,0}","{1,1}",,
56700098,56510017,1,"{1,5}","{178,362}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700099,56510017,2,"{1,5}","{356,724}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700100,56510017,3,"{1,5}","{534,1086}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700101,56510017,4,"{1,5}","{712,1448}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700102,56510017,5,"{1,5}","{890,1810}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700103,56510018,0,"{1,5}","{0,0}","{1,1}",,
56700104,56510018,1,"{1,5}","{174,358}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700105,56510018,2,"{1,5}","{348,716}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700106,56510018,3,"{1,5}","{522,1074}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700107,56510018,4,"{1,5}","{696,1432}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700108,56510018,5,"{1,5}","{870,1790}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700109,56510019,0,"{3,5}","{0,0}","{1,1}",,
56700110,56510019,1,"{3,5}","{294,302}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700111,56510019,2,"{3,5}","{588,604}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700112,56510019,3,"{3,5}","{882,906}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700113,56510019,4,"{3,5}","{1176,1208}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700114,56510019,5,"{3,5}","{1470,1510}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700115,56510020,0,"{3,5}","{0,0}","{1,1}",,
56700116,56510020,1,"{3,5}","{294,308}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700117,56510020,2,"{3,5}","{588,616}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700118,56510020,3,"{3,5}","{882,924}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700119,56510020,4,"{3,5}","{1176,1232}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700120,56510020,5,"{3,5}","{1470,1540}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700121,56510021,0,"{1,5}","{0,0}","{1,1}",,
56700122,56510021,1,"{1,5}","{386,230}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700123,56510021,2,"{1,5}","{772,460}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700124,56510021,3,"{1,5}","{1158,690}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700125,56510021,4,"{1,5}","{1544,920}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700126,56510021,5,"{1,5}","{1930,1150}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700127,56510022,0,"{1,5}","{0,0}","{1,1}",,
56700128,56510022,1,"{1,5}","{394,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700129,56510022,2,"{1,5}","{788,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700130,56510022,3,"{1,5}","{1182,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700131,56510022,4,"{1,5}","{1576,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700132,56510022,5,"{1,5}","{1970,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700133,56510023,0,"{1,5}","{0,0}","{1,1}",,
56700134,56510023,1,"{1,5}","{394,234}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700135,56510023,2,"{1,5}","{788,468}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700136,56510023,3,"{1,5}","{1182,702}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700137,56510023,4,"{1,5}","{1576,936}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700138,56510023,5,"{1,5}","{1970,1170}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700139,56510024,0,"{1,5}","{0,0}","{1,1}",,
56700140,56510024,1,"{1,5}","{382,232}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700141,56510024,2,"{1,5}","{764,464}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700142,56510024,3,"{1,5}","{1146,696}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700143,56510024,4,"{1,5}","{1528,928}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700144,56510024,5,"{1,5}","{1910,1160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700145,56510025,0,"{3,5}","{0,0}","{1,1}",,
56700146,56510025,1,"{3,5}","{390,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700147,56510025,2,"{3,5}","{780,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700148,56510025,3,"{3,5}","{1170,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700149,56510025,4,"{3,5}","{1560,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700150,56510025,5,"{3,5}","{1950,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700151,56510026,0,"{3,5}","{0,0}","{1,1}",,
56700152,56510026,1,"{3,5}","{378,228}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700153,56510026,2,"{3,5}","{756,456}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700154,56510026,3,"{3,5}","{1134,684}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700155,56510026,4,"{3,5}","{1512,912}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700156,56510026,5,"{3,5}","{1890,1140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700157,56510027,0,"{1,5}","{0,0}","{1,1}",,
56700158,56510027,1,"{1,5}","{168,342}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700159,56510027,2,"{1,5}","{336,684}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700160,56510027,3,"{1,5}","{504,1026}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700161,56510027,4,"{1,5}","{672,1368}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700162,56510027,5,"{1,5}","{840,1710}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700163,56510028,0,"{1,5}","{0,0}","{1,1}",,
56700164,56510028,1,"{1,5}","{168,350}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700165,56510028,2,"{1,5}","{336,700}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700166,56510028,3,"{1,5}","{504,1050}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700167,56510028,4,"{1,5}","{672,1400}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700168,56510028,5,"{1,5}","{840,1750}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700169,56510029,0,"{3,5}","{0,0}","{1,1}",,
56700170,56510029,1,"{3,5}","{272,288}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700171,56510029,2,"{3,5}","{544,576}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700172,56510029,3,"{3,5}","{816,864}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700173,56510029,4,"{3,5}","{1088,1152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700174,56510029,5,"{3,5}","{1360,1440}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700175,56510030,0,"{3,5}","{0,0}","{1,1}",,
56700176,56510030,1,"{3,5}","{272,286}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700177,56510030,2,"{3,5}","{544,572}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700178,56510030,3,"{3,5}","{816,858}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700179,56510030,4,"{3,5}","{1088,1144}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700180,56510030,5,"{3,5}","{1360,1430}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700181,56510031,0,"{1,5}","{0,0}","{1,1}",,
56700182,56510031,1,"{1,5}","{386,224}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700183,56510031,2,"{1,5}","{772,448}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700184,56510031,3,"{1,5}","{1158,672}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700185,56510031,4,"{1,5}","{1544,896}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700186,56510031,5,"{1,5}","{1930,1120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700187,56510032,0,"{1,5}","{0,0}","{1,1}",,
56700188,56510032,1,"{1,5}","{382,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700189,56510032,2,"{1,5}","{764,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700190,56510032,3,"{1,5}","{1146,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700191,56510032,4,"{1,5}","{1528,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700192,56510032,5,"{1,5}","{1910,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700193,56510033,0,"{1,5}","{0,0}","{1,1}",,
56700194,56510033,1,"{1,5}","{388,224}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700195,56510033,2,"{1,5}","{776,448}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700196,56510033,3,"{1,5}","{1164,672}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700197,56510033,4,"{1,5}","{1552,896}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700198,56510033,5,"{1,5}","{1940,1120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700199,56510034,0,"{1,5}","{0,0}","{1,1}",,
56700200,56510034,1,"{1,5}","{378,232}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700201,56510034,2,"{1,5}","{756,464}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700202,56510034,3,"{1,5}","{1134,696}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700203,56510034,4,"{1,5}","{1512,928}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700204,56510034,5,"{1,5}","{1890,1160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700205,56510035,0,"{3,5}","{0,0}","{1,1}",,
56700206,56510035,1,"{3,5}","{378,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700207,56510035,2,"{3,5}","{756,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700208,56510035,3,"{3,5}","{1134,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700209,56510035,4,"{3,5}","{1512,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700210,56510035,5,"{3,5}","{1890,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700211,56510036,0,"{3,5}","{0,0}","{1,1}",,
56700212,56510036,1,"{3,5}","{378,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700213,56510036,2,"{3,5}","{756,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700214,56510036,3,"{3,5}","{1134,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700215,56510036,4,"{3,5}","{1512,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700216,56510036,5,"{3,5}","{1890,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700217,56510037,0,"{1,5}","{0,0}","{1,1}",,
56700218,56510037,1,"{1,5}","{166,346}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700219,56510037,2,"{1,5}","{332,692}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700220,56510037,3,"{1,5}","{498,1038}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700221,56510037,4,"{1,5}","{664,1384}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700222,56510037,5,"{1,5}","{830,1730}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700223,56510038,0,"{1,5}","{0,0}","{1,1}",,
56700224,56510038,1,"{1,5}","{164,336}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700225,56510038,2,"{1,5}","{328,672}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700226,56510038,3,"{1,5}","{492,1008}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700227,56510038,4,"{1,5}","{656,1344}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700228,56510038,5,"{1,5}","{820,1680}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700229,56510039,0,"{3,5}","{0,0}","{1,1}",,
56700230,56510039,1,"{3,5}","{270,290}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700231,56510039,2,"{3,5}","{540,580}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700232,56510039,3,"{3,5}","{810,870}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700233,56510039,4,"{3,5}","{1080,1160}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700234,56510039,5,"{3,5}","{1350,1450}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700235,56510040,0,"{3,5}","{0,0}","{1,1}",,
56700236,56510040,1,"{3,5}","{278,282}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700237,56510040,2,"{3,5}","{556,564}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700238,56510040,3,"{3,5}","{834,846}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700239,56510040,4,"{3,5}","{1112,1128}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700240,56510040,5,"{3,5}","{1390,1410}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700241,56510041,0,"{1,5}","{0,0}","{1,1}",,
56700242,56510041,1,"{1,5}","{384,228}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700243,56510041,2,"{1,5}","{768,456}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700244,56510041,3,"{1,5}","{1152,684}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700245,56510041,4,"{1,5}","{1536,912}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700246,56510041,5,"{1,5}","{1920,1140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700247,56510042,0,"{1,5}","{0,0}","{1,1}",,
56700248,56510042,1,"{1,5}","{378,226}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700249,56510042,2,"{1,5}","{756,452}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700250,56510042,3,"{1,5}","{1134,678}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700251,56510042,4,"{1,5}","{1512,904}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700252,56510042,5,"{1,5}","{1890,1130}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700253,56510043,0,"{3,5}","{0,0}","{1,1}",,
56700254,56510043,1,"{3,5}","{370,228}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700255,56510043,2,"{3,5}","{740,456}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700256,56510043,3,"{3,5}","{1110,684}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700257,56510043,4,"{3,5}","{1480,912}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700258,56510043,5,"{3,5}","{1850,1140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700259,56510044,0,"{1,5}","{0,0}","{1,1}",,
56700260,56510044,1,"{1,5}","{162,334}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700261,56510044,2,"{1,5}","{324,668}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700262,56510044,3,"{1,5}","{486,1002}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700263,56510044,4,"{1,5}","{648,1336}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700264,56510044,5,"{1,5}","{810,1670}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700265,56510045,0,"{3,5}","{0,0}","{1,1}",,
56700266,56510045,1,"{3,5}","{272,278}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700267,56510045,2,"{3,5}","{544,556}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700268,56510045,3,"{3,5}","{816,834}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700269,56510045,4,"{3,5}","{1088,1112}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700270,56510045,5,"{3,5}","{1360,1390}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700271,56510046,0,"{1,5}","{0,0}","{1,1}",,
56700272,56510046,1,"{1,5}","{372,224}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700273,56510046,2,"{1,5}","{744,448}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700274,56510046,3,"{1,5}","{1116,672}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700275,56510046,4,"{1,5}","{1488,896}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700276,56510046,5,"{1,5}","{1860,1120}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700277,56510047,0,"{1,5}","{0,0}","{1,1}",,
56700278,56510047,1,"{1,5}","{366,220}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700279,56510047,2,"{1,5}","{732,440}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700280,56510047,3,"{1,5}","{1098,660}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700281,56510047,4,"{1,5}","{1464,880}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700282,56510047,5,"{1,5}","{1830,1100}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700283,56510048,0,"{3,5}","{0,0}","{1,1}",,
56700284,56510048,1,"{3,5}","{370,218}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700285,56510048,2,"{3,5}","{740,436}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700286,56510048,3,"{3,5}","{1110,654}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700287,56510048,4,"{3,5}","{1480,872}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700288,56510048,5,"{3,5}","{1850,1090}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700289,56510049,0,"{1,5}","{0,0}","{1,1}",,
56700290,56510049,1,"{1,5}","{162,340}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700291,56510049,2,"{1,5}","{324,680}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700292,56510049,3,"{1,5}","{486,1020}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700293,56510049,4,"{1,5}","{648,1360}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700294,56510049,5,"{1,5}","{810,1700}","{1,1}","[{type:4,param:80400001,value:-100}]",
