"ID{id,int}(idx)","遮罩(num,shadow)","背景资源(funcs,bg)","名字(funcs,name)","文本组(funcs,texts)","半身像组(funcs,hbgroop)","选择项(num,choose)","选择文本组(funcs,cts)","对应跳转(funcs,icids)","文本动画(num,ta)","半身像位置(num,side)","动画资源(str,ani)","手机震动(num,shockp)","屏幕震动(num,shock)","特效(funcs,eff)","音乐(str,music)","音效(funcs,sound)","文本显示位置(num,tside)","中间的提示文字(str,tips)","是否点击(num,click)","剧情UI(num,cui)","背景动画（num,bgan)","是否保存(num,save)",
89200023,0,"{""g_jq9"",""g_jq8""}","{""老板""}","{""给我滚！有多远滚多远！以后不用来了！""}",,,,"{""89200024""}",1,,,,1,,,,1,,1,,3,,
89200024,0,"{""g_jq10"",""g_jq9""}","{""我""}","{""……""}",,,,"{""89200025""}",1,,,,,,,,1,,1,,3,,
89200025,0,"{""g_jq10""}",,"{""女朋友和别人跑了！"",""工作也没了！"",""离开这块伤心地是你现在脑海充斥的唯一念头…...""}",,,,"{""89200026""}",1,,,,,,,,0,,1,,,,
89200026,0,,,"{""终于回到了我的老家，这是我从小长大的地方""}",,,,"{""89200027""}",1,,,,,,,,1,,1,,,,
89200027,0,,"{""我"",""兄弟""}","{""兄弟，我回来了。你还在原来的酒吧上班吗？我来找你喝两杯。"",""好啊！今天刚好我值班，来吧！""}",,,,"{""89200028""}",2,,,,,,,,1,,1,,3,,
89200028,0,,"{""兄弟"",""我"",""兄弟""}","{""你怎么喝这么多，发生什么事了？"",""不提也罢…哎对啦，怎么看见这酒吧门口贴着”转让”，感觉这家的人气还不错啊？"",""是呀，生意挺好！但老板打算移民呢，就想着把它转出去。""}",,,,"{""89200029""}",2,,,,,,,,1,,1,,,,
89200029,0,,"{""我""}","{""我不想被人瞧不起，也不要再这么平庸的度过一生了！我要出人头地！说不定今天遇到的酒吧，就是一个好机会。""}",,,,"{""89200030""}",1,,,,,,,,1,当晚,1,,,,
89200030,0,,,"{""难道我就要这样过一辈子？""}",,,,"{""89200031""}",1,,,,,,,,1,当晚,1,,,,
89200031,0,,,"{""经过一夜的辗转反侧，你终于下定了决心。"",""是时候放手一搏了！"",""你抵押了自己的房子，盘下酒吧！""}",,,,"{""89200032""}",1,,,,,,,,0,,1,,,,
89200032,0,,,,,1,,"{""89200033""}",,,,,,,,,,,,,,,
89200033,0,,,,,,,,,,,,,,,,,,,,,,
